,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,259.87,282.57,271.79,276.8,274.23,273.88,271.94,277.77,4.84,216,994,1038,1023.0,1021.51,1014.0,1032.0,11.56,216,40,100,90.5,86.58,80.0,95.0,12.64,214,0.0,8.7,1.29,1.94,1.0,2.1,1.65,216,0,0.9,0,0.1,0,0.0,0.24,216,0,100,90.0,70.97,75.0,90.0,31.98,216
0,1,2,262.31,284.12,271.66,277.87,275.32,274.66,272.82,277.28,3.69,216,936,1037,1017.0,1018.38,1012.0,1031.0,14.33,215,10,100,92.0,86.34,80.0,93.0,12.87,214,0.0,9.8,2.09,2.25,1.03,3.1,1.54,216,0,0.9,0,0.24,0,0.3,0.35,216,0,100,90.0,78.76,75.0,90.0,20.83,216
0,1,3,268.5,288.52,271.56,277.84,273.5,274.65,271.57,277.48,3.88,216,867,1038,1019.0,1012.44,1008.0,1028.0,31.5,216,40,100,92.0,89.07,85.0,99.0,12.51,212,0.0,13.9,1.32,2.22,0.97,2.6,2.52,216,0,3.0,0,0.28,0,0.3,0.59,216,0,100,84.0,76.76,75.0,92.0,22.75,216
0,1,4,267.08,286.16,271.95,277.82,275.7,275.09,272.31,277.38,3.62,216,994,1039,1020.0,1018.72,1006.0,1034.0,15.58,216,55,100,87.0,87.98,81.5,97.0,10.16,212,0.0,11.3,1.5,2.38,1.0,3.4,2.25,216,0,3.0,0,0.34,0,0.9,0.46,216,0,92,75.0,70.65,70.5,90.0,23.7,216
0,1,5,265.94,284.65,272.0,277.3,273.83,274.75,271.74,277.31,4.13,216,994,1039,1024.0,1020.06,1006.0,1034.0,15.19,215,10,100,87.0,86.47,81.0,94.0,11.93,216,0.0,8.2,1.5,1.77,1.0,2.11,1.3,216,0,0.9,0,0.13,0,0.3,0.26,216,0,100,75.0,60.53,25.5,90.0,34.92,216
0,1,6,260.66,281.09,271.65,276.79,274.6,273.97,271.27,277.98,4.59,216,999,1037,1026.0,1021.45,1010.0,1033.0,12.16,214,10,100,92.0,88.25,85.5,98.5,13.19,216,0.0,5.1,1.21,1.52,1.0,2.1,0.93,216,0,0.9,0,0.16,0,0.3,0.3,216,0,100,75.0,66.08,40.0,90.0,34.47,216
0,1,7,259.99,285.71,271.95,277.18,275.15,274.3,271.79,277.76,4.85,216,996,1036,1029.0,1023.05,1014.0,1032.0,10.94,215,10,100,90.5,87.29,84.5,95.0,12.12,216,0.0,6.7,1.17,1.53,1.0,2.1,1.12,216,0,0.9,0,0.16,0,0.0,0.33,216,0,95,75.0,67.04,40.0,90.0,32.29,216
0,1,8,267.24,284.97,272.51,278.12,275.99,275.36,272.6,277.4,3.4,216,1004,1035,1024.0,1022.66,1016.0,1030.0,8.31,215,10,100,86.0,85.3,80.0,93.0,12.94,216,0.0,7.21,2.06,2.17,1.0,3.03,1.39,216,0,0.9,0,0.17,0,0.3,0.3,216,0,94,75.0,68.42,55.0,90.0,27.37,216
0,1,9,265.12,285.92,272.97,279.35,275.89,275.9,273.59,278.35,3.96,216,1002,1037,1018.0,1019.3,1014.0,1026.0,8.28,216,37,100,86.0,85.01,79.0,95.0,14.04,205,0.0,9.29,1.5,2.21,1.0,2.67,1.93,216,0,3.0,0,0.24,0,0.3,0.47,216,0,100,75.0,70.17,68.0,92.0,29.04,216
0,1,10,266.64,283.5,273.16,277.32,274.72,275.27,272.3,278.17,4.05,216,998,1030,1019.0,1016.76,1013.5,1021.5,7.41,216,24,100,92.0,87.5,81.0,100.0,14.14,213,0.0,8.8,1.89,2.6,1.06,3.1,2.15,216,0,0.9,0,0.17,0,0.3,0.3,216,0,97,81.5,73.63,75.0,90.0,24.33,216
