,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,263.67,281.38,272.08,276.83,274.12,274.02,271.32,277.77,4.27,216,976,1038,1020.0,1016.98,1008.0,1028.0,14.76,214,66,100,93.0,92.56,88.0,100.0,7.24,210,0.0,12.9,1.41,2.11,1.0,2.6,2.24,216,0,0.9,0,0.08,0,0.0,0.21,216,0,92,82.0,70.64,71.0,90.0,27.76,216
0,1,2,262.9,285.94,271.66,277.8,274.86,274.51,273.19,277.03,3.58,216,956,1036,1014.0,1014.06,1009.0,1023.0,15.38,216,48,100,92.0,88.21,80.0,100.0,12.74,213,0.2,8.7,2.1,2.49,1.0,3.16,1.85,216,0,0.9,0,0.17,0,0.3,0.28,216,0,92,75.0,75.52,75.0,90.0,20.59,216
0,1,3,268.14,285.56,272.19,278.62,274.26,275.13,272.4,278.31,3.74,216,954,1037,1013.0,1011.38,1008.0,1027.0,21.03,216,42,100,93.0,89.17,86.0,96.0,11.03,210,0.0,23.7,2.1,3.01,1.0,3.16,3.36,216,0,0.9,0,0.16,0,0.3,0.28,216,0,100,75.0,66.59,60.5,90.0,31.48,216
0,1,4,267.62,285.76,271.96,278.42,275.44,275.15,272.14,277.7,3.98,216,969,1039,1011.0,1013.94,1005.0,1033.0,18.89,216,55,100,93.0,90.74,86.0,100.0,9.62,215,0.0,11.3,1.7,2.99,1.0,4.6,2.71,216,0,3.0,0,0.25,0,0.3,0.47,216,0,92,75.0,65.62,68.0,90.0,30.31,216
0,1,5,265.45,285.76,271.96,278.35,273.76,274.95,272.37,277.24,4.25,216,969,1039,1012.0,1015.01,1004.0,1033.0,18.63,216,54,100,92.0,89.25,85.0,96.0,9.88,212,0.0,10.8,1.54,2.46,1.0,3.16,2.01,216,0,3.0,0,0.15,0,0.3,0.32,216,0,92,75.0,59.99,40.0,90.0,31.81,216
0,1,6,260.9,283.65,271.55,277.56,274.67,274.06,271.62,277.56,5.01,216,966,1036,1016.0,1014.87,1006.0,1032.0,20.5,216,53,100,92.5,89.41,83.0,100.0,10.23,216,0.0,7.2,1.41,1.79,1.0,2.38,1.36,216,0,0.9,0,0.09,0,0.0,0.21,216,0,92,75.0,56.44,9.5,90.0,36.69,216
0,1,7,260.03,284.06,271.89,278.11,275.76,274.78,272.76,277.6,4.6,216,970,1035,1020.0,1018.25,1013.0,1032.0,16.67,216,61,100,93.0,89.37,85.0,96.0,8.78,215,0.0,5.7,1.41,1.52,1.0,2.1,0.96,216,0,0.9,0,0.08,0,0.0,0.23,216,0,92,76.0,66.61,45.5,90.0,31.41,216
0,1,8,269.16,285.5,273.16,278.68,276.3,275.63,273.2,277.59,3.04,216,971,1033,1021.0,1016.69,1014.0,1029.0,16.29,216,60,100,93.0,91.83,91.0,100.0,8.65,215,0.5,8.7,2.1,2.39,1.0,3.1,1.73,216,0,0.9,0,0.16,0,0.3,0.29,216,0,92,77.0,69.13,68.5,90.0,29.44,216
0,1,9,267.32,283.22,273.03,278.98,276.08,275.77,272.91,278.24,3.75,216,633,1030,1017.0,1013.37,1012.5,1025.0,28.83,216,52,100,94.0,91.23,87.0,100.0,10.94,211,0.5,11.83,2.1,2.89,1.0,3.6,2.47,216,0,3.0,0,0.22,0,0.3,0.52,216,0,100,75.0,68.77,59.5,90.0,28.38,216
0,1,10,269.96,283.61,273.78,277.74,274.89,275.87,272.15,279.02,4.07,216,825,1030,1017.5,1010.51,1009.0,1020.0,19.59,214,24,100,92.0,88.18,81.0,99.0,13.29,212,0.0,10.8,1.5,3.29,1.0,6.69,3.03,216,0,0.9,0,0.13,0,0.3,0.26,216,0,94,75.0,71.89,75.0,90.0,23.76,216
