,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,259.9,282.18,271.95,276.87,274.73,274.19,271.77,277.76,4.46,216,981,1038,1020.0,1017.4,1009.0,1028.0,13.76,211,64,100,92.0,88.47,80.0,93,9.02,207,0.0,8.7,1.5,2.05,1.0,2.6,1.67,216,0,0.9,0,0.08,0,0.0,0.21,216,0,92,75.0,65.83,48.0,90.0,31.23,216
0,1,2,265.66,284.44,272.23,277.98,275.37,274.93,273.15,277.56,3.33,216,947,1036,1014.0,1015.29,1010.0,1025.0,14.16,214,52,100,90.0,86.84,80.0,93,10.94,212,0.28,9.8,2.6,2.52,1.23,3.1,1.55,216,0,0.9,0,0.19,0,0.3,0.31,216,0,97,75.0,77.94,75.0,90.0,17.2,216
0,1,3,267.77,288.54,271.95,278.51,274.41,275.15,272.51,277.69,3.89,216,968,1038,1014.0,1013.87,1008.0,1027.0,16.85,216,42,100,91.0,87.63,80.0,94,9.82,214,0.0,16.5,1.48,2.32,1.0,2.55,2.63,216,0,3.0,0,0.17,0,0.3,0.35,216,0,100,75.0,72.67,75.0,90.0,25.54,216
0,1,4,268.49,285.97,272.25,278.37,275.93,275.51,272.97,277.81,3.51,216,994,1039,1020.0,1019.17,1007.0,1034.0,14.53,216,55,100,87.5,86.85,84.0,93,8.95,210,0.0,11.3,1.5,2.5,1.0,3.6,2.19,216,0,3.0,0,0.31,0,0.3,0.64,216,0,92,75.0,66.42,70.0,90.0,28.97,216
0,1,5,264.63,284.34,272.34,278.04,274.13,275.21,272.34,277.78,3.96,216,995,1039,1024.0,1020.18,1007.0,1033.0,14.18,215,60,100,86.0,85.93,80.0,93,8.67,214,0.3,8.2,1.5,1.94,1.0,2.6,1.36,216,0,3.0,0,0.13,0,0.0,0.31,216,0,92,75.0,58.06,22.0,82.5,32.66,216
0,1,6,260.52,281.04,271.84,276.56,274.45,274.08,271.85,278.42,4.77,216,999,1037,1024.0,1021.01,1010.0,1033.0,12.1,214,49,100,87.0,87.81,83.0,93,9.65,214,0.0,4.6,1.36,1.5,1.0,2.1,0.84,216,0,0.9,0,0.08,0,0.0,0.2,216,0,92,75.0,57.48,20.0,90.0,35.23,216
0,1,7,259.15,285.68,271.96,277.46,275.15,274.81,272.53,278.14,4.79,216,996,1036,1028.0,1022.67,1014.0,1032.0,10.82,215,50,100,87.0,87.27,84.0,93,9.24,215,0.0,5.1,1.3,1.56,1.0,2.1,0.88,216,0,3.0,0,0.12,0,0.0,0.41,216,0,92,75.0,64.3,40.0,90.0,32.07,216
0,1,8,268.6,285.36,273.22,278.7,276.2,275.9,273.32,277.79,3.35,216,1004,1032,1023.0,1022.29,1017.0,1029.0,7.94,215,62,100,86.0,86.64,80.0,93,8.66,215,0.0,7.91,1.52,2.08,1.0,2.6,1.55,216,0,0.9,0,0.15,0,0.3,0.28,216,0,92,75.0,66.65,75.0,90.0,30.41,216
0,1,9,267.34,285.55,273.65,279.44,276.36,276.41,273.6,279.02,3.82,216,1001,1033,1018.0,1018.94,1014.0,1026.0,8.02,216,40,100,86.0,83.69,78.5,93,12.78,196,0.32,9.13,2.1,2.47,1.0,3.1,1.89,216,0,3.0,0,0.19,0,0.3,0.41,216,0,100,75.0,66.19,50.0,90.0,32.45,216
0,1,10,270.26,288.24,273.75,278.24,274.86,275.89,272.52,277.97,4.26,216,998,1030,1019.0,1016.57,1013.5,1021.0,7.29,216,24,100,89.0,85.67,77.0,97,13.32,211,0.0,8.79,2.1,2.78,1.23,3.1,2.22,216,0,0.9,0,0.13,0,0.3,0.24,216,0,96,84.0,76.33,75.0,90.0,20.91,216
0,1,11,267.85,284.23,273.08,278.0,275.62,275.29,273.15,277.17,3.1,216,992,1033,1018.0,1017.75,1014.0,1024.0,9.96,216,46,100,87.0,85.41,77.0,93,10.82,210,0.22,8.7,1.5,2.48,1.0,3.6,2.04,216,0,3.0,0,0.21,0,0.3,0.46,216,0,92,75.0,74.71,75.0,90.0,21.64,216
0,1,12,268.35,280.79,273.33,277.91,276.15,275.68,273.76,277.23,2.28,216,997,1030,1021.0,1018.94,1015.0,1024.0,8.01,216,40,100,86.0,85.76,80.0,93,11.37,210,0.39,8.7,2.1,2.81,1.14,4.12,1.95,216,0,0.9,0,0.12,0,0.3,0.21,216,0,100,75.0,70.11,75.0,90.0,23.15,216
0,1,13,269.35,283.79,272.41,278.7,275.3,275.38,273.38,276.81,2.61,216,999,1098,1017.0,1017.59,1013.0,1020.0,12.14,216,44,100,86.0,81.36,74.0,91,12.05,214,0.0,9.8,2.6,3.22,1.33,5.1,2.3,216,0,0.9,0,0.12,0,0.3,0.23,216,0,100,75.0,63.48,46.0,90.0,30.82,216
