,cantonId,case_inz_entries_7dayAverage_last_2,pred_week_case_inz_entries_7dayAverage_0,pred_week_case_inz_entries_7dayAverage_1,output_case_inz_entries_7dayAverage_0,output_case_inz_entries_7dayAverage_1,iteration
0,AG,1.417142857142857,1.5692908,1.6067078,3.27,10.895714285714288,0
1,AI,4.428571428571429,1.7357923,1.7551773,3.542857142857143,47.831428571428575,0
2,AR,4.637142857142857,1.7505537,1.7683573,7.988571428571428,15.975714285714286,0
3,BE,3.3671428571428565,1.7019653,1.72504,6.3100000000000005,14.444285714285714,0
4,BL,0.84,1.505041,1.5494163,2.6657142857142864,8.588571428571429,0
5,BS,1.53,2.1814833,2.15296,4.082857142857144,10.285714285714286,0
6,FR,4.5285714285714285,2.8272266,2.7291641,9.368571428571428,29.65571428571429,0
7,GE,8.982857142857146,5.8271174,5.406961,15.755714285714285,38.68,0
8,GL,2.461428571428571,1.6591723,1.6868553,2.814285714285714,15.835714285714285,0
9,GR,1.937142857142857,1.5775753,1.6140952,5.668571428571428,14.284285714285714,0
10,JU,3.3000000000000003,2.267508,2.2296398,14.365714285714288,45.81857142857143,0
11,LU,1.2785714285714285,1.5661967,1.6039491,3.0085714285714285,12.967142857142855,0
12,NE,5.101428571428571,2.523489,2.45806,13.275714285714288,31.40571428571429,0
13,NW,1.657142857142857,1.6403456,1.6700673,8.95,18.23571428571429,0
14,OW,1.8842857142857141,1.4992124,1.544219,7.910000000000001,16.197142857142858,0
15,SG,2.1814285714285715,1.6958522,1.7195628,6.991428571428571,18.15428571428572,0
16,SH,2.0814285714285714,1.5204569,1.5631626,3.988571428571429,7.631428571428572,0
17,SO,2.75,1.5648437,1.6027424,3.997142857142857,7.732857142857143,0
18,SZ,2.225714285714285,1.905677,1.9068303,14.598571428571427,44.06428571428571,0
19,TG,1.7385714285714289,1.603943,1.6376073,4.648571428571429,10.62857142857143,0
20,TI,0.8514285714285714,2.2901063,2.2498949,4.635714285714286,13.211428571428574,0
21,UR,0.7771428571428569,1.6497176,1.6784246,9.34,11.285714285714285,0
22,VD,9.511428571428572,4.2396646,3.9897723,13.501428571428573,27.095714285714287,0
23,VS,3.225714285714286,2.2191243,2.1865044,8.432857142857143,38.988571428571426,0
24,ZG,2.0128571428571442,1.8474926,1.8548467,10.857142857142858,23.165714285714284,0
25,ZH,3.767142857142857,2.33456,2.289457,8.982857142857142,17.86714285714286,0
26,AG,1.417142857142857,1.9193836,1.9112713,3.27,10.895714285714288,1
27,AI,4.428571428571429,2.267148,2.221135,3.542857142857143,47.831428571428575,1
28,AR,4.637142857142857,2.2127519,2.1726758,7.988571428571428,15.975714285714286,1
29,BE,3.3671428571428565,2.0838718,2.0578592,6.3100000000000005,14.444285714285714,1
30,BL,0.84,1.7845951,1.7911608,2.6657142857142864,8.588571428571429,1
31,BS,1.53,2.4095159,2.3480084,4.082857142857144,10.285714285714286,1
32,FR,4.5285714285714285,4.2573485,3.993941,9.368571428571428,29.65571428571429,1
33,GE,8.982857142857146,9.010751,8.227598,15.755714285714285,38.68,1
34,GL,2.461428571428571,2.0381503,2.0171072,2.814285714285714,15.835714285714285,1
35,GR,1.937142857142857,1.9283135,1.9192457,5.668571428571428,14.284285714285714,1
36,JU,3.3000000000000003,2.8103173,2.7050831,14.365714285714288,45.81857142857143,1
37,LU,1.2785714285714285,1.8864149,1.8818872,3.0085714285714285,12.967142857142855,1
38,NE,5.101428571428571,3.7949672,3.5821316,13.275714285714288,31.40571428571429,1
39,NW,1.657142857142857,1.9179783,1.9100184,8.95,18.23571428571429,1
40,OW,1.8842857142857141,1.7267752,1.7396388,7.910000000000001,16.197142857142858,1
41,SG,2.1814285714285715,2.11499,2.0855746,6.991428571428571,18.15428571428572,1
42,SH,2.0814285714285714,1.7984076,1.8034701,3.988571428571429,7.631428571428572,1
43,SO,2.75,1.8665828,1.8642204,3.997142857142857,7.732857142857143,1
44,SZ,2.225714285714285,2.3636322,2.3071055,14.598571428571427,44.06428571428571,1
45,TG,1.7385714285714289,1.9514754,1.939879,4.648571428571429,10.62857142857143,1
46,TI,0.8514285714285714,2.995495,2.8700325,4.635714285714286,13.211428571428574,1
47,UR,0.7771428571428569,1.9738204,1.9597819,9.34,11.285714285714285,1
48,VD,9.511428571428572,6.9845166,6.422955,13.501428571428573,27.095714285714287,1
49,VS,3.225714285714286,3.0564327,2.9243066,8.432857142857143,38.988571428571426,1
50,ZG,2.0128571428571442,2.4837105,2.4140947,10.857142857142858,23.165714285714284,1
51,ZH,3.767142857142857,3.0801697,2.945507,8.982857142857142,17.86714285714286,1
52,AG,1.417142857142857,1.3845062,1.4221435,3.27,10.895714285714288,2
53,AI,4.428571428571429,1.8974364,1.8818891,3.542857142857143,47.831428571428575,2
54,AR,4.637142857142857,1.8341324,1.8251247,7.988571428571428,15.975714285714286,2
55,BE,3.3671428571428565,1.6633089,1.6720166,6.3100000000000005,14.444285714285714,2
56,BL,0.84,1.3099754,1.3553649,2.6657142857142864,8.588571428571429,2
57,BS,1.53,2.1430192,2.102044,4.082857142857144,10.285714285714286,2
58,FR,4.5285714285714285,3.500585,3.3189564,9.368571428571428,29.65571428571429,2
59,GE,8.982857142857146,7.7227106,7.103428,15.755714285714285,38.68,2
60,GL,2.461428571428571,1.485246,1.5124317,2.814285714285714,15.835714285714285,2
61,GR,1.937142857142857,1.4043448,1.4399185,5.668571428571428,14.284285714285714,2
62,JU,3.3000000000000003,2.6098893,2.5205617,14.365714285714288,45.81857142857143,2
63,LU,1.2785714285714285,1.4167149,1.4510089,3.0085714285714285,12.967142857142855,2
64,NE,5.101428571428571,3.4919653,3.3111954,13.275714285714288,31.40571428571429,2
65,NW,1.657142857142857,1.4246614,1.4581331,8.95,18.23571428571429,2
66,OW,1.8842857142857141,1.3853183,1.4228711,7.910000000000001,16.197142857142858,2
67,SG,2.1814285714285715,1.7010269,1.7058291,6.991428571428571,18.15428571428572,2
68,SH,2.0814285714285714,1.3807425,1.4187714,3.988571428571429,7.631428571428572,2
69,SO,2.75,1.4049232,1.4404368,3.997142857142857,7.732857142857143,2
70,SZ,2.225714285714285,2.02446,1.9957542,14.598571428571427,44.06428571428571,2
71,TG,1.7385714285714289,1.4134219,1.448057,4.648571428571429,10.62857142857143,2
72,TI,0.8514285714285714,1.9623549,1.940177,4.635714285714286,13.211428571428574,2
73,UR,0.7771428571428569,1.5528,1.5729804,9.34,11.285714285714285,2
74,VD,9.511428571428572,5.9551115,5.5190215,13.501428571428573,27.095714285714287,2
75,VS,3.225714285714286,2.6001565,2.5118532,8.432857142857143,38.988571428571426,2
76,ZG,2.0128571428571442,2.2430274,2.1916778,10.857142857142858,23.165714285714284,2
77,ZH,3.767142857142857,2.9675221,2.841069,8.982857142857142,17.86714285714286,2
78,AG,1.417142857142857,1.620781,1.6296654,3.27,10.895714285714288,3
79,AI,4.428571428571429,2.2022433,2.1526415,3.542857142857143,47.831428571428575,3
80,AR,4.637142857142857,2.235417,2.182488,7.988571428571428,15.975714285714286,3
81,BE,3.3671428571428565,1.8224814,1.8111072,6.3100000000000005,14.444285714285714,3
82,BL,0.84,1.5141644,1.5337653,2.6657142857142864,8.588571428571429,3
83,BS,1.53,2.2722495,2.2157044,4.082857142857144,10.285714285714286,3
84,FR,4.5285714285714285,3.481341,3.303191,9.368571428571428,29.65571428571429,3
85,GE,8.982857142857146,6.7909427,6.2799788,15.755714285714285,38.68,3
86,GL,2.461428571428571,1.8262663,1.814502,2.814285714285714,15.835714285714285,3
87,GR,1.937142857142857,1.64744,1.653666,5.668571428571428,14.284285714285714,3
88,JU,3.3000000000000003,2.932453,2.8094525,14.365714285714288,45.81857142857143,3
89,LU,1.2785714285714285,1.6156743,1.6250777,3.0085714285714285,12.967142857142855,3
90,NE,5.101428571428571,3.5792165,3.3911967,13.275714285714288,31.40571428571429,3
91,NW,1.657142857142857,1.6748667,1.6783056,8.95,18.23571428571429,3
92,OW,1.8842857142857141,1.5203304,1.5393097,7.910000000000001,16.197142857142858,3
93,SG,2.1814285714285715,1.982218,1.9547734,6.991428571428571,18.15428571428572,3
94,SH,2.0814285714285714,1.5689169,1.5830176,3.988571428571429,7.631428571428572,3
95,SO,2.75,1.6163504,1.6256869,3.997142857142857,7.732857142857143,3
96,SZ,2.225714285714285,2.27001,2.2136106,14.598571428571427,44.06428571428571,3
97,TG,1.7385714285714289,1.7528241,1.7484217,4.648571428571429,10.62857142857143,3
98,TI,0.8514285714285714,2.3364983,2.273491,4.635714285714286,13.211428571428574,3
99,UR,0.7771428571428569,1.8978167,1.8788352,9.34,11.285714285714285,3
100,VD,9.511428571428572,5.347096,4.98134,13.501428571428573,27.095714285714287,3
101,VS,3.225714285714286,2.8489404,2.734359,8.432857142857143,38.988571428571426,3
102,ZG,2.0128571428571442,2.6318998,2.5391095,10.857142857142858,23.165714285714284,3
103,ZH,3.767142857142857,3.06119,2.9252877,8.982857142857142,17.86714285714286,3
104,AG,1.417142857142857,2.8021677,2.69938,3.27,10.895714285714288,4
105,AI,4.428571428571429,3.273907,3.1289759,3.542857142857143,47.831428571428575,4
106,AR,4.637142857142857,3.5536675,3.3836918,7.988571428571428,15.975714285714286,4
107,BE,3.3671428571428565,3.366351,3.2131119,6.3100000000000005,14.444285714285714,4
108,BL,0.84,2.2777948,2.2219052,2.6657142857142864,8.588571428571429,4
109,BS,1.53,4.6751485,4.4048514,4.082857142857144,10.285714285714286,4
110,FR,4.5285714285714285,6.5079737,6.073802,9.368571428571428,29.65571428571429,4
111,GE,8.982857142857146,12.2372675,11.290914,15.755714285714285,38.68,4
112,GL,2.461428571428571,3.1268194,2.9949875,2.814285714285714,15.835714285714285,4
113,GR,1.937142857142857,2.8922577,2.7813902,5.668571428571428,14.284285714285714,4
114,JU,3.3000000000000003,4.8544316,4.568114,14.365714285714288,45.81857142857143,4
115,LU,1.2785714285714285,2.7603705,2.6613398,3.0085714285714285,12.967142857142855,4
116,NE,5.101428571428571,5.895533,5.516161,13.275714285714288,31.40571428571429,4
117,NW,1.657142857142857,2.8288186,2.7236428,8.95,18.23571428571429,4
118,OW,1.8842857142857141,2.1784868,2.1315167,7.910000000000001,16.197142857142858,4
119,SG,2.1814285714285715,3.3694139,3.2159104,6.991428571428571,18.15428571428572,4
120,SH,2.0814285714285714,2.4739504,2.4005451,3.988571428571429,7.631428571428572,4
121,SO,2.75,2.6418245,2.5533934,3.997142857142857,7.732857142857143,4
122,SZ,2.225714285714285,3.8631155,3.6654506,14.598571428571427,44.06428571428571,4
123,TG,1.7385714285714289,2.8237803,2.71908,4.648571428571429,10.62857142857143,4
124,TI,0.8514285714285714,4.782851,4.5028243,4.635714285714286,13.211428571428574,4
125,UR,0.7771428571428569,3.0611336,2.9351978,9.34,11.285714285714285,4
126,VD,9.511428571428572,9.795114,9.0670595,13.501428571428573,27.095714285714287,4
127,VS,3.225714285714286,4.965704,4.6694107,8.432857142857143,38.988571428571426,4
128,ZG,2.0128571428571442,3.9137208,3.7115455,10.857142857142858,23.165714285714284,4
129,ZH,3.767142857142857,5.385644,5.051835,8.982857142857142,17.86714285714286,4
130,AG,1.417142857142857,1.5175047,1.5188911,3.27,10.895714285714288,5
131,AI,4.428571428571429,1.7766234,1.7556744,3.542857142857143,47.831428571428575,5
132,AR,4.637142857142857,1.9118209,1.8792396,7.988571428571428,15.975714285714286,5
133,BE,3.3671428571428565,1.813268,1.7891703,6.3100000000000005,14.444285714285714,5
134,BL,0.84,1.3440152,1.360222,2.6657142857142864,8.588571428571429,5
135,BS,1.53,2.2041953,2.146432,4.082857142857144,10.285714285714286,5
136,FR,4.5285714285714285,4.1723275,3.9451642,9.368571428571428,29.65571428571429,5
137,GE,8.982857142857146,8.9953165,8.353058,15.755714285714285,38.68,5
138,GL,2.461428571428571,1.6292893,1.6210256,2.814285714285714,15.835714285714285,5
139,GR,1.937142857142857,1.5532553,1.5515563,5.668571428571428,14.284285714285714,5
140,JU,3.3000000000000003,2.7759607,2.6689622,14.365714285714288,45.81857142857143,5
141,LU,1.2785714285714285,1.4821243,1.4865334,3.0085714285714285,12.967142857142855,5
142,NE,5.101428571428571,3.695647,3.5095139,13.275714285714288,31.40571428571429,5
143,NW,1.657142857142857,1.5534658,1.5517508,8.95,18.23571428571429,5
144,OW,1.8842857142857141,1.4101796,1.4207284,7.910000000000001,16.197142857142858,5
145,SG,2.1814285714285715,1.7826271,1.7611622,6.991428571428571,18.15428571428572,5
146,SH,2.0814285714285714,1.4142747,1.424475,3.988571428571429,7.631428571428572,5
147,SO,2.75,1.4894804,1.4932609,3.997142857142857,7.732857142857143,5
148,SZ,2.225714285714285,2.1949022,2.1379514,14.598571428571427,44.06428571428571,5
149,TG,1.7385714285714289,1.5520636,1.5504644,4.648571428571429,10.62857142857143,5
150,TI,0.8514285714285714,2.630873,2.5363507,4.635714285714286,13.211428571428574,5
151,UR,0.7771428571428569,1.6627743,1.6516238,9.34,11.285714285714285,5
152,VD,9.511428571428572,6.9985285,6.528094,13.501428571428573,27.095714285714287,5
153,VS,3.225714285714286,3.0251458,2.8967102,8.432857142857143,38.988571428571426,5
154,ZG,2.0128571428571442,2.235767,2.175302,10.857142857142858,23.165714285714284,5
