modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
modelClass=Keras/isMultiWeek=True/hiddenLayers=[80]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.5/learningRate=0.0001,10,1.80103617949607,2.7020931307655345,2.217556984171578,3.827809465826908,0.1878286815845273,0.29408891563472556,Keras,True,[80],1.0,False,0.01,0.0001,0.5,0.0001,82.0,18555,,,,232.0,251.0,1.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 100, 20]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.2/learningRate=0.001",10,1.8216969066860953,2.701836939477811,2.217556984171578,3.827809465826908,0.17851179487654334,0.29415584458978744,Keras,True,"[250, 100, 20]",3.0,False,0.001,0.0,0.2,0.001,13.0,3850,,,,319.0,248.0,2.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[200]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.5/learningRate=0.0001,10,1.8212475634896974,2.715544518083209,2.217556984171578,3.827809465826908,0.17871442470730087,0.2905747941932685,Keras,True,[200],1.0,False,0.01,0.0,0.5,0.0001,65.0,18901,,,,317.0,323.0,3.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[125]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.5/learningRate=0.0001,10,1.7857104333249163,2.715817697334015,2.217556984171578,3.827809465826908,0.19473977621729008,0.29050342720041145,Keras,True,[125],1.0,False,0.01,0.01,0.5,0.0001,135.0,18694,,,,175.0,324.0,4.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[70]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.3/learningRate=0.0001,10,1.8237520004023287,2.6932231471970534,2.217556984171578,3.827809465826908,0.1775850571507928,0.2964061635666482,Keras,True,[70],1.0,False,0.01,0.0001,0.3,0.0001,85.0,16106,,,,327.0,205.0,5.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[80]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.2/learningRate=0.0001,10,1.826348020916251,2.697187956128893,2.217556984171578,3.827809465826908,0.17641439027167666,0.2953703730009902,Keras,True,[80],1.0,False,0.01,0.001,0.2,0.0001,74.0,13727,,,,336.0,227.0,6.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[125]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.5/learningRate=0.0001,10,1.8315963334269352,2.7152406985742417,2.217556984171578,3.827809465826908,0.1740476810740572,0.290654165831716,Keras,True,[125],1.0,False,0.01,0.0,0.5,0.0001,96.0,18898,,,,353.0,321.0,7.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[250]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.5/learningRate=0.0001,10,1.8303713743175072,2.721119646370492,2.217556984171578,3.827809465826908,0.17460007233983818,0.2891183141001355,Keras,True,[250],1.0,False,0.01,0.001,0.5,0.0001,53.0,18631,,,,347.0,354.0,8.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[225, 225]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.0001/dropoutValue=0.3/learningRate=0.001",10,1.8347393152978628,2.6730222515708686,2.217556984171578,3.827809465826908,0.17263036377697688,0.3016835672113515,Keras,True,"[225, 225]",2.0,False,0.001,0.0001,0.3,0.001,13.0,5925,,,,373.0,146.0,9.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 200]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.0001/dropoutValue=0.3/learningRate=0.001",10,1.7908905611018993,2.7233300429547995,2.217556984171578,3.827809465826908,0.19240381470019827,0.2885408567830875,Keras,True,"[200, 200]",2.0,False,0.001,0.0001,0.3,0.001,14.0,5924,,,,192.0,373.0,9.0
