modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
modelClass=Keras/isMultiWeek=True/hiddenLayers=[200]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0/learningRate=0.001,10,0.0812676815598271,0.1616801553675851,0.11006964252177773,0.29486081431340805,0.26167034163168146,0.4516729673148939,Keras,True,[200],1.0,False,0.0,0.0,0.0,0.001,19.0,2989,,,,8.0,31.0,1.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[225, 225]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0844733278123412,0.16245081297071118,0.11006964252177773,0.29486081431340805,0.23254654165313743,0.4490593355072202,Keras,True,"[225, 225]",2.0,False,0.0,0.0001,0.0,0.0001,22.0,12453,,,,20.0,45.0,2.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[225, 112, 56]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.2/learningRate=0.0001",10,0.0854226480997101,0.1635269920724993,0.11006964252177773,0.29486081431340805,0.22392181765459185,0.4454095487280104,Keras,True,"[225, 112, 56]",3.0,False,0.0,0.0001,0.2,0.0001,22.0,14929,,,,30.0,60.0,3.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[225, 225]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.001",10,0.0875638967512497,0.1631856050800329,0.11006964252177773,0.29486081431340805,0.20446823715335652,0.4465673390341293,Keras,True,"[225, 225]",2.0,False,0.0,0.0001,0.0,0.001,12.0,2661,,,,62.0,54.0,4.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.001",10,0.08759098160647799,0.1622831404745378,0.11006964252177773,0.29486081431340805,0.20422216698716217,0.4496279851481154,Keras,True,"[500, 250]",2.0,False,0.0,0.0001,0.0,0.001,12.0,2682,,,,63.0,40.0,5.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 500, 250]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.08462622216662241,0.1642693016891874,0.11006964252177773,0.29486081431340805,0.23115747241680404,0.44289205715010577,Keras,True,"[1000, 500, 250]",3.0,False,0.0,0.0001,0.0,0.0001,14.0,12490,,,,21.0,79.0,6.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[350]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.001/dropoutValue=0/learningRate=0.0001,10,0.08833136469533,0.1579894260338451,0.11006964252177773,0.29486081431340805,0.19749567027208909,0.4641898198588101,Keras,True,[350],1.0,False,0.0,0.001,0.0,0.0001,32.0,12513,,,,82.0,9.0,7.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[300, 150, 75]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.001",10,0.08886366646891819,0.1641845446977905,0.11006964252177773,0.29486081431340805,0.19265962500663023,0.44317950460762656,Keras,True,"[300, 150, 75]",3.0,False,0.0,0.0001,0.0,0.001,13.0,2692,,,,97.0,77.0,8.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 100, 50]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0860738583219825,0.16530106719482063,0.11006964252177773,0.29486081431340805,0.2180054704461093,0.43939289600169845,Keras,True,"[400, 100, 50]",3.0,False,0.0,0.0001,0.0,0.0001,21.0,12488,,,,37.0,100.0,9.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[40]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.001,10,0.0867714366982643,0.16552400800026562,0.11006964252177773,0.29486081431340805,0.21166786127159248,0.4386368077233556,Keras,True,[40],1.0,False,0.0,0.0001,0.0,0.001,24.0,2639,,,,47.0,113.0,10.0
