modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.0001/dropoutValue=0.5/learningRate=0.0001",10,24.62393006078396,25.79549214523123,34.24296712938899,47.30958968594186,0.28090547855444165,0.4547513027174613,Keras,True,"[500, 250]",2.0,False,0.001,0.0001,0.5,0.0001,25.0,18186,,,,168.0,314.0,1.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[175, 87, 40]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.2/learningRate=0.0001",10,23.91713873659335,25.950507390282347,34.24296712938899,47.30958968594186,0.3015459598982445,0.4514746891158603,Keras,True,"[175, 87, 40]",3.0,False,0.0,0.0001,0.2,0.0001,27.0,14927,,,,11.0,384.0,2.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 100, 50]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.2/learningRate=0.0001",10,24.804781141291365,25.982489224037668,34.24296712938899,47.30958968594186,0.27562407055541954,0.45079867746647534,Keras,True,"[400, 100, 50]",3.0,False,0.01,0.01,0.2,0.0001,19.0,13848,,,,301.0,405.0,3.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 200]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.2/learningRate=0.001",10,25.032640872017716,26.15943547268732,34.24296712938899,47.30958968594186,0.2689698653323333,0.44705850026721644,Keras,True,"[200, 200]",2.0,False,0.01,0.01,0.2,0.001,12.0,4020,,,,526.0,501.0,4.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 400]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.5/learningRate=0.0001",10,25.064357425892453,25.756091796322437,34.24296712938899,47.30958968594186,0.26804364437271566,0.4555841222191806,Keras,True,"[400, 400]",2.0,False,0.001,0.0,0.5,0.0001,29.0,18508,,,,563.0,279.0,5.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 200]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.01/dropoutValue=0.5/learningRate=0.0001",10,25.10590326608727,26.309368218148986,34.24296712938899,47.30958968594186,0.2668303780094991,0.44388931730754644,Keras,True,"[400, 200]",2.0,False,0.001,0.01,0.5,0.0001,32.0,18321,,,,612.0,600.0,6.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 350]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.5/learningRate=0.0001",10,25.130651720542517,25.97264028885255,34.24296712938899,47.30958968594186,0.26610764699259476,0.4510068579907728,Keras,True,"[350, 350]",2.0,False,0.001,0.0,0.5,0.0001,33.0,18507,,,,640.0,396.0,7.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 175]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.5/learningRate=0.0001",10,25.086652613994175,26.445480287308214,34.24296712938899,47.30958968594186,0.26739255628162006,0.44101226700838325,Keras,True,"[350, 175]",2.0,False,0.01,0.0,0.5,0.0001,30.0,18932,,,,594.0,683.0,8.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[300, 150, 75]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.0001/alpha=0/dropoutValue=0.2/learningRate=0.001",10,25.15989920300954,25.940606343177503,34.24296712938899,47.30958968594186,0.2652535305149977,0.4516839711487541,Keras,True,"[300, 150, 75]",3.0,False,0.0001,0.0,0.2,0.001,14.0,3440,,,,686.0,378.0,9.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[300, 150, 75]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.2/learningRate=0.0001",10,25.163190665962237,25.901556855301052,34.24296712938899,47.30958968594186,0.26515740966950385,0.452509374373252,Keras,True,"[300, 150, 75]",3.0,False,0.01,0.001,0.2,0.0001,19.0,13776,,,,693.0,360.0,10.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 200]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.0001/alpha=0.001/dropoutValue=0.5/learningRate=0.0001",10,25.140852833344276,26.556969182997562,34.24296712938899,47.30958968594186,0.26580974311168354,0.43865568568038077,Keras,True,"[400, 200]",2.0,False,0.0001,0.001,0.5,0.0001,27.0,17845,,,,660.0,761.0,11.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 125]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.0001/alpha=0.001/dropoutValue=0.3/learningRate=0.001",10,25.229365027209216,25.577629870735063,34.24296712938899,47.30958968594186,0.2632249147137678,0.4593563368330056,Keras,True,"[250, 125]",2.0,False,0.0001,0.001,0.3,0.001,15.0,5603,,,,791.0,213.0,12.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 100]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.0001/alpha=0.001/dropoutValue=0.3/learningRate=0.001",10,25.233070461117805,26.61070723843732,34.24296712938899,47.30958968594186,0.2631167046426432,0.4375198048622107,Keras,True,"[200, 100]",2.0,False,0.0001,0.001,0.3,0.001,17.0,5601,,,,796.0,801.0,13.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.5/learningRate=0.0001",10,25.22288792172981,26.644946671078817,34.24296712938899,47.30958968594186,0.2634140661227252,0.436796073524256,Keras,True,"[500, 250]",2.0,False,0.01,0.0001,0.5,0.0001,34.0,18594,,,,785.0,833.0,14.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[175, 175]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.2/learningRate=0.001",10,25.255277052981434,26.374595444091746,34.24296712938899,47.30958968594186,0.2624682038342956,0.4425105857147391,Keras,True,"[175, 175]",2.0,False,0.001,0.0,0.2,0.001,13.0,3815,,,,838.0,651.0,15.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 100, 50]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.3/learningRate=0.0001",10,24.90322117972752,26.64951043293189,34.24296712938899,47.30958968594186,0.2727493185497246,0.43669960763048327,Keras,True,"[400, 100, 50]",3.0,False,0.01,0.0001,0.3,0.0001,20.0,16160,,,,387.0,840.0,16.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[225, 112]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.0001/alpha=0.0001/dropoutValue=0.3/learningRate=0.001",10,25.27695474541462,25.945245994112184,34.24296712938899,47.30958968594186,0.2618351485166511,0.4515859011598685,Keras,True,"[225, 112]",2.0,False,0.0001,0.0001,0.3,0.001,16.0,5534,,,,873.0,382.0,17.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[100, 50]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.2/learningRate=0.001",10,25.288684973612494,26.61729289356567,34.24296712938899,47.30958968594186,0.26149258976134376,0.4373806014750736,Keras,True,"[100, 50]",2.0,False,0.001,0.0,0.2,0.001,18.0,3830,,,,895.0,808.0,18.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.01/dropoutValue=0.5/learningRate=0.0001",10,25.23984314334075,26.70576279124459,34.24296712938899,47.30958968594186,0.2629189214833348,0.43551058107823193,Keras,True,"[500, 250]",2.0,False,0.0,0.01,0.5,0.0001,29.0,19954,,,,809.0,898.0,19.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[125, 125]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.0001/alpha=0.001/dropoutValue=0.3/learningRate=0.001",10,24.46749665251312,26.717441485172674,34.24296712938899,47.30958968594186,0.2854738153951058,0.43526372427804383,Keras,True,"[125, 125]",2.0,False,0.0001,0.001,0.3,0.001,16.0,5582,,,,101.0,910.0,20.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 200]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.5/learningRate=0.0001",10,25.07581919572486,26.719839768265178,34.24296712938899,47.30958968594186,0.26770892542768093,0.4352130308962491,Keras,True,"[400, 200]",2.0,False,0.001,0.0,0.5,0.0001,23.0,18525,,,,580.0,912.0,21.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.2/learningRate=0.001",10,25.311147498148227,26.611996125685305,34.24296712938899,47.30958968594186,0.2608366149315091,0.43749256118378227,Keras,True,"[500, 250]",2.0,False,0.01,0.01,0.2,0.001,42.0,4042,,,,929.0,803.0,22.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[125, 63]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.2/learningRate=0.0001",10,25.08020604397843,26.745795695182572,34.24296712938899,47.30958968594186,0.2675808159610862,0.4346643910308497,Keras,True,"[125, 63]",2.0,False,0.01,0.0001,0.2,0.0001,46.0,13691,,,,586.0,938.0,23.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.3/learningRate=0.001",10,24.750529844350275,26.750769053301784,34.24296712938899,47.30958968594186,0.27720837534817006,0.43455926735186146,Keras,True,"[250, 250]",2.0,False,0.001,0.0,0.3,0.001,13.0,6266,,,,246.0,943.0,24.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 125, 62]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.2/learningRate=0.0001",10,25.32306269459891,25.943951899692635,34.24296712938899,47.30958968594186,0.2604886545341037,0.45161325490417575,Keras,True,"[250, 125, 62]",3.0,False,0.01,0.0,0.2,0.0001,23.0,14046,,,,952.0,379.0,25.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[350]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.3/learningRate=0.001,10,25.32403867383306,26.4556510565833,34.24296712938899,47.30958968594186,0.26046015293754343,0.4407972837599002,Keras,True,[350],1.0,False,0.001,0.0,0.3,0.001,18.0,6257,,,,954.0,688.0,26.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 350]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.2/learningRate=0.001",10,25.164317672340438,26.773756403953087,34.24296712938899,47.30958968594186,0.26512449761565227,0.4340733753624381,Keras,True,"[350, 350]",2.0,False,0.01,0.0001,0.2,0.001,27.0,3887,,,,694.0,971.0,27.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 400]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.0001/alpha=0.001/dropoutValue=0.5/learningRate=0.0001",10,25.334520871184537,26.06544211110888,34.24296712938899,47.30958968594186,0.2601540405229308,0.4490452721289553,Keras,True,"[400, 400]",2.0,False,0.0001,0.001,0.5,0.0001,24.0,17828,,,,974.0,448.0,28.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 400]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.3/learningRate=0.0001",10,25.33575709884199,25.564893482537215,34.24296712938899,47.30958968594186,0.26011793887166956,0.4596255505015746,Keras,True,"[400, 400]",2.0,False,0.01,0.0,0.3,0.0001,22.0,16468,,,,976.0,207.0,29.0
