task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,14.496909979813886,11.357507148551965,allWithoutCantonI,AI,0
case_inz_entries_7dayAverage,1,20.387900902092817,32.70758739662912,allWithoutCantonI,AI,0
case_inz_entries_7dayAverage,2,20.68271572018521,47.396698725563866,allWithoutCantonI,AI,0
case_inz_entries_7dayAverage,3,17.669461863032588,47.27947005391259,allWithoutCantonI,AI,0
hosp_inz_entries_7dayAverage,0,0.5428045691176768,0.8269012269167606,allWithoutCantonI,AI,0
hosp_inz_entries_7dayAverage,1,0.6933135353743994,2.5357232925752196,allWithoutCantonI,AI,0
hosp_inz_entries_7dayAverage,2,0.6687296503718325,3.5517012553693728,allWithoutCantonI,AI,0
hosp_inz_entries_7dayAverage,3,0.5895323962871895,2.8248248359454013,allWithoutCantonI,AI,0
death_inz_entries_7dayAverage,0,0.03212898286431399,0.5089811493815161,allWithoutCantonI,AI,0
death_inz_entries_7dayAverage,1,0.07936485786930343,0.46644595530802263,allWithoutCantonI,AI,0
death_inz_entries_7dayAverage,2,0.09454163567009818,1.0001006124303047,allWithoutCantonI,AI,0
death_inz_entries_7dayAverage,3,0.09478142333625958,2.0829136078431634,allWithoutCantonI,AI,0
testPositvity_7dayAverage,0,0.048471916254095686,0.06040494157841188,allWithoutCantonI,AI,0
testPositvity_7dayAverage,1,0.03698650791706952,0.1011770237223798,allWithoutCantonI,AI,0
testPositvity_7dayAverage,2,0.015759891229840072,0.11593246608738267,allWithoutCantonI,AI,0
testPositvity_7dayAverage,3,0.023010823883075123,0.11180527114647805,allWithoutCantonI,AI,0
testPositvity_7dayAverage,0,0.03558590886065636,0.06414400137089622,allWithoutCantonI,AI,1
testPositvity_7dayAverage,1,0.027816358872660575,0.09795779649925983,allWithoutCantonI,AI,1
testPositvity_7dayAverage,2,0.010044040006452289,0.10905691462770399,allWithoutCantonI,AI,1
testPositvity_7dayAverage,3,0.016672946095899085,0.10982320080032777,allWithoutCantonI,AI,1
testPositvity_7dayAverage,0,0.04138277914211764,0.056724657196874737,allWithoutCantonI,AI,2
testPositvity_7dayAverage,1,0.02840076846910604,0.09029572014407565,allWithoutCantonI,AI,2
testPositvity_7dayAverage,2,0.009884456572933076,0.09710448416659885,allWithoutCantonI,AI,2
testPositvity_7dayAverage,3,0.017353304221012406,0.09343881866591545,allWithoutCantonI,AI,2
testPositvity_7dayAverage,0,0.041256179222312395,0.06591786800914486,allWithoutCantonI,AI,3
testPositvity_7dayAverage,1,0.030601778855247293,0.0978879695306448,allWithoutCantonI,AI,3
testPositvity_7dayAverage,2,0.014170168710847444,0.10559017468351084,allWithoutCantonI,AI,3
testPositvity_7dayAverage,3,0.024164068230007236,0.10268770040321563,allWithoutCantonI,AI,3
testPositvity_7dayAverage,0,0.02855273335932865,0.06022514126185483,allWithoutCantonI,AI,4
testPositvity_7dayAverage,1,0.026835160912829167,0.10553246363374828,allWithoutCantonI,AI,4
testPositvity_7dayAverage,2,0.015038789946235323,0.1148411743626542,allWithoutCantonI,AI,4
testPositvity_7dayAverage,3,0.025802592001157094,0.1116743547430573,allWithoutCantonI,AI,4
testPositvity_7dayAverage,0,0.03177702881271134,0.06894880535170797,allWithoutCantonI,AI,5
testPositvity_7dayAverage,1,0.028051941636165912,0.10900096096970743,allWithoutCantonI,AI,5
testPositvity_7dayAverage,2,0.009869992979945449,0.1160431186753618,allWithoutCantonI,AI,5
testPositvity_7dayAverage,3,0.01554660688104025,0.11071143218125372,allWithoutCantonI,AI,5
testPositvity_7dayAverage,0,0.036660575187409956,0.07159651197086594,allWithoutCantonI,AI,6
testPositvity_7dayAverage,1,0.031086483399532686,0.10143635360797092,allWithoutCantonI,AI,6
testPositvity_7dayAverage,2,0.012655064194313115,0.09832198766081718,allWithoutCantonI,AI,6
testPositvity_7dayAverage,3,0.01804953508664681,0.09311752067368854,allWithoutCantonI,AI,6
testPositvity_7dayAverage,0,0.018757076195963902,0.06915509040490259,allWithoutCantonI,AI,7
testPositvity_7dayAverage,1,0.024135524496123394,0.11046419667368367,allWithoutCantonI,AI,7
testPositvity_7dayAverage,2,0.014448027009511002,0.11100189512470478,allWithoutCantonI,AI,7
testPositvity_7dayAverage,3,0.027219589912098056,0.10362946195341323,allWithoutCantonI,AI,7
testPositvity_7dayAverage,0,0.04760721380888729,0.07367104239357077,allWithoutCantonI,AI,8
testPositvity_7dayAverage,1,0.03580349011569376,0.10220964625463247,allWithoutCantonI,AI,8
testPositvity_7dayAverage,2,0.026459524776846807,0.09854637979751181,allWithoutCantonI,AI,8
testPositvity_7dayAverage,3,0.03474646006904436,0.09426419960373612,allWithoutCantonI,AI,8
testPositvity_7dayAverage,0,0.02422688566478032,0.06572610009436673,allWithoutCantonI,AI,9
testPositvity_7dayAverage,1,0.032213047523714164,0.10205279091098896,allWithoutCantonI,AI,9
testPositvity_7dayAverage,2,0.026245741527488535,0.09828031360619312,allWithoutCantonI,AI,9
testPositvity_7dayAverage,3,0.033553493191412966,0.09673075803965905,allWithoutCantonI,AI,9
transit_stations_percent_change_from_baseline_7dayAverage,0,7.870993547346912,3.992351993085031,allWithoutCantonI,AI,0
transit_stations_percent_change_from_baseline_7dayAverage,1,5.862241386059572,3.9074796944206978,allWithoutCantonI,AI,0
transit_stations_percent_change_from_baseline_7dayAverage,2,9.48836033656278,6.849978901029414,allWithoutCantonI,AI,0
transit_stations_percent_change_from_baseline_7dayAverage,3,12.258476074043744,7.391257825855858,allWithoutCantonI,AI,0
transit_stations_percent_change_from_baseline_7dayAverage,0,5.863709601712652,3.8572466065684035,allWithoutCantonI,AI,1
transit_stations_percent_change_from_baseline_7dayAverage,1,6.795056372399972,3.615900907736102,allWithoutCantonI,AI,1
transit_stations_percent_change_from_baseline_7dayAverage,2,8.965073989976556,5.654678427087736,allWithoutCantonI,AI,1
transit_stations_percent_change_from_baseline_7dayAverage,3,10.040788185798458,6.164243297294337,allWithoutCantonI,AI,1
transit_stations_percent_change_from_baseline_7dayAverage,0,5.187073258866582,3.1100700497071756,allWithoutCantonI,AI,2
transit_stations_percent_change_from_baseline_7dayAverage,1,5.913888625801621,3.9993238373716142,allWithoutCantonI,AI,2
transit_stations_percent_change_from_baseline_7dayAverage,2,7.1752705912166,4.958124905523342,allWithoutCantonI,AI,2
transit_stations_percent_change_from_baseline_7dayAverage,3,9.089012254027827,6.178568179008803,allWithoutCantonI,AI,2
transit_stations_percent_change_from_baseline_7dayAverage,0,7.283325477077158,3.485432231044015,allWithoutCantonI,AI,3
transit_stations_percent_change_from_baseline_7dayAverage,1,5.50953346007977,5.360568753418821,allWithoutCantonI,AI,3
transit_stations_percent_change_from_baseline_7dayAverage,2,9.036603628486121,5.714703323873251,allWithoutCantonI,AI,3
transit_stations_percent_change_from_baseline_7dayAverage,3,11.596445581991913,6.131114052532872,allWithoutCantonI,AI,3
transit_stations_percent_change_from_baseline_7dayAverage,0,5.9496557562523,3.419739770830737,allWithoutCantonI,AI,4
