task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,4.103393424605993,5.80389821923598,allWithoutCantonI,AR,0
case_inz_entries_7dayAverage,1,8.086821243866224,16.18377767153017,allWithoutCantonI,AR,0
case_inz_entries_7dayAverage,2,11.824416389823833,30.793198543545223,allWithoutCantonI,AR,0
case_inz_entries_7dayAverage,3,15.247107515024835,33.934374700616466,allWithoutCantonI,AR,0
hosp_inz_entries_7dayAverage,0,0.3075256931728004,0.846814822993429,allWithoutCantonI,AR,0
hosp_inz_entries_7dayAverage,1,0.5552296642959106,1.3751566199812248,allWithoutCantonI,AR,0
hosp_inz_entries_7dayAverage,2,0.705841729239205,1.1552642704883653,allWithoutCantonI,AR,0
hosp_inz_entries_7dayAverage,3,0.7232388251601639,1.3047111702690197,allWithoutCantonI,AR,0
death_inz_entries_7dayAverage,0,0.015729213852604913,0.2210900062170475,allWithoutCantonI,AR,0
death_inz_entries_7dayAverage,1,0.03333523924620339,0.37837670313752536,allWithoutCantonI,AR,0
death_inz_entries_7dayAverage,2,0.05563198714053158,0.5076942600203619,allWithoutCantonI,AR,0
death_inz_entries_7dayAverage,3,0.09988045594738054,0.7167493721609338,allWithoutCantonI,AR,0
testPositvity_7dayAverage,0,0.017726065341523666,0.02717023769562503,allWithoutCantonI,AR,0
testPositvity_7dayAverage,1,0.024724229657060223,0.04336723304820685,allWithoutCantonI,AR,0
testPositvity_7dayAverage,2,0.02403710628683095,0.049123716877794744,allWithoutCantonI,AR,0
testPositvity_7dayAverage,3,0.015231504501807207,0.04176033208393407,allWithoutCantonI,AR,0
testPositvity_7dayAverage,0,0.019855737898343676,0.026455518807347728,allWithoutCantonI,AR,1
testPositvity_7dayAverage,1,0.01577876497169097,0.03660739392659542,allWithoutCantonI,AR,1
testPositvity_7dayAverage,2,0.015140737906277308,0.03582917407287343,allWithoutCantonI,AR,1
testPositvity_7dayAverage,3,0.016382908434418798,0.031130455086722932,allWithoutCantonI,AR,1
testPositvity_7dayAverage,0,0.01856712450170814,0.029119998643505535,allWithoutCantonI,AR,2
testPositvity_7dayAverage,1,0.017275916819153102,0.0417524911495467,allWithoutCantonI,AR,2
testPositvity_7dayAverage,2,0.02134257849783702,0.038682640166136165,allWithoutCantonI,AR,2
testPositvity_7dayAverage,3,0.026789299329010627,0.027567948540633797,allWithoutCantonI,AR,2
testPositvity_7dayAverage,0,0.02260135517402818,0.038558940447874133,allWithoutCantonI,AR,3
testPositvity_7dayAverage,1,0.020173530831871136,0.0635337059598911,allWithoutCantonI,AR,3
testPositvity_7dayAverage,2,0.01707137512790529,0.06539990476979235,allWithoutCantonI,AR,3
testPositvity_7dayAverage,3,0.022790807384319822,0.04727299945475127,allWithoutCantonI,AR,3
testPositvity_7dayAverage,0,0.013734862399678362,0.036115647177517585,allWithoutCantonI,AR,4
testPositvity_7dayAverage,1,0.013268325797102286,0.05678056567637133,allWithoutCantonI,AR,4
testPositvity_7dayAverage,2,0.016890964872242672,0.06059779325031866,allWithoutCantonI,AR,4
testPositvity_7dayAverage,3,0.022788201563678133,0.04618585888954906,allWithoutCantonI,AR,4
testPositvity_7dayAverage,0,0.011001332947716129,0.02931027433956722,allWithoutCantonI,AR,5
testPositvity_7dayAverage,1,0.011178458619057433,0.04656826427460201,allWithoutCantonI,AR,5
testPositvity_7dayAverage,2,0.02171977307127742,0.04364499201876215,allWithoutCantonI,AR,5
testPositvity_7dayAverage,3,0.03878830505325651,0.028976321304801798,allWithoutCantonI,AR,5
testPositvity_7dayAverage,0,0.028065423917692244,0.042626036658133165,allWithoutCantonI,AR,6
testPositvity_7dayAverage,1,0.019137733500324293,0.06043776121287882,allWithoutCantonI,AR,6
testPositvity_7dayAverage,2,0.01682274949927465,0.05300286384694049,allWithoutCantonI,AR,6
testPositvity_7dayAverage,3,0.03254522291169366,0.03126721847569662,allWithoutCantonI,AR,6
testPositvity_7dayAverage,0,0.027141030754830434,0.038655890551787635,allWithoutCantonI,AR,7
testPositvity_7dayAverage,1,0.01958359405175655,0.05963163270712459,allWithoutCantonI,AR,7
testPositvity_7dayAverage,2,0.017405523174033825,0.060073006137827026,allWithoutCantonI,AR,7
testPositvity_7dayAverage,3,0.022591367833926127,0.04273544096387805,allWithoutCantonI,AR,7
testPositvity_7dayAverage,0,0.02686641353738595,0.04566645118334302,allWithoutCantonI,AR,8
testPositvity_7dayAverage,1,0.0200572800091913,0.06751814471192084,allWithoutCantonI,AR,8
testPositvity_7dayAverage,2,0.015439847014495535,0.06189370395069091,allWithoutCantonI,AR,8
testPositvity_7dayAverage,3,0.022880844119795966,0.035831288218967035,allWithoutCantonI,AR,8
testPositvity_7dayAverage,0,0.029194350106650835,0.039994646877149,allWithoutCantonI,AR,9
testPositvity_7dayAverage,1,0.021470937143397067,0.06111011557122805,allWithoutCantonI,AR,9
testPositvity_7dayAverage,2,0.017877142233187968,0.04934704887606856,allWithoutCantonI,AR,9
testPositvity_7dayAverage,3,0.024286688618370127,0.025295205620494875,allWithoutCantonI,AR,9
transit_stations_percent_change_from_baseline_7dayAverage,0,4.530753156048898,4.65526698491787,allWithoutCantonI,AR,0
