task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,5.681838644256607,3.459068862101688,allWithoutCantonI,BL,0
case_inz_entries_7dayAverage,1,9.977725689742918,9.03091923763008,allWithoutCantonI,BL,0
case_inz_entries_7dayAverage,2,13.616423174720897,16.585190632917993,allWithoutCantonI,BL,0
case_inz_entries_7dayAverage,3,16.967648760571898,18.957330814149316,allWithoutCantonI,BL,0
hosp_inz_entries_7dayAverage,0,0.24603093168216628,0.1809520500253879,allWithoutCantonI,BL,0
hosp_inz_entries_7dayAverage,1,0.537165346091425,0.32810220222674574,allWithoutCantonI,BL,0
hosp_inz_entries_7dayAverage,2,0.7022237512144893,0.3843825043645437,allWithoutCantonI,BL,0
hosp_inz_entries_7dayAverage,3,0.7059969320478007,0.6199469627458607,allWithoutCantonI,BL,0
death_inz_entries_7dayAverage,0,0.015886343273768224,0.08495254927364532,allWithoutCantonI,BL,0
death_inz_entries_7dayAverage,1,0.04281116883436582,0.17244263394827833,allWithoutCantonI,BL,0
death_inz_entries_7dayAverage,2,0.08678213128044214,0.3945793525787103,allWithoutCantonI,BL,0
death_inz_entries_7dayAverage,3,0.17554397086405163,0.4040117324045241,allWithoutCantonI,BL,0
testPositvity_7dayAverage,0,0.025235296768017727,0.02071636255862696,allWithoutCantonI,BL,0
testPositvity_7dayAverage,1,0.023389404489716915,0.02306080666482312,allWithoutCantonI,BL,0
testPositvity_7dayAverage,2,0.022774805086192732,0.023589916998678306,allWithoutCantonI,BL,0
testPositvity_7dayAverage,3,0.022959560502288073,0.02022362694653716,allWithoutCantonI,BL,0
testPositvity_7dayAverage,0,0.01099984741978709,0.012971045660846168,allWithoutCantonI,BL,1
testPositvity_7dayAverage,1,0.014337266574432588,0.02102642825287067,allWithoutCantonI,BL,1
testPositvity_7dayAverage,2,0.01861280127957114,0.013027027169283124,allWithoutCantonI,BL,1
testPositvity_7dayAverage,3,0.021805191656852598,0.021575378108067717,allWithoutCantonI,BL,1
testPositvity_7dayAverage,0,0.013566337963047846,0.011221312906963208,allWithoutCantonI,BL,2
testPositvity_7dayAverage,1,0.01294987118590237,0.020796458043034677,allWithoutCantonI,BL,2
testPositvity_7dayAverage,2,0.018151011744399044,0.0108068184999837,allWithoutCantonI,BL,2
testPositvity_7dayAverage,3,0.0267344622389545,0.016831271787065647,allWithoutCantonI,BL,2
testPositvity_7dayAverage,0,0.011355469734614126,0.006232838943689178,allWithoutCantonI,BL,3
testPositvity_7dayAverage,1,0.014126049076404499,0.01595608671687725,allWithoutCantonI,BL,3
testPositvity_7dayAverage,2,0.01805534613768418,0.010638572277971218,allWithoutCantonI,BL,3
testPositvity_7dayAverage,3,0.023647143154586214,0.016023239513892788,allWithoutCantonI,BL,3
testPositvity_7dayAverage,0,0.01051714923851015,0.008512904566196125,allWithoutCantonI,BL,4
testPositvity_7dayAverage,1,0.012806449803907383,0.02168097072366838,allWithoutCantonI,BL,4
testPositvity_7dayAverage,2,0.018466651199776387,0.015596045532649686,allWithoutCantonI,BL,4
testPositvity_7dayAverage,3,0.026569321874648437,0.028728753162995755,allWithoutCantonI,BL,4
testPositvity_7dayAverage,0,0.0070559853077885575,0.007950099648667443,allWithoutCantonI,BL,5
testPositvity_7dayAverage,1,0.0074554327020640914,0.013519997111618925,allWithoutCantonI,BL,5
testPositvity_7dayAverage,2,0.01064585343084983,0.0069261596491059264,allWithoutCantonI,BL,5
testPositvity_7dayAverage,3,0.017692649126643176,0.024664039760949767,allWithoutCantonI,BL,5
testPositvity_7dayAverage,0,0.008891956035382455,0.005998976415278516,allWithoutCantonI,BL,6
testPositvity_7dayAverage,1,0.008243224700238305,0.015924010945560202,allWithoutCantonI,BL,6
testPositvity_7dayAverage,2,0.012514343779738838,0.010029031098283748,allWithoutCantonI,BL,6
testPositvity_7dayAverage,3,0.01810254071500249,0.025442331504162245,allWithoutCantonI,BL,6
testPositvity_7dayAverage,0,0.014097655386421177,0.007338295779989816,allWithoutCantonI,BL,7
testPositvity_7dayAverage,1,0.01459674647353472,0.016741437288222978,allWithoutCantonI,BL,7
testPositvity_7dayAverage,2,0.01485726457906879,0.0120438702230048,allWithoutCantonI,BL,7
testPositvity_7dayAverage,3,0.015836537807872794,0.0223691529549598,allWithoutCantonI,BL,7
testPositvity_7dayAverage,0,0.020217758994679407,0.00635827587063035,allWithoutCantonI,BL,8
testPositvity_7dayAverage,1,0.01705946770415964,0.018696293624555153,allWithoutCantonI,BL,8
testPositvity_7dayAverage,2,0.015440122687947729,0.011851825282946633,allWithoutCantonI,BL,8
testPositvity_7dayAverage,3,0.018965033259441138,0.020953506585479415,allWithoutCantonI,BL,8
testPositvity_7dayAverage,0,0.007061634747627704,0.007852451761170871,allWithoutCantonI,BL,9
testPositvity_7dayAverage,1,0.007305765342951839,0.017621352515747066,allWithoutCantonI,BL,9
testPositvity_7dayAverage,2,0.010371550926187738,0.012022752235759217,allWithoutCantonI,BL,9
testPositvity_7dayAverage,3,0.017841244800165742,0.017484996027998894,allWithoutCantonI,BL,9
transit_stations_percent_change_from_baseline_7dayAverage,0,8.809716190432612,10.363359495589535,allWithoutCantonI,BL,0
transit_stations_percent_change_from_baseline_7dayAverage,1,4.48587033297634,12.456027081214412,allWithoutCantonI,BL,0
transit_stations_percent_change_from_baseline_7dayAverage,2,10.306754929263114,14.704651878417579,allWithoutCantonI,BL,0
transit_stations_percent_change_from_baseline_7dayAverage,3,12.584034244528754,11.402723872277372,allWithoutCantonI,BL,0
transit_stations_percent_change_from_baseline_7dayAverage,0,7.0771780712032895,10.762546795352902,allWithoutCantonI,BL,1
transit_stations_percent_change_from_baseline_7dayAverage,1,4.884649232273278,13.71750040013986,allWithoutCantonI,BL,1
transit_stations_percent_change_from_baseline_7dayAverage,2,9.659883229738385,16.30430904119785,allWithoutCantonI,BL,1
transit_stations_percent_change_from_baseline_7dayAverage,3,11.30672412218005,12.175464832826142,allWithoutCantonI,BL,1
transit_stations_percent_change_from_baseline_7dayAverage,0,6.895990679151264,10.50474774522249,allWithoutCantonI,BL,2
transit_stations_percent_change_from_baseline_7dayAverage,1,4.205431766878156,13.114763078242499,allWithoutCantonI,BL,2
transit_stations_percent_change_from_baseline_7dayAverage,2,7.559933270219702,15.961226158074455,allWithoutCantonI,BL,2
transit_stations_percent_change_from_baseline_7dayAverage,3,9.776007152980982,11.791494346973966,allWithoutCantonI,BL,2
transit_stations_percent_change_from_baseline_7dayAverage,0,8.16751514321732,11.368340752295207,allWithoutCantonI,BL,3
transit_stations_percent_change_from_baseline_7dayAverage,1,6.289450043473882,13.328828461862276,allWithoutCantonI,BL,3
transit_stations_percent_change_from_baseline_7dayAverage,2,9.549276406581505,15.767741296341912,allWithoutCantonI,BL,3
transit_stations_percent_change_from_baseline_7dayAverage,3,11.601241641240335,11.73899144575493,allWithoutCantonI,BL,3
transit_stations_percent_change_from_baseline_7dayAverage,0,8.060880309103734,10.499739902107413,allWithoutCantonI,BL,4
transit_stations_percent_change_from_baseline_7dayAverage,1,5.805301532152505,12.705450635929768,allWithoutCantonI,BL,4
transit_stations_percent_change_from_baseline_7dayAverage,2,8.879836118257824,15.772708803026687,allWithoutCantonI,BL,4
transit_stations_percent_change_from_baseline_7dayAverage,3,11.634679997755844,11.65441319796714,allWithoutCantonI,BL,4
transit_stations_percent_change_from_baseline_7dayAverage,0,10.195591943605427,11.763099709701828,allWithoutCantonI,BL,5
transit_stations_percent_change_from_baseline_7dayAverage,1,8.368125442117915,13.733616218398549,allWithoutCantonI,BL,5
transit_stations_percent_change_from_baseline_7dayAverage,2,10.73156037434677,17.12988294516244,allWithoutCantonI,BL,5
transit_stations_percent_change_from_baseline_7dayAverage,3,12.547708077710954,12.913965452454613,allWithoutCantonI,BL,5
transit_stations_percent_change_from_baseline_7dayAverage,0,6.797941234061562,11.180570630588617,allWithoutCantonI,BL,6
transit_stations_percent_change_from_baseline_7dayAverage,1,6.5005172367954955,13.351400660552683,allWithoutCantonI,BL,6
transit_stations_percent_change_from_baseline_7dayAverage,2,9.94093527697117,16.87010701225857,allWithoutCantonI,BL,6
transit_stations_percent_change_from_baseline_7dayAverage,3,11.916286767454148,12.787907008625366,allWithoutCantonI,BL,6
transit_stations_percent_change_from_baseline_7dayAverage,0,6.61349318880792,10.925366559622605,allWithoutCantonI,BL,7
transit_stations_percent_change_from_baseline_7dayAverage,1,7.379425843596262,13.411226842522373,allWithoutCantonI,BL,7
transit_stations_percent_change_from_baseline_7dayAverage,2,9.159236333394938,16.966076145172806,allWithoutCantonI,BL,7
transit_stations_percent_change_from_baseline_7dayAverage,3,12.118481071739634,13.114701969156183,allWithoutCantonI,BL,7
transit_stations_percent_change_from_baseline_7dayAverage,0,7.26672669362366,11.17381621863912,allWithoutCantonI,BL,8
transit_stations_percent_change_from_baseline_7dayAverage,1,7.476012585476802,13.313781768550978,allWithoutCantonI,BL,8
transit_stations_percent_change_from_baseline_7dayAverage,2,9.277203483146252,16.49890720768138,allWithoutCantonI,BL,8
transit_stations_percent_change_from_baseline_7dayAverage,3,11.398802970596254,12.75533351554186,allWithoutCantonI,BL,8
transit_stations_percent_change_from_baseline_7dayAverage,0,7.547797519862756,11.308014461403229,allWithoutCantonI,BL,9
transit_stations_percent_change_from_baseline_7dayAverage,1,8.136746026693555,13.425292659992088,allWithoutCantonI,BL,9
transit_stations_percent_change_from_baseline_7dayAverage,2,9.114133390228051,16.843178488376097,allWithoutCantonI,BL,9
transit_stations_percent_change_from_baseline_7dayAverage,3,12.47697162219542,12.945086449581567,allWithoutCantonI,BL,9
workplaces_percent_change_from_baseline_7dayAverage,0,7.809189918819215,4.080044097289687,allWithoutCantonI,BL,0
workplaces_percent_change_from_baseline_7dayAverage,1,7.757119834451428,4.983176474344657,allWithoutCantonI,BL,0
workplaces_percent_change_from_baseline_7dayAverage,2,8.300886118359733,5.6047915065688105,allWithoutCantonI,BL,0
workplaces_percent_change_from_baseline_7dayAverage,3,8.585803582505775,6.61685281922912,allWithoutCantonI,BL,0
