task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,4.852833078399614,7.280152469397098,allWithoutCantonI,GL,0
case_inz_entries_7dayAverage,1,7.394559543622813,18.279194263768247,allWithoutCantonI,GL,0
case_inz_entries_7dayAverage,2,10.513315373766462,27.457787404040438,allWithoutCantonI,GL,0
case_inz_entries_7dayAverage,3,14.005175332226631,28.235570094502826,allWithoutCantonI,GL,0
hosp_inz_entries_7dayAverage,0,0.7193886769432856,0.8584684907214756,allWithoutCantonI,GL,0
hosp_inz_entries_7dayAverage,1,0.7318988730777858,1.4299863131840445,allWithoutCantonI,GL,0
hosp_inz_entries_7dayAverage,2,0.9826858295589626,1.5038440040634375,allWithoutCantonI,GL,0
hosp_inz_entries_7dayAverage,3,0.9083029296016393,2.682698086868916,allWithoutCantonI,GL,0
death_inz_entries_7dayAverage,0,0.14196695273737703,0.21173574783557447,allWithoutCantonI,GL,0
death_inz_entries_7dayAverage,1,0.3299060957995047,0.7426075022592381,allWithoutCantonI,GL,0
death_inz_entries_7dayAverage,2,0.3476767055459587,0.8369923307933482,allWithoutCantonI,GL,0
death_inz_entries_7dayAverage,3,0.35523778174655396,0.26940013352956504,allWithoutCantonI,GL,0
testPositvity_7dayAverage,0,0.011021596862890096,0.021343148626994185,allWithoutCantonI,GL,0
testPositvity_7dayAverage,1,0.009241574007638793,0.03740203297382236,allWithoutCantonI,GL,0
testPositvity_7dayAverage,2,0.01124730208736484,0.030086449905803427,allWithoutCantonI,GL,0
testPositvity_7dayAverage,3,0.011658961967083626,0.03427533429905616,allWithoutCantonI,GL,0
testPositvity_7dayAverage,0,0.011666468649828336,0.030755610249604815,allWithoutCantonI,GL,1
testPositvity_7dayAverage,1,0.011204664517198691,0.05014798199724587,allWithoutCantonI,GL,1
testPositvity_7dayAverage,2,0.012040441835763862,0.03786380648874284,allWithoutCantonI,GL,1
testPositvity_7dayAverage,3,0.012498229201499017,0.042741003741643045,allWithoutCantonI,GL,1
testPositvity_7dayAverage,0,0.018726954196083397,0.020576829540993886,allWithoutCantonI,GL,2
testPositvity_7dayAverage,1,0.0175934686377298,0.03105165686583562,allWithoutCantonI,GL,2
testPositvity_7dayAverage,2,0.01827737994904216,0.02544578372430106,allWithoutCantonI,GL,2
testPositvity_7dayAverage,3,0.02111079749213125,0.03951909609472862,allWithoutCantonI,GL,2
testPositvity_7dayAverage,0,0.01590983045837577,0.021541949193152835,allWithoutCantonI,GL,3
testPositvity_7dayAverage,1,0.011926995045938527,0.030861931860819272,allWithoutCantonI,GL,3
testPositvity_7dayAverage,2,0.009573022779685894,0.02462157311560418,allWithoutCantonI,GL,3
testPositvity_7dayAverage,3,0.010786197437558364,0.03666380106583217,allWithoutCantonI,GL,3
testPositvity_7dayAverage,0,0.01981145911235036,0.02024169424536021,allWithoutCantonI,GL,4
testPositvity_7dayAverage,1,0.015206301083263318,0.03870191970159519,allWithoutCantonI,GL,4
testPositvity_7dayAverage,2,0.014358919526603741,0.030479223898429893,allWithoutCantonI,GL,4
testPositvity_7dayAverage,3,0.017672650596752073,0.05103652537782203,allWithoutCantonI,GL,4
testPositvity_7dayAverage,0,0.008581809870885351,0.017842258308472442,allWithoutCantonI,GL,5
testPositvity_7dayAverage,1,0.005323494657197849,0.03046211234265776,allWithoutCantonI,GL,5
testPositvity_7dayAverage,2,0.007517004820125887,0.02250900151676584,allWithoutCantonI,GL,5
testPositvity_7dayAverage,3,0.015526827467964948,0.03579922206208622,allWithoutCantonI,GL,5
testPositvity_7dayAverage,0,0.008971711818485283,0.018727079739046044,allWithoutCantonI,GL,6
testPositvity_7dayAverage,1,0.005202069531742032,0.03746813365623097,allWithoutCantonI,GL,6
testPositvity_7dayAverage,2,0.010502024654768002,0.02738750942014046,allWithoutCantonI,GL,6
testPositvity_7dayAverage,3,0.015243922808398428,0.04455557865703134,allWithoutCantonI,GL,6
testPositvity_7dayAverage,0,0.011903166013842765,0.024370560095860163,allWithoutCantonI,GL,7
