task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,4.901217066645946,4.632104174723759,allWithoutCantonI,GR,0
case_inz_entries_7dayAverage,1,7.584441540087832,12.34069737177508,allWithoutCantonI,GR,0
case_inz_entries_7dayAverage,2,9.925981756229248,22.940637366602044,allWithoutCantonI,GR,0
case_inz_entries_7dayAverage,3,12.451094951077208,24.889919354184762,allWithoutCantonI,GR,0
hosp_inz_entries_7dayAverage,0,0.2872964701897841,0.2582223413946101,allWithoutCantonI,GR,0
hosp_inz_entries_7dayAverage,1,0.5500756963650174,0.3747679246333329,allWithoutCantonI,GR,0
hosp_inz_entries_7dayAverage,2,0.604624643011216,0.6263789895882748,allWithoutCantonI,GR,0
hosp_inz_entries_7dayAverage,3,0.5412094493633707,0.7861221498475356,allWithoutCantonI,GR,0
death_inz_entries_7dayAverage,0,0.03746705466061044,0.07580075922382913,allWithoutCantonI,GR,0
death_inz_entries_7dayAverage,1,0.09800008756256423,0.17184381426773274,allWithoutCantonI,GR,0
death_inz_entries_7dayAverage,2,0.08493815383766502,0.1558557459241056,allWithoutCantonI,GR,0
death_inz_entries_7dayAverage,3,0.12903677085911777,0.2433728008208238,allWithoutCantonI,GR,0
testPositvity_7dayAverage,0,0.027403944839538695,0.015780888263484685,allWithoutCantonI,GR,0
testPositvity_7dayAverage,1,0.03459908312446892,0.04047216982646715,allWithoutCantonI,GR,0
testPositvity_7dayAverage,2,0.0356037602518111,0.07426488377311569,allWithoutCantonI,GR,0
testPositvity_7dayAverage,3,0.03445436451563516,0.08971741023242005,allWithoutCantonI,GR,0
testPositvity_7dayAverage,0,0.041665606307917706,0.021028327151637792,allWithoutCantonI,GR,1
testPositvity_7dayAverage,1,0.044900539895738556,0.03725445062682479,allWithoutCantonI,GR,1
testPositvity_7dayAverage,2,0.042769963639188224,0.06895305277829145,allWithoutCantonI,GR,1
testPositvity_7dayAverage,3,0.03950133172658941,0.08546644607134964,allWithoutCantonI,GR,1
testPositvity_7dayAverage,0,0.019870080207421703,0.011213012309473955,allWithoutCantonI,GR,2
testPositvity_7dayAverage,1,0.023684963454904933,0.030643022684341457,allWithoutCantonI,GR,2
testPositvity_7dayAverage,2,0.023824794082891478,0.06666963271851413,allWithoutCantonI,GR,2
testPositvity_7dayAverage,3,0.021606677819638653,0.08495915226863893,allWithoutCantonI,GR,2
testPositvity_7dayAverage,0,0.015636803928239254,0.016950058453179918,allWithoutCantonI,GR,3
testPositvity_7dayAverage,1,0.023401364271913624,0.031168555877489963,allWithoutCantonI,GR,3
testPositvity_7dayAverage,2,0.03067269271730151,0.06678028361405987,allWithoutCantonI,GR,3
testPositvity_7dayAverage,3,0.035462993358509894,0.0899063347628878,allWithoutCantonI,GR,3
testPositvity_7dayAverage,0,0.010033605478404484,0.01955680466343725,allWithoutCantonI,GR,4
testPositvity_7dayAverage,1,0.021857630467224966,0.03923014350926879,allWithoutCantonI,GR,4
testPositvity_7dayAverage,2,0.03279018459639701,0.07741803474747702,allWithoutCantonI,GR,4
testPositvity_7dayAverage,3,0.0361608418335491,0.09222657758558896,allWithoutCantonI,GR,4
testPositvity_7dayAverage,0,0.008269852129537496,0.021774972001319018,allWithoutCantonI,GR,5
testPositvity_7dayAverage,1,0.024579120855822603,0.0446815208418663,allWithoutCantonI,GR,5
testPositvity_7dayAverage,2,0.03170506978102077,0.08633518998551656,allWithoutCantonI,GR,5
testPositvity_7dayAverage,3,0.03180409518443789,0.10449327340571433,allWithoutCantonI,GR,5
testPositvity_7dayAverage,0,0.005712999509584198,0.027067288974668154,allWithoutCantonI,GR,6
testPositvity_7dayAverage,1,0.012455035645750288,0.03772451456675155,allWithoutCantonI,GR,6
testPositvity_7dayAverage,2,0.01826808296421649,0.0715816275735589,allWithoutCantonI,GR,6
testPositvity_7dayAverage,3,0.019917275472910227,0.08364502126294725,allWithoutCantonI,GR,6
testPositvity_7dayAverage,0,0.009453075467579578,0.02864573158865091,allWithoutCantonI,GR,7
testPositvity_7dayAverage,1,0.016704385450416553,0.047721321438964355,allWithoutCantonI,GR,7
testPositvity_7dayAverage,2,0.023795480954031067,0.08514665541483724,allWithoutCantonI,GR,7
testPositvity_7dayAverage,3,0.02833477339148934,0.09812357243864324,allWithoutCantonI,GR,7
testPositvity_7dayAverage,0,0.010796208843874328,0.03254378403594192,allWithoutCantonI,GR,8
testPositvity_7dayAverage,1,0.01836870902885986,0.05030080973860249,allWithoutCantonI,GR,8
testPositvity_7dayAverage,2,0.026869689990812285,0.08519741660901642,allWithoutCantonI,GR,8
testPositvity_7dayAverage,3,0.03463153661027537,0.10162786493404352,allWithoutCantonI,GR,8
testPositvity_7dayAverage,0,0.009831862599556599,0.025316778227985816,allWithoutCantonI,GR,9
testPositvity_7dayAverage,1,0.01678044722933176,0.04503881719339258,allWithoutCantonI,GR,9
testPositvity_7dayAverage,2,0.022801060392703215,0.08476574191066502,allWithoutCantonI,GR,9
testPositvity_7dayAverage,3,0.029607137376050703,0.11150973817207994,allWithoutCantonI,GR,9
transit_stations_percent_change_from_baseline_7dayAverage,0,9.99653984757082,11.529216303384263,allWithoutCantonI,GR,0
transit_stations_percent_change_from_baseline_7dayAverage,1,16.321542224872292,13.505201314617349,allWithoutCantonI,GR,0
transit_stations_percent_change_from_baseline_7dayAverage,2,10.900412913145143,12.28920667279085,allWithoutCantonI,GR,0
transit_stations_percent_change_from_baseline_7dayAverage,3,9.032508935557797,13.724053096480269,allWithoutCantonI,GR,0
transit_stations_percent_change_from_baseline_7dayAverage,0,9.709123294852061,9.683637556594165,allWithoutCantonI,GR,1
transit_stations_percent_change_from_baseline_7dayAverage,1,14.112421268490161,11.931157700049562,allWithoutCantonI,GR,1
transit_stations_percent_change_from_baseline_7dayAverage,2,9.041637349310179,11.197214299284818,allWithoutCantonI,GR,1
transit_stations_percent_change_from_baseline_7dayAverage,3,7.892138648222746,13.521120591494734,allWithoutCantonI,GR,1
transit_stations_percent_change_from_baseline_7dayAverage,0,10.09404486360225,9.97736928539476,allWithoutCantonI,GR,2
transit_stations_percent_change_from_baseline_7dayAverage,1,14.493579411376878,12.607424726873356,allWithoutCantonI,GR,2
transit_stations_percent_change_from_baseline_7dayAverage,2,11.452818036949028,12.010697448374618,allWithoutCantonI,GR,2
transit_stations_percent_change_from_baseline_7dayAverage,3,10.265972657511215,14.072415269436437,allWithoutCantonI,GR,2
transit_stations_percent_change_from_baseline_7dayAverage,0,10.679233148166134,10.125568121288401,allWithoutCantonI,GR,3
transit_stations_percent_change_from_baseline_7dayAverage,1,13.891662668801372,13.129030581124345,allWithoutCantonI,GR,3
transit_stations_percent_change_from_baseline_7dayAverage,2,12.043615895708726,12.756778265157205,allWithoutCantonI,GR,3
transit_stations_percent_change_from_baseline_7dayAverage,3,9.049892611837075,14.523988234097274,allWithoutCantonI,GR,3
transit_stations_percent_change_from_baseline_7dayAverage,0,10.415074812953167,9.071491748119916,allWithoutCantonI,GR,4
transit_stations_percent_change_from_baseline_7dayAverage,1,11.915539110683232,12.107802182115426,allWithoutCantonI,GR,4
transit_stations_percent_change_from_baseline_7dayAverage,2,11.770322671904722,12.581979394857616,allWithoutCantonI,GR,4
transit_stations_percent_change_from_baseline_7dayAverage,3,8.911538235683475,14.772228905656672,allWithoutCantonI,GR,4
transit_stations_percent_change_from_baseline_7dayAverage,0,10.85778966203808,10.081645081077093,allWithoutCantonI,GR,5
transit_stations_percent_change_from_baseline_7dayAverage,1,10.922915632914794,12.648489287464587,allWithoutCantonI,GR,5
transit_stations_percent_change_from_baseline_7dayAverage,2,12.41358092482422,12.934209837406188,allWithoutCantonI,GR,5
transit_stations_percent_change_from_baseline_7dayAverage,3,7.824791033059448,14.454175132949942,allWithoutCantonI,GR,5
transit_stations_percent_change_from_baseline_7dayAverage,0,11.054640123409982,10.20328248586389,allWithoutCantonI,GR,6
transit_stations_percent_change_from_baseline_7dayAverage,1,11.58740313269993,12.67842457057479,allWithoutCantonI,GR,6
transit_stations_percent_change_from_baseline_7dayAverage,2,13.693779085659983,13.152649335262096,allWithoutCantonI,GR,6
transit_stations_percent_change_from_baseline_7dayAverage,3,9.063104932058106,14.999589468950557,allWithoutCantonI,GR,6
transit_stations_percent_change_from_baseline_7dayAverage,0,12.18424347186827,10.285368440504607,allWithoutCantonI,GR,7
transit_stations_percent_change_from_baseline_7dayAverage,1,10.85676713636012,12.34269902274293,allWithoutCantonI,GR,7
transit_stations_percent_change_from_baseline_7dayAverage,2,13.541840080802523,12.829221478058875,allWithoutCantonI,GR,7
transit_stations_percent_change_from_baseline_7dayAverage,3,8.444920753083705,14.608098293716752,allWithoutCantonI,GR,7
transit_stations_percent_change_from_baseline_7dayAverage,0,11.433197860733877,9.042416834704115,allWithoutCantonI,GR,8
transit_stations_percent_change_from_baseline_7dayAverage,1,10.448554393474728,11.519531756186314,allWithoutCantonI,GR,8
transit_stations_percent_change_from_baseline_7dayAverage,2,12.85165377341128,12.494233639529867,allWithoutCantonI,GR,8
transit_stations_percent_change_from_baseline_7dayAverage,3,7.601684667341699,14.22390411669633,allWithoutCantonI,GR,8
transit_stations_percent_change_from_baseline_7dayAverage,0,12.03890399675806,10.237844883424037,allWithoutCantonI,GR,9
transit_stations_percent_change_from_baseline_7dayAverage,1,10.618543349923293,12.636587112792776,allWithoutCantonI,GR,9
transit_stations_percent_change_from_baseline_7dayAverage,2,14.24634225625072,13.081162161280714,allWithoutCantonI,GR,9
transit_stations_percent_change_from_baseline_7dayAverage,3,7.941565810906698,14.838522700473149,allWithoutCantonI,GR,9
workplaces_percent_change_from_baseline_7dayAverage,0,12.078307014985471,4.621999535520586,allWithoutCantonI,GR,0
workplaces_percent_change_from_baseline_7dayAverage,1,11.31690973493572,7.338938451726479,allWithoutCantonI,GR,0
workplaces_percent_change_from_baseline_7dayAverage,2,8.531918973503236,6.1401994434193155,allWithoutCantonI,GR,0
workplaces_percent_change_from_baseline_7dayAverage,3,6.198451473313147,5.8752067782786295,allWithoutCantonI,GR,0
