task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,4.395042273728597,12.397154469348857,allWithoutCantonI,JU,0
case_inz_entries_7dayAverage,1,7.623806874494999,40.722870625289936,allWithoutCantonI,JU,0
case_inz_entries_7dayAverage,2,11.132527890563495,75.09201796002631,allWithoutCantonI,JU,0
case_inz_entries_7dayAverage,3,15.79680700500147,91.60025347048227,allWithoutCantonI,JU,0
hosp_inz_entries_7dayAverage,0,0.34607492794593836,0.416492857650963,allWithoutCantonI,JU,0
hosp_inz_entries_7dayAverage,1,0.5858046161263276,1.2146255647356126,allWithoutCantonI,JU,0
hosp_inz_entries_7dayAverage,2,0.7568805153780328,1.7804621983836315,allWithoutCantonI,JU,0
hosp_inz_entries_7dayAverage,3,0.7872985441256677,1.506745946134574,allWithoutCantonI,JU,0
death_inz_entries_7dayAverage,0,0.02003516915813999,0.09125919156063855,allWithoutCantonI,JU,0
death_inz_entries_7dayAverage,1,0.058996181558983694,0.34923783587462714,allWithoutCantonI,JU,0
death_inz_entries_7dayAverage,2,0.19566537699018866,0.5974834189198727,allWithoutCantonI,JU,0
death_inz_entries_7dayAverage,3,0.16903176512519522,0.5258727797569885,allWithoutCantonI,JU,0
testPositvity_7dayAverage,0,0.03254954248080318,0.04781173885316393,allWithoutCantonI,JU,0
testPositvity_7dayAverage,1,0.04713818370702883,0.07907590075882989,allWithoutCantonI,JU,0
testPositvity_7dayAverage,2,0.04619021001849138,0.06830801071704815,allWithoutCantonI,JU,0
testPositvity_7dayAverage,3,0.036738778992657616,0.059479378515865024,allWithoutCantonI,JU,0
testPositvity_7dayAverage,0,0.0207174580353583,0.04144618560162788,allWithoutCantonI,JU,1
testPositvity_7dayAverage,1,0.03721142422169425,0.06917790469271946,allWithoutCantonI,JU,1
testPositvity_7dayAverage,2,0.039571713390604675,0.060635492671614735,allWithoutCantonI,JU,1
testPositvity_7dayAverage,3,0.033784336222211046,0.05661475178868525,allWithoutCantonI,JU,1
testPositvity_7dayAverage,0,0.043874639016096964,0.051909896068033944,allWithoutCantonI,JU,2
testPositvity_7dayAverage,1,0.05151640980954833,0.07567673823197964,allWithoutCantonI,JU,2
testPositvity_7dayAverage,2,0.04705197909263173,0.0642306483900105,allWithoutCantonI,JU,2
testPositvity_7dayAverage,3,0.03581281911039995,0.05396135520036778,allWithoutCantonI,JU,2
testPositvity_7dayAverage,0,0.04759399102179068,0.04245014407437412,allWithoutCantonI,JU,3
testPositvity_7dayAverage,1,0.05931168104953802,0.07051753031488416,allWithoutCantonI,JU,3
testPositvity_7dayAverage,2,0.053891744817327794,0.05932051141193139,allWithoutCantonI,JU,3
