task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,3.813317081808223,7.184083290917566,allWithoutCantonI,NE,0
case_inz_entries_7dayAverage,1,8.311209289834311,28.576236764778,allWithoutCantonI,NE,0
case_inz_entries_7dayAverage,2,12.806583204295654,67.02439565599339,allWithoutCantonI,NE,0
case_inz_entries_7dayAverage,3,16.662887585467836,94.53669973861402,allWithoutCantonI,NE,0
hosp_inz_entries_7dayAverage,0,0.3164970551967349,0.34257424478624854,allWithoutCantonI,NE,0
hosp_inz_entries_7dayAverage,1,0.5734256685235796,0.6853645553031221,allWithoutCantonI,NE,0
hosp_inz_entries_7dayAverage,2,0.6938324650925466,1.158697394456139,allWithoutCantonI,NE,0
hosp_inz_entries_7dayAverage,3,0.6843397341188125,1.4384930406268133,allWithoutCantonI,NE,0
death_inz_entries_7dayAverage,0,0.036684347258404616,0.192464757848371,allWithoutCantonI,NE,0
death_inz_entries_7dayAverage,1,0.04813019069478476,0.4522304962415971,allWithoutCantonI,NE,0
death_inz_entries_7dayAverage,2,0.06485084801314214,0.3296166194560245,allWithoutCantonI,NE,0
death_inz_entries_7dayAverage,3,0.11629787381810519,0.42839499029682687,allWithoutCantonI,NE,0
testPositvity_7dayAverage,0,0.013809679976181238,0.041427278780233424,allWithoutCantonI,NE,0
testPositvity_7dayAverage,1,0.013490885015795137,0.09274376461914613,allWithoutCantonI,NE,0
testPositvity_7dayAverage,2,0.010228227782419066,0.14324965406173928,allWithoutCantonI,NE,0
testPositvity_7dayAverage,3,0.009110098237251344,0.17946963021392212,allWithoutCantonI,NE,0
testPositvity_7dayAverage,0,0.009824239575940707,0.03603366335851959,allWithoutCantonI,NE,1
testPositvity_7dayAverage,1,0.009114992301547317,0.0842318924204461,allWithoutCantonI,NE,1
testPositvity_7dayAverage,2,0.010469759047989323,0.13430370548032614,allWithoutCantonI,NE,1
testPositvity_7dayAverage,3,0.009244711841341336,0.17132531992852776,allWithoutCantonI,NE,1
testPositvity_7dayAverage,0,0.009571403831386948,0.04579917928406843,allWithoutCantonI,NE,2
testPositvity_7dayAverage,1,0.008545708706067256,0.0846157218933598,allWithoutCantonI,NE,2
testPositvity_7dayAverage,2,0.009672640470437689,0.13002943870130979,allWithoutCantonI,NE,2
testPositvity_7dayAverage,3,0.01085296761039844,0.17185731157098907,allWithoutCantonI,NE,2
testPositvity_7dayAverage,0,0.009638962070334153,0.040607722842734326,allWithoutCantonI,NE,3
testPositvity_7dayAverage,1,0.011611344662948357,0.08075210458157178,allWithoutCantonI,NE,3
testPositvity_7dayAverage,2,0.010281614929948247,0.1239828543390958,allWithoutCantonI,NE,3
testPositvity_7dayAverage,3,0.010909135581616306,0.1637847917391405,allWithoutCantonI,NE,3
testPositvity_7dayAverage,0,0.008997305466244828,0.04771149840675366,allWithoutCantonI,NE,4
testPositvity_7dayAverage,1,0.013362496149466562,0.08989762142391629,allWithoutCantonI,NE,4
testPositvity_7dayAverage,2,0.011670509540421039,0.12742014436293342,allWithoutCantonI,NE,4
testPositvity_7dayAverage,3,0.011290613712744852,0.157957195611534,allWithoutCantonI,NE,4
testPositvity_7dayAverage,0,0.010740895199471806,0.05216720032514524,allWithoutCantonI,NE,5
testPositvity_7dayAverage,1,0.013546409613142745,0.09060074158592689,allWithoutCantonI,NE,5
testPositvity_7dayAverage,2,0.01113657418110139,0.12985833747913925,allWithoutCantonI,NE,5
testPositvity_7dayAverage,3,0.00971778462176149,0.167650027262334,allWithoutCantonI,NE,5
testPositvity_7dayAverage,0,0.01334667046149494,0.05202453344286005,allWithoutCantonI,NE,6
testPositvity_7dayAverage,1,0.01426625529509284,0.09161243527178083,allWithoutCantonI,NE,6
testPositvity_7dayAverage,2,0.012334695969834332,0.1344535810270712,allWithoutCantonI,NE,6
testPositvity_7dayAverage,3,0.009654284002569105,0.1739599576542948,allWithoutCantonI,NE,6
testPositvity_7dayAverage,0,0.007841110998285893,0.06406799801466954,allWithoutCantonI,NE,7
testPositvity_7dayAverage,1,0.016334108110137538,0.11348566560981076,allWithoutCantonI,NE,7
testPositvity_7dayAverage,2,0.014146050686008507,0.15305852259117345,allWithoutCantonI,NE,7
testPositvity_7dayAverage,3,0.0099614592862011,0.18264712763692892,allWithoutCantonI,NE,7
testPositvity_7dayAverage,0,0.007873844409016551,0.04718888324817693,allWithoutCantonI,NE,8
testPositvity_7dayAverage,1,0.008164209447338833,0.09125182322718241,allWithoutCantonI,NE,8
testPositvity_7dayAverage,2,0.008559825865294463,0.133143526404079,allWithoutCantonI,NE,8
testPositvity_7dayAverage,3,0.010189951160014104,0.17073904161052597,allWithoutCantonI,NE,8
testPositvity_7dayAverage,0,0.017166085558967776,0.05304744451549316,allWithoutCantonI,NE,9
testPositvity_7dayAverage,1,0.019532449119868452,0.09309128946657598,allWithoutCantonI,NE,9
testPositvity_7dayAverage,2,0.014426311238642547,0.1318675705938126,allWithoutCantonI,NE,9
testPositvity_7dayAverage,3,0.009442449414855792,0.1679537810295048,allWithoutCantonI,NE,9
transit_stations_percent_change_from_baseline_7dayAverage,0,11.73670126220325,2.4123496472034693,allWithoutCantonI,NE,0
transit_stations_percent_change_from_baseline_7dayAverage,1,9.79705909810782,2.8636739635122948,allWithoutCantonI,NE,0
transit_stations_percent_change_from_baseline_7dayAverage,2,13.744492339284509,2.7565657197028317,allWithoutCantonI,NE,0
transit_stations_percent_change_from_baseline_7dayAverage,3,15.682220544151058,5.922862166725982,allWithoutCantonI,NE,0
transit_stations_percent_change_from_baseline_7dayAverage,0,10.115224383499228,2.3571192731430424,allWithoutCantonI,NE,1
transit_stations_percent_change_from_baseline_7dayAverage,1,9.543934227179315,2.1167400303544643,allWithoutCantonI,NE,1
transit_stations_percent_change_from_baseline_7dayAverage,2,13.483540185851737,3.6675230243483474,allWithoutCantonI,NE,1
transit_stations_percent_change_from_baseline_7dayAverage,3,14.585489484776549,5.529745481322152,allWithoutCantonI,NE,1
transit_stations_percent_change_from_baseline_7dayAverage,0,9.434349491946314,2.0993942269052566,allWithoutCantonI,NE,2
transit_stations_percent_change_from_baseline_7dayAverage,1,9.747818677242355,1.786244296988155,allWithoutCantonI,NE,2
transit_stations_percent_change_from_baseline_7dayAverage,2,12.449756995835319,3.699981980026484,allWithoutCantonI,NE,2
transit_stations_percent_change_from_baseline_7dayAverage,3,15.74653558494761,5.200267676422418,allWithoutCantonI,NE,2
transit_stations_percent_change_from_baseline_7dayAverage,0,8.867696696246954,2.142014021063025,allWithoutCantonI,NE,3
transit_stations_percent_change_from_baseline_7dayAverage,1,9.791448967603165,1.7480150874104112,allWithoutCantonI,NE,3
transit_stations_percent_change_from_baseline_7dayAverage,2,10.75191788236701,3.4615194610135553,allWithoutCantonI,NE,3
transit_stations_percent_change_from_baseline_7dayAverage,3,14.611514169767496,5.537931322530368,allWithoutCantonI,NE,3
transit_stations_percent_change_from_baseline_7dayAverage,0,10.241703699007337,2.8297478941840355,allWithoutCantonI,NE,4
transit_stations_percent_change_from_baseline_7dayAverage,1,10.259609019658697,1.6597754285752615,allWithoutCantonI,NE,4
transit_stations_percent_change_from_baseline_7dayAverage,2,13.044108510259852,3.739238078488194,allWithoutCantonI,NE,4
transit_stations_percent_change_from_baseline_7dayAverage,3,15.67123938522503,5.727415757701171,allWithoutCantonI,NE,4
transit_stations_percent_change_from_baseline_7dayAverage,0,8.21732977109887,2.584667952710643,allWithoutCantonI,NE,5
transit_stations_percent_change_from_baseline_7dayAverage,1,10.756196112271518,1.7777177250546032,allWithoutCantonI,NE,5
transit_stations_percent_change_from_baseline_7dayAverage,2,11.229073838596163,2.5093981756307353,allWithoutCantonI,NE,5
transit_stations_percent_change_from_baseline_7dayAverage,3,14.715065424894258,5.57659417449895,allWithoutCantonI,NE,5
transit_stations_percent_change_from_baseline_7dayAverage,0,9.512530496957256,2.9375525895913843,allWithoutCantonI,NE,6
transit_stations_percent_change_from_baseline_7dayAverage,1,13.279023160330503,1.4336890051690485,allWithoutCantonI,NE,6
transit_stations_percent_change_from_baseline_7dayAverage,2,11.571471110105254,4.021993268080743,allWithoutCantonI,NE,6
transit_stations_percent_change_from_baseline_7dayAverage,3,16.6088660980703,5.6738749724234605,allWithoutCantonI,NE,6
transit_stations_percent_change_from_baseline_7dayAverage,0,7.740645978816032,2.59562869318706,allWithoutCantonI,NE,7
transit_stations_percent_change_from_baseline_7dayAverage,1,11.067289963256842,2.1403355018059065,allWithoutCantonI,NE,7
transit_stations_percent_change_from_baseline_7dayAverage,2,8.766323174400018,3.1501830813079987,allWithoutCantonI,NE,7
transit_stations_percent_change_from_baseline_7dayAverage,3,13.350225833544762,5.034242860625027,allWithoutCantonI,NE,7
transit_stations_percent_change_from_baseline_7dayAverage,0,9.203323035376,2.7630795953526217,allWithoutCantonI,NE,8
transit_stations_percent_change_from_baseline_7dayAverage,1,13.15337891701665,1.9842668302709923,allWithoutCantonI,NE,8
transit_stations_percent_change_from_baseline_7dayAverage,2,11.031982114135047,3.889531665918647,allWithoutCantonI,NE,8
transit_stations_percent_change_from_baseline_7dayAverage,3,16.124066093163147,5.197095985271299,allWithoutCantonI,NE,8
transit_stations_percent_change_from_baseline_7dayAverage,0,8.593244714741017,3.489147043016749,allWithoutCantonI,NE,9
