task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,2.724525343478341,5.043057769101182,allWithoutCantonI,SH,0
case_inz_entries_7dayAverage,1,6.579665667333918,8.695608237158504,allWithoutCantonI,SH,0
case_inz_entries_7dayAverage,2,9.831330828559892,16.20662193158091,allWithoutCantonI,SH,0
case_inz_entries_7dayAverage,3,13.173992718961049,19.572471213041585,allWithoutCantonI,SH,0
hosp_inz_entries_7dayAverage,0,0.3538840011165959,0.5101222833491429,allWithoutCantonI,SH,0
hosp_inz_entries_7dayAverage,1,0.574139173282282,0.806716259673173,allWithoutCantonI,SH,0
hosp_inz_entries_7dayAverage,2,0.6788905869318514,0.5654422297238382,allWithoutCantonI,SH,0
hosp_inz_entries_7dayAverage,3,0.6458485470085207,0.5727791768315084,allWithoutCantonI,SH,0
death_inz_entries_7dayAverage,0,0.039489236297463516,0.12691991101318081,allWithoutCantonI,SH,0
death_inz_entries_7dayAverage,1,0.12551796266222456,0.24731909271036157,allWithoutCantonI,SH,0
death_inz_entries_7dayAverage,2,0.13843008447752192,0.44299417793263685,allWithoutCantonI,SH,0
death_inz_entries_7dayAverage,3,0.11667400959729111,0.4905028582541181,allWithoutCantonI,SH,0
testPositvity_7dayAverage,0,0.011734313546037215,0.011977059984026473,allWithoutCantonI,SH,0
testPositvity_7dayAverage,1,0.01402008730745973,0.015852901426672828,allWithoutCantonI,SH,0
testPositvity_7dayAverage,2,0.016953351774810967,0.037681213590095755,allWithoutCantonI,SH,0
testPositvity_7dayAverage,3,0.01600212852703842,0.04882273112290924,allWithoutCantonI,SH,0
testPositvity_7dayAverage,0,0.013924888688300477,0.012215944666082034,allWithoutCantonI,SH,1
testPositvity_7dayAverage,1,0.014588417032679895,0.012253770871582676,allWithoutCantonI,SH,1
testPositvity_7dayAverage,2,0.012450740882313002,0.027574264099071648,allWithoutCantonI,SH,1
testPositvity_7dayAverage,3,0.01306972647177752,0.040243122767569625,allWithoutCantonI,SH,1
testPositvity_7dayAverage,0,0.02375154219767773,0.013680753928298069,allWithoutCantonI,SH,2
testPositvity_7dayAverage,1,0.023011460442977336,0.015784640768638107,allWithoutCantonI,SH,2
testPositvity_7dayAverage,2,0.020695473271323185,0.030592065826568437,allWithoutCantonI,SH,2
testPositvity_7dayAverage,3,0.015797747783866053,0.043834050266268354,allWithoutCantonI,SH,2
testPositvity_7dayAverage,0,0.011933503742575347,0.023362866540893975,allWithoutCantonI,SH,3
testPositvity_7dayAverage,1,0.014664699095187524,0.023929617581059777,allWithoutCantonI,SH,3
testPositvity_7dayAverage,2,0.013997664532282678,0.028944275355052857,allWithoutCantonI,SH,3
testPositvity_7dayAverage,3,0.013271575900048729,0.037765070574958634,allWithoutCantonI,SH,3
testPositvity_7dayAverage,0,0.02177674909014758,0.010015809018555368,allWithoutCantonI,SH,4
testPositvity_7dayAverage,1,0.02387651304836029,0.01175956723726839,allWithoutCantonI,SH,4
testPositvity_7dayAverage,2,0.0210081795432045,0.0241708826222724,allWithoutCantonI,SH,4
testPositvity_7dayAverage,3,0.015082995338284944,0.03802725050248505,allWithoutCantonI,SH,4
testPositvity_7dayAverage,0,0.011778582875815199,0.025395873004929768,allWithoutCantonI,SH,5
testPositvity_7dayAverage,1,0.016681501010661223,0.020254066057845393,allWithoutCantonI,SH,5
testPositvity_7dayAverage,2,0.020063771338039296,0.025417726686788086,allWithoutCantonI,SH,5
testPositvity_7dayAverage,3,0.015940307666931792,0.03801493795069385,allWithoutCantonI,SH,5
testPositvity_7dayAverage,0,0.011410569508003308,0.03170840334947274,allWithoutCantonI,SH,6
testPositvity_7dayAverage,1,0.01048904955223241,0.027785324073039207,allWithoutCantonI,SH,6
testPositvity_7dayAverage,2,0.016669408871530574,0.02641940403593023,allWithoutCantonI,SH,6
testPositvity_7dayAverage,3,0.015314325079367115,0.03523667870339839,allWithoutCantonI,SH,6
testPositvity_7dayAverage,0,0.015236674057114652,0.013643126211749004,allWithoutCantonI,SH,7
testPositvity_7dayAverage,1,0.0166411100310944,0.012906834964422765,allWithoutCantonI,SH,7
testPositvity_7dayAverage,2,0.0155915659615744,0.024786983967171765,allWithoutCantonI,SH,7
testPositvity_7dayAverage,3,0.013340034051771359,0.038248103280730306,allWithoutCantonI,SH,7
testPositvity_7dayAverage,0,0.01541594196788692,0.029747302323544635,allWithoutCantonI,SH,8
testPositvity_7dayAverage,1,0.015651409904489863,0.026664429380814245,allWithoutCantonI,SH,8
