task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,2.6725296089700796,10.225801495124077,allWithoutCantonI,SZ,0
case_inz_entries_7dayAverage,1,3.961209394950755,29.44518052975489,allWithoutCantonI,SZ,0
case_inz_entries_7dayAverage,2,6.170214976211676,43.8680322174387,allWithoutCantonI,SZ,0
case_inz_entries_7dayAverage,3,9.768184121136038,40.74189251792337,allWithoutCantonI,SZ,0
hosp_inz_entries_7dayAverage,0,0.1709830459397963,0.6256070189410635,allWithoutCantonI,SZ,0
hosp_inz_entries_7dayAverage,1,0.22791341479249916,1.2133137311808346,allWithoutCantonI,SZ,0
hosp_inz_entries_7dayAverage,2,0.3711939132160751,1.932406850559019,allWithoutCantonI,SZ,0
hosp_inz_entries_7dayAverage,3,0.4472439311154302,2.7173675175730727,allWithoutCantonI,SZ,0
death_inz_entries_7dayAverage,0,0.07308648090902867,0.08472145487450916,allWithoutCantonI,SZ,0
death_inz_entries_7dayAverage,1,0.08499245866808754,0.2677560547006612,allWithoutCantonI,SZ,0
death_inz_entries_7dayAverage,2,0.0860841540762735,0.4055895463597885,allWithoutCantonI,SZ,0
death_inz_entries_7dayAverage,3,0.15528525954390154,0.5166997172811313,allWithoutCantonI,SZ,0
testPositvity_7dayAverage,0,0.010130409559055288,0.040467278934550585,allWithoutCantonI,SZ,0
testPositvity_7dayAverage,1,0.004493162306613195,0.07854131092729075,allWithoutCantonI,SZ,0
testPositvity_7dayAverage,2,0.011666969074384664,0.09308834863387806,allWithoutCantonI,SZ,0
testPositvity_7dayAverage,3,0.011811232994670375,0.09414019583005336,allWithoutCantonI,SZ,0
testPositvity_7dayAverage,0,0.008054272275614852,0.03497585760397241,allWithoutCantonI,SZ,1
testPositvity_7dayAverage,1,0.005501248406030264,0.07081545565669302,allWithoutCantonI,SZ,1
testPositvity_7dayAverage,2,0.0043036518561507964,0.08614254919950057,allWithoutCantonI,SZ,1
testPositvity_7dayAverage,3,0.007043322960043016,0.09403976425528478,allWithoutCantonI,SZ,1
testPositvity_7dayAverage,0,0.016318676089311306,0.04168807781540931,allWithoutCantonI,SZ,2
testPositvity_7dayAverage,1,0.012242488901447484,0.07580388490496891,allWithoutCantonI,SZ,2
testPositvity_7dayAverage,2,0.005129711527783448,0.08996008479814215,allWithoutCantonI,SZ,2
testPositvity_7dayAverage,3,0.006857241749299693,0.09416687294816004,allWithoutCantonI,SZ,2
testPositvity_7dayAverage,0,0.00751635829950162,0.03803645958491755,allWithoutCantonI,SZ,3
testPositvity_7dayAverage,1,0.0045325115178146864,0.06880561037466099,allWithoutCantonI,SZ,3
testPositvity_7dayAverage,2,0.003610731117167014,0.07668323466291327,allWithoutCantonI,SZ,3
testPositvity_7dayAverage,3,0.006420089182625966,0.0814962585156439,allWithoutCantonI,SZ,3
testPositvity_7dayAverage,0,0.008609299122348717,0.042254405204047905,allWithoutCantonI,SZ,4
testPositvity_7dayAverage,1,0.005373711484542113,0.07536678452597313,allWithoutCantonI,SZ,4
testPositvity_7dayAverage,2,0.004758488403232401,0.0828975291635918,allWithoutCantonI,SZ,4
testPositvity_7dayAverage,3,0.0066151364481870315,0.0852604680272225,allWithoutCantonI,SZ,4
testPositvity_7dayAverage,0,0.009104247912361895,0.034468623057881315,allWithoutCantonI,SZ,5
testPositvity_7dayAverage,1,0.008460326932596428,0.06273849009146694,allWithoutCantonI,SZ,5
testPositvity_7dayAverage,2,0.005499880730864895,0.06828673766728681,allWithoutCantonI,SZ,5
testPositvity_7dayAverage,3,0.009663041104718592,0.07014410421361905,allWithoutCantonI,SZ,5
