task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,4.028358845802535,5.85291301641862,allWithoutCantonI,TG,0
case_inz_entries_7dayAverage,1,7.837430766307952,16.833059178844636,allWithoutCantonI,TG,0
case_inz_entries_7dayAverage,2,11.81954944038191,29.554647906291088,allWithoutCantonI,TG,0
case_inz_entries_7dayAverage,3,15.496450632384368,32.36679387403416,allWithoutCantonI,TG,0
hosp_inz_entries_7dayAverage,0,0.22575614959662677,0.2742979668556261,allWithoutCantonI,TG,0
hosp_inz_entries_7dayAverage,1,0.45864538106979813,0.4835476616926819,allWithoutCantonI,TG,0
hosp_inz_entries_7dayAverage,2,0.6094870526058828,0.6423074936577836,allWithoutCantonI,TG,0
hosp_inz_entries_7dayAverage,3,0.6455332716272837,0.8030818821359312,allWithoutCantonI,TG,0
death_inz_entries_7dayAverage,0,0.042094565733628624,0.11448750868678088,allWithoutCantonI,TG,0
death_inz_entries_7dayAverage,1,0.09232300507461759,0.3163523827155217,allWithoutCantonI,TG,0
death_inz_entries_7dayAverage,2,0.11894126768724154,0.5050822437371504,allWithoutCantonI,TG,0
death_inz_entries_7dayAverage,3,0.10690955302096382,0.7814966724723267,allWithoutCantonI,TG,0
testPositvity_7dayAverage,0,0.014794191267863693,0.01814554963330354,allWithoutCantonI,TG,0
testPositvity_7dayAverage,1,0.01253939947359863,0.023848222220237678,allWithoutCantonI,TG,0
testPositvity_7dayAverage,2,0.013001406504638135,0.03470161402923187,allWithoutCantonI,TG,0
testPositvity_7dayAverage,3,0.007961608713888497,0.02676147360835441,allWithoutCantonI,TG,0
testPositvity_7dayAverage,0,0.011025911140475676,0.006646613455565371,allWithoutCantonI,TG,1
testPositvity_7dayAverage,1,0.008624176357491641,0.023549420015313884,allWithoutCantonI,TG,1
testPositvity_7dayAverage,2,0.008995799606776754,0.030908266382837658,allWithoutCantonI,TG,1
testPositvity_7dayAverage,3,0.010462867267613281,0.02097495538558792,allWithoutCantonI,TG,1
testPositvity_7dayAverage,0,0.0163080360085713,0.005979984844487352,allWithoutCantonI,TG,2
testPositvity_7dayAverage,1,0.013026448648035477,0.02883405651539622,allWithoutCantonI,TG,2
testPositvity_7dayAverage,2,0.00997145627607813,0.0399915413831694,allWithoutCantonI,TG,2
testPositvity_7dayAverage,3,0.007254186758335947,0.029650200411101862,allWithoutCantonI,TG,2
testPositvity_7dayAverage,0,0.017766953864124736,0.006499576337539273,allWithoutCantonI,TG,3
testPositvity_7dayAverage,1,0.01486982684103945,0.03672154259337259,allWithoutCantonI,TG,3
testPositvity_7dayAverage,2,0.010240857109923234,0.04704146452965751,allWithoutCantonI,TG,3
testPositvity_7dayAverage,3,0.010135279707813631,0.027979051420314486,allWithoutCantonI,TG,3
testPositvity_7dayAverage,0,0.012264648276822773,0.012111205293433068,allWithoutCantonI,TG,4
testPositvity_7dayAverage,1,0.009432489532272163,0.023312243947708332,allWithoutCantonI,TG,4
testPositvity_7dayAverage,2,0.006936874133767862,0.03581480916472353,allWithoutCantonI,TG,4
testPositvity_7dayAverage,3,0.01180883455654087,0.024424194892474327,allWithoutCantonI,TG,4
testPositvity_7dayAverage,0,0.011722562390831871,0.008030685738684795,allWithoutCantonI,TG,5
testPositvity_7dayAverage,1,0.009759849291246264,0.02356290457881484,allWithoutCantonI,TG,5
testPositvity_7dayAverage,2,0.007253422530579826,0.034453580294446874,allWithoutCantonI,TG,5
testPositvity_7dayAverage,3,0.009520434399510452,0.025682814159689003,allWithoutCantonI,TG,5
testPositvity_7dayAverage,0,0.016347228260273895,0.009199979475978545,allWithoutCantonI,TG,6
testPositvity_7dayAverage,1,0.012127632875838932,0.0275335658581539,allWithoutCantonI,TG,6
testPositvity_7dayAverage,2,0.00996817092386829,0.039910076352337294,allWithoutCantonI,TG,6
testPositvity_7dayAverage,3,0.008824708503374088,0.029332830757169307,allWithoutCantonI,TG,6
testPositvity_7dayAverage,0,0.011646622675343925,0.012085308788918106,allWithoutCantonI,TG,7
testPositvity_7dayAverage,1,0.010981388145948033,0.028072914162340448,allWithoutCantonI,TG,7
testPositvity_7dayAverage,2,0.007787773606922453,0.04285466918778091,allWithoutCantonI,TG,7
testPositvity_7dayAverage,3,0.008785383329740926,0.031315237907523254,allWithoutCantonI,TG,7
testPositvity_7dayAverage,0,0.00774551220703928,0.016802358844174702,allWithoutCantonI,TG,8
testPositvity_7dayAverage,1,0.009992234258583426,0.016536525639515926,allWithoutCantonI,TG,8
testPositvity_7dayAverage,2,0.01527924164735756,0.03077167816330585,allWithoutCantonI,TG,8
testPositvity_7dayAverage,3,0.024283657563369615,0.020125581796770806,allWithoutCantonI,TG,8
testPositvity_7dayAverage,0,0.011466558831825851,0.005115070845369009,allWithoutCantonI,TG,9
testPositvity_7dayAverage,1,0.0076843442227226225,0.028784073001470782,allWithoutCantonI,TG,9
testPositvity_7dayAverage,2,0.008225843751352746,0.04099390517210588,allWithoutCantonI,TG,9
testPositvity_7dayAverage,3,0.013174929526656318,0.029048353205962343,allWithoutCantonI,TG,9
transit_stations_percent_change_from_baseline_7dayAverage,0,14.179716837806826,3.413020084785022,allWithoutCantonI,TG,0
transit_stations_percent_change_from_baseline_7dayAverage,1,13.044397928342038,2.6611863381569054,allWithoutCantonI,TG,0
transit_stations_percent_change_from_baseline_7dayAverage,2,19.007476470160334,2.8125801975543268,allWithoutCantonI,TG,0
transit_stations_percent_change_from_baseline_7dayAverage,3,21.63331222853394,4.292591699579645,allWithoutCantonI,TG,0
transit_stations_percent_change_from_baseline_7dayAverage,0,10.52431373117117,4.445747857398145,allWithoutCantonI,TG,1
transit_stations_percent_change_from_baseline_7dayAverage,1,10.8717508811648,2.4004412850416523,allWithoutCantonI,TG,1
transit_stations_percent_change_from_baseline_7dayAverage,2,15.286548879012358,2.627726634403518,allWithoutCantonI,TG,1
transit_stations_percent_change_from_baseline_7dayAverage,3,17.225225200187285,3.6877026592219355,allWithoutCantonI,TG,1
transit_stations_percent_change_from_baseline_7dayAverage,0,12.763706470684344,4.93784793450087,allWithoutCantonI,TG,2
transit_stations_percent_change_from_baseline_7dayAverage,1,13.053667628440515,2.0089990041947985,allWithoutCantonI,TG,2
transit_stations_percent_change_from_baseline_7dayAverage,2,17.17213823412344,2.3125433806034086,allWithoutCantonI,TG,2
transit_stations_percent_change_from_baseline_7dayAverage,3,18.96737162487076,4.357680666945831,allWithoutCantonI,TG,2
