task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,4.2549848303892785,4.960478200459538,allWithoutCantonI,ZH,0
case_inz_entries_7dayAverage,1,7.439710522595347,13.855623139969433,allWithoutCantonI,ZH,0
case_inz_entries_7dayAverage,2,10.879826650314502,27.508883814560456,allWithoutCantonI,ZH,0
case_inz_entries_7dayAverage,3,14.094362587107076,32.741532248225404,allWithoutCantonI,ZH,0
hosp_inz_entries_7dayAverage,0,0.2241352162755129,0.1602635862600013,allWithoutCantonI,ZH,0
hosp_inz_entries_7dayAverage,1,0.41987171212189295,0.24646878798365768,allWithoutCantonI,ZH,0
hosp_inz_entries_7dayAverage,2,0.5367556229523285,0.34684903022336766,allWithoutCantonI,ZH,0
hosp_inz_entries_7dayAverage,3,0.5310668146489078,0.5232319353523155,allWithoutCantonI,ZH,0
death_inz_entries_7dayAverage,0,0.01859375310571257,0.023778757790477903,allWithoutCantonI,ZH,0
death_inz_entries_7dayAverage,1,0.048683770694271884,0.11691045639767352,allWithoutCantonI,ZH,0
death_inz_entries_7dayAverage,2,0.1009015395509519,0.21497416640119188,allWithoutCantonI,ZH,0
death_inz_entries_7dayAverage,3,0.1497321489728184,0.27367430624882194,allWithoutCantonI,ZH,0
testPositvity_7dayAverage,0,0.013537043895719518,0.01123674975205364,allWithoutCantonI,ZH,0
testPositvity_7dayAverage,1,0.01454237506167899,0.02469245056017309,allWithoutCantonI,ZH,0
testPositvity_7dayAverage,2,0.011356793340073078,0.024379969958008292,allWithoutCantonI,ZH,0
testPositvity_7dayAverage,3,0.00860652477478711,0.02638014114053858,allWithoutCantonI,ZH,0
testPositvity_7dayAverage,0,0.019173083336386072,0.010796017596251309,allWithoutCantonI,ZH,1
testPositvity_7dayAverage,1,0.017864976214002137,0.013033588520365296,allWithoutCantonI,ZH,1
testPositvity_7dayAverage,2,0.010172337540868284,0.021338063204667093,allWithoutCantonI,ZH,1
testPositvity_7dayAverage,3,0.006848833850847791,0.027772372328684538,allWithoutCantonI,ZH,1
testPositvity_7dayAverage,0,0.027332449347021667,0.007699820905322909,allWithoutCantonI,ZH,2
testPositvity_7dayAverage,1,0.01968221170963337,0.029000347706813114,allWithoutCantonI,ZH,2
testPositvity_7dayAverage,2,0.01184246458462722,0.03603394348916175,allWithoutCantonI,ZH,2
testPositvity_7dayAverage,3,0.007305567732620934,0.03171741074003293,allWithoutCantonI,ZH,2
testPositvity_7dayAverage,0,0.032579673783972043,0.008373381581673401,allWithoutCantonI,ZH,3
testPositvity_7dayAverage,1,0.02491993598448747,0.0183412649226708,allWithoutCantonI,ZH,3
testPositvity_7dayAverage,2,0.013716700548745348,0.030883077618807046,allWithoutCantonI,ZH,3
testPositvity_7dayAverage,3,0.007052217913627211,0.033311514075206175,allWithoutCantonI,ZH,3
testPositvity_7dayAverage,0,0.016333984869291857,0.011398670417417028,allWithoutCantonI,ZH,4
testPositvity_7dayAverage,1,0.010945360402083697,0.02071686060740819,allWithoutCantonI,ZH,4
testPositvity_7dayAverage,2,0.007441666837323914,0.02814357714541003,allWithoutCantonI,ZH,4
testPositvity_7dayAverage,3,0.006780742001191074,0.022940641174142982,allWithoutCantonI,ZH,4
testPositvity_7dayAverage,0,0.015361603043113603,0.013647904479433842,allWithoutCantonI,ZH,5
testPositvity_7dayAverage,1,0.01275821351833923,0.01493002541127373,allWithoutCantonI,ZH,5
testPositvity_7dayAverage,2,0.008797821658781173,0.01921519028627028,allWithoutCantonI,ZH,5
testPositvity_7dayAverage,3,0.008266846406691933,0.0077034214067469315,allWithoutCantonI,ZH,5
testPositvity_7dayAverage,0,0.00821391387363114,0.01689883324799328,allWithoutCantonI,ZH,6
testPositvity_7dayAverage,1,0.006317545241786465,0.015871819748477727,allWithoutCantonI,ZH,6
testPositvity_7dayAverage,2,0.005644924045125018,0.023854645997667075,allWithoutCantonI,ZH,6
testPositvity_7dayAverage,3,0.005493253606048736,0.020078942991845657,allWithoutCantonI,ZH,6
testPositvity_7dayAverage,0,0.008741591766649324,0.016796340304192917,allWithoutCantonI,ZH,7
testPositvity_7dayAverage,1,0.007107331545376037,0.02201689387073389,allWithoutCantonI,ZH,7
testPositvity_7dayAverage,2,0.0056566995646615435,0.036762077792122407,allWithoutCantonI,ZH,7
testPositvity_7dayAverage,3,0.004696331284499938,0.04138354415178206,allWithoutCantonI,ZH,7
testPositvity_7dayAverage,0,0.014345407033173422,0.013047669591466665,allWithoutCantonI,ZH,8
testPositvity_7dayAverage,1,0.009834710031993703,0.019899578986985744,allWithoutCantonI,ZH,8
testPositvity_7dayAverage,2,0.007200093389527426,0.03068832779545384,allWithoutCantonI,ZH,8
testPositvity_7dayAverage,3,0.006928594937644322,0.029571371416598997,allWithoutCantonI,ZH,8
testPositvity_7dayAverage,0,0.008657599204644826,0.00741461484083054,allWithoutCantonI,ZH,9
testPositvity_7dayAverage,1,0.006222533719006781,0.021503908517346553,allWithoutCantonI,ZH,9
testPositvity_7dayAverage,2,0.0054785057953244815,0.031567585992941787,allWithoutCantonI,ZH,9
testPositvity_7dayAverage,3,0.0053779330615051635,0.0296455235311646,allWithoutCantonI,ZH,9
transit_stations_percent_change_from_baseline_7dayAverage,0,4.214496449530317,2.757327656070335,allWithoutCantonI,ZH,0
transit_stations_percent_change_from_baseline_7dayAverage,1,5.0044534981084,5.2128989095377625,allWithoutCantonI,ZH,0
transit_stations_percent_change_from_baseline_7dayAverage,2,4.124064740161957,5.367367613760258,allWithoutCantonI,ZH,0
transit_stations_percent_change_from_baseline_7dayAverage,3,4.5384793259937615,8.794516105654381,allWithoutCantonI,ZH,0
transit_stations_percent_change_from_baseline_7dayAverage,0,4.380748369489768,2.7783825504960187,allWithoutCantonI,ZH,1
transit_stations_percent_change_from_baseline_7dayAverage,1,4.8453703057122395,4.088702069225353,allWithoutCantonI,ZH,1
transit_stations_percent_change_from_baseline_7dayAverage,2,4.245565414945523,4.339040213802971,allWithoutCantonI,ZH,1
transit_stations_percent_change_from_baseline_7dayAverage,3,4.6898760580839856,6.805878416486783,allWithoutCantonI,ZH,1
transit_stations_percent_change_from_baseline_7dayAverage,0,4.441562604841114,3.2554874079612444,allWithoutCantonI,ZH,2
transit_stations_percent_change_from_baseline_7dayAverage,1,5.46974241340603,4.888563651718866,allWithoutCantonI,ZH,2
transit_stations_percent_change_from_baseline_7dayAverage,2,3.2480382159706513,4.278087935513388,allWithoutCantonI,ZH,2
transit_stations_percent_change_from_baseline_7dayAverage,3,3.4466001451289783,7.001631781320362,allWithoutCantonI,ZH,2
transit_stations_percent_change_from_baseline_7dayAverage,0,4.071310851591707,3.248962360057311,allWithoutCantonI,ZH,3
transit_stations_percent_change_from_baseline_7dayAverage,1,5.081963759113048,4.272943839440273,allWithoutCantonI,ZH,3
transit_stations_percent_change_from_baseline_7dayAverage,2,3.730775237550436,3.770676825899095,allWithoutCantonI,ZH,3
transit_stations_percent_change_from_baseline_7dayAverage,3,3.807503191025295,7.062590391559325,allWithoutCantonI,ZH,3
transit_stations_percent_change_from_baseline_7dayAverage,0,4.393758398069265,3.0049592593170504,allWithoutCantonI,ZH,4
transit_stations_percent_change_from_baseline_7dayAverage,1,5.7996228846358635,5.406484323939849,allWithoutCantonI,ZH,4
transit_stations_percent_change_from_baseline_7dayAverage,2,2.2142245293860587,4.606040929070359,allWithoutCantonI,ZH,4
transit_stations_percent_change_from_baseline_7dayAverage,3,3.472484726813411,8.458055078037805,allWithoutCantonI,ZH,4
transit_stations_percent_change_from_baseline_7dayAverage,0,4.641322624529392,2.778200835546118,allWithoutCantonI,ZH,5
transit_stations_percent_change_from_baseline_7dayAverage,1,5.621489461641606,4.928537003194253,allWithoutCantonI,ZH,5
transit_stations_percent_change_from_baseline_7dayAverage,2,2.4190697865238637,4.241072514106596,allWithoutCantonI,ZH,5
transit_stations_percent_change_from_baseline_7dayAverage,3,3.3253977709963674,8.678601198652725,allWithoutCantonI,ZH,5
transit_stations_percent_change_from_baseline_7dayAverage,0,4.775531604133216,2.4962658587026825,allWithoutCantonI,ZH,6
transit_stations_percent_change_from_baseline_7dayAverage,1,6.344969093289266,5.006795627115229,allWithoutCantonI,ZH,6
transit_stations_percent_change_from_baseline_7dayAverage,2,2.5152015564441688,3.9992574034771415,allWithoutCantonI,ZH,6
transit_stations_percent_change_from_baseline_7dayAverage,3,3.1812427489947543,8.111910606732625,allWithoutCantonI,ZH,6
transit_stations_percent_change_from_baseline_7dayAverage,0,5.028976144800815,2.4730108130095694,allWithoutCantonI,ZH,7
transit_stations_percent_change_from_baseline_7dayAverage,1,6.199878048601402,4.916984116903253,allWithoutCantonI,ZH,7
transit_stations_percent_change_from_baseline_7dayAverage,2,3.181371664037324,3.8840990792821963,allWithoutCantonI,ZH,7
transit_stations_percent_change_from_baseline_7dayAverage,3,3.5082601691961752,7.773149202177913,allWithoutCantonI,ZH,7
transit_stations_percent_change_from_baseline_7dayAverage,0,5.274594132749712,2.7657853247592716,allWithoutCantonI,ZH,8
transit_stations_percent_change_from_baseline_7dayAverage,1,5.948217185936636,5.171427084950008,allWithoutCantonI,ZH,8
transit_stations_percent_change_from_baseline_7dayAverage,2,3.033725260125223,4.498861602174772,allWithoutCantonI,ZH,8
transit_stations_percent_change_from_baseline_7dayAverage,3,3.052776455524114,8.447636524263311,allWithoutCantonI,ZH,8
transit_stations_percent_change_from_baseline_7dayAverage,0,4.392970845422659,2.649100608484448,allWithoutCantonI,ZH,9
transit_stations_percent_change_from_baseline_7dayAverage,1,6.35512751413493,4.783549959890066,allWithoutCantonI,ZH,9
transit_stations_percent_change_from_baseline_7dayAverage,2,2.7647627543046194,4.114982916614946,allWithoutCantonI,ZH,9
transit_stations_percent_change_from_baseline_7dayAverage,3,4.025529671715017,8.145971728524811,allWithoutCantonI,ZH,9
workplaces_percent_change_from_baseline_7dayAverage,0,7.0590356560564365,1.8211759238070135,allWithoutCantonI,ZH,0
workplaces_percent_change_from_baseline_7dayAverage,1,6.837569315094232,2.0992756419522767,allWithoutCantonI,ZH,0
workplaces_percent_change_from_baseline_7dayAverage,2,6.622550339645727,3.733888518697393,allWithoutCantonI,ZH,0
workplaces_percent_change_from_baseline_7dayAverage,3,7.620167036557726,4.663116645467039,allWithoutCantonI,ZH,0
