task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,3.3595359437097634,3.279355996595386,onlyCantonI,AG,0
case_inz_entries_7dayAverage,1,6.020664222397198,14.113060174034743,onlyCantonI,AG,0
case_inz_entries_7dayAverage,2,7.949057674589769,27.787752792302104,onlyCantonI,AG,0
case_inz_entries_7dayAverage,3,9.407436599602613,32.98885137331053,onlyCantonI,AG,0
hosp_inz_entries_7dayAverage,0,0.21443366417288345,0.19705092031799043,onlyCantonI,AG,0
hosp_inz_entries_7dayAverage,1,0.3462975772520004,0.25296525475495857,onlyCantonI,AG,0
hosp_inz_entries_7dayAverage,2,0.3929028618697389,0.668008213089592,onlyCantonI,AG,0
hosp_inz_entries_7dayAverage,3,0.37773633024966335,1.093505774371557,onlyCantonI,AG,0
death_inz_entries_7dayAverage,0,0.04735676287457512,0.035886555297337835,onlyCantonI,AG,0
death_inz_entries_7dayAverage,1,0.057128380747654264,0.045267663888873905,onlyCantonI,AG,0
death_inz_entries_7dayAverage,2,0.12644189107166998,0.13519994704619565,onlyCantonI,AG,0
death_inz_entries_7dayAverage,3,0.23660200668634285,0.4084430386198949,onlyCantonI,AG,0
testPositvity_7dayAverage,0,0.08412078191553264,0.013061522761358408,onlyCantonI,AG,0
testPositvity_7dayAverage,1,0.028649515220132052,0.03353767228700449,onlyCantonI,AG,0
testPositvity_7dayAverage,2,0.138020753517208,0.03827553333656315,onlyCantonI,AG,0
testPositvity_7dayAverage,3,0.054520579939318435,0.044464726092606224,onlyCantonI,AG,0
testPositvity_7dayAverage,0,0.057411313115906304,0.007786296716765663,onlyCantonI,AG,1
testPositvity_7dayAverage,1,0.02845289716423074,0.026992015198967392,onlyCantonI,AG,1
testPositvity_7dayAverage,2,0.0776224359701859,0.027021400608112454,onlyCantonI,AG,1
testPositvity_7dayAverage,3,0.027806082131959464,0.04574954679066235,onlyCantonI,AG,1
testPositvity_7dayAverage,0,0.035610374778472835,0.006105243636200949,onlyCantonI,AG,2
testPositvity_7dayAverage,1,0.023558867432580163,0.025740122221422523,onlyCantonI,AG,2
testPositvity_7dayAverage,2,0.031604377182449475,0.03150451495438404,onlyCantonI,AG,2
testPositvity_7dayAverage,3,0.019175266792599927,0.047675760799405685,onlyCantonI,AG,2
testPositvity_7dayAverage,0,0.019654695526581924,0.005274154308924172,onlyCantonI,AG,3
testPositvity_7dayAverage,1,0.014544824993514605,0.018455193291313707,onlyCantonI,AG,3
testPositvity_7dayAverage,2,0.00972530344865769,0.034320832120980214,onlyCantonI,AG,3
testPositvity_7dayAverage,3,0.011532914571968634,0.04584286803880249,onlyCantonI,AG,3
testPositvity_7dayAverage,0,0.011035576706754953,0.005047489060482837,onlyCantonI,AG,4
testPositvity_7dayAverage,1,0.0105992135193708,0.0183140557771842,onlyCantonI,AG,4
testPositvity_7dayAverage,2,0.007599853267112691,0.038415147093521854,onlyCantonI,AG,4
testPositvity_7dayAverage,3,0.008295190378953234,0.05025887812877784,onlyCantonI,AG,4
testPositvity_7dayAverage,0,0.00977545274128751,0.00556897232013138,onlyCantonI,AG,5
testPositvity_7dayAverage,1,0.011792510013356853,0.01730160103438007,onlyCantonI,AG,5
testPositvity_7dayAverage,2,0.006696000542904797,0.038112626456024,onlyCantonI,AG,5
testPositvity_7dayAverage,3,0.006105536731428704,0.04910964819407647,onlyCantonI,AG,5
testPositvity_7dayAverage,0,0.00892866417092219,0.0064822608959475385,onlyCantonI,AG,6
testPositvity_7dayAverage,1,0.009211038815926711,0.020270124880070937,onlyCantonI,AG,6
testPositvity_7dayAverage,2,0.005002142247934248,0.04057225106764584,onlyCantonI,AG,6
