task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,15.507569886772517,13.189827630877272,onlyCantonI,AI,0
case_inz_entries_7dayAverage,1,20.87303120965421,37.36940050298312,onlyCantonI,AI,0
case_inz_entries_7dayAverage,2,20.651114806166053,51.33103963278587,onlyCantonI,AI,0
case_inz_entries_7dayAverage,3,19.46501122915389,48.45787202807955,onlyCantonI,AI,0
hosp_inz_entries_7dayAverage,0,1.348383762411559,0.4994492114406547,onlyCantonI,AI,0
hosp_inz_entries_7dayAverage,1,1.4961206728408973,1.9090848395699234,onlyCantonI,AI,0
hosp_inz_entries_7dayAverage,2,0.926310209611326,2.9465634573181814,onlyCantonI,AI,0
hosp_inz_entries_7dayAverage,3,0.6474589342522645,1.5341413761414209,onlyCantonI,AI,0
death_inz_entries_7dayAverage,0,0.2595217499573018,0.37361898421824175,onlyCantonI,AI,0
death_inz_entries_7dayAverage,1,1.858417749152992,0.49117392362519496,onlyCantonI,AI,0
death_inz_entries_7dayAverage,2,1.9849804935749962,0.537677137298592,onlyCantonI,AI,0
death_inz_entries_7dayAverage,3,0.6442873322733689,1.6983244518896117,onlyCantonI,AI,0
testPositvity_7dayAverage,0,0.14483250086192842,0.038980524014352175,onlyCantonI,AI,0
testPositvity_7dayAverage,1,0.06989321401431668,0.09877615362558646,onlyCantonI,AI,0
testPositvity_7dayAverage,2,0.050855108678319605,0.07612319004500484,onlyCantonI,AI,0
testPositvity_7dayAverage,3,0.09558928050211409,0.07297162519235764,onlyCantonI,AI,0
testPositvity_7dayAverage,0,0.0720568607641631,0.0341981007647575,onlyCantonI,AI,1
testPositvity_7dayAverage,1,0.018687882419449492,0.08424901200347304,onlyCantonI,AI,1
testPositvity_7dayAverage,2,0.048236480129223526,0.07935486756196812,onlyCantonI,AI,1
testPositvity_7dayAverage,3,0.06471272454569323,0.05897871333117999,onlyCantonI,AI,1
testPositvity_7dayAverage,0,0.042046919062520983,0.031350659079329116,onlyCantonI,AI,2
