task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,2.0698228014131392,3.784116228244298,onlyCantonI,BE,0
case_inz_entries_7dayAverage,1,4.143724150332019,16.907158271079624,onlyCantonI,BE,0
case_inz_entries_7dayAverage,2,6.142341126499598,33.31360556136462,onlyCantonI,BE,0
case_inz_entries_7dayAverage,3,8.303050765867807,39.895843221538605,onlyCantonI,BE,0
hosp_inz_entries_7dayAverage,0,0.16235840818701952,0.1366162904711154,onlyCantonI,BE,0
hosp_inz_entries_7dayAverage,1,0.27467194683867585,0.47347005734333286,onlyCantonI,BE,0
hosp_inz_entries_7dayAverage,2,0.3605280641923672,0.9616160399300091,onlyCantonI,BE,0
hosp_inz_entries_7dayAverage,3,0.4217967781786074,1.2477409594562814,onlyCantonI,BE,0
death_inz_entries_7dayAverage,0,0.06240799568239669,0.0861821778602696,onlyCantonI,BE,0
death_inz_entries_7dayAverage,1,0.05637571341975209,0.060138366250862385,onlyCantonI,BE,0
death_inz_entries_7dayAverage,2,0.05672372074255311,0.11850233813803022,onlyCantonI,BE,0
death_inz_entries_7dayAverage,3,0.06272147389327354,0.22193946667241976,onlyCantonI,BE,0
testPositvity_7dayAverage,0,0.05533596118506254,0.020951289517024366,onlyCantonI,BE,0
testPositvity_7dayAverage,1,0.0634430680768112,0.02345005821353615,onlyCantonI,BE,0
testPositvity_7dayAverage,2,0.042456819697967975,0.06126689704585192,onlyCantonI,BE,0
testPositvity_7dayAverage,3,0.10387222144589957,0.05868749391183672,onlyCantonI,BE,0
testPositvity_7dayAverage,0,0.04629865498223765,0.015653064103913622,onlyCantonI,BE,1
testPositvity_7dayAverage,1,0.061755456834997745,0.01926549257581501,onlyCantonI,BE,1
testPositvity_7dayAverage,2,0.022351666647695227,0.04242824135652787,onlyCantonI,BE,1
testPositvity_7dayAverage,3,0.06733861640578545,0.05195085623300451,onlyCantonI,BE,1
testPositvity_7dayAverage,0,0.034227276530662536,0.014249181074757995,onlyCantonI,BE,2
testPositvity_7dayAverage,1,0.0505457090360558,0.012484067410990294,onlyCantonI,BE,2
testPositvity_7dayAverage,2,0.013302333080895628,0.036933014363279434,onlyCantonI,BE,2
testPositvity_7dayAverage,3,0.04600115184308003,0.04602389540631161,onlyCantonI,BE,2
testPositvity_7dayAverage,0,0.0186730841928833,0.01112777917259944,onlyCantonI,BE,3
testPositvity_7dayAverage,1,0.034535549720086496,0.013279739015150109,onlyCantonI,BE,3
testPositvity_7dayAverage,2,0.010260332989137208,0.0367226325299122,onlyCantonI,BE,3
testPositvity_7dayAverage,3,0.036641808971039184,0.04290581663884499,onlyCantonI,BE,3
testPositvity_7dayAverage,0,0.004585807436744566,0.007609721457092908,onlyCantonI,BE,4
testPositvity_7dayAverage,1,0.016668726655893185,0.01276602280342083,onlyCantonI,BE,4
testPositvity_7dayAverage,2,0.009381033089972797,0.0374857646181378,onlyCantonI,BE,4
testPositvity_7dayAverage,3,0.026540594391657558,0.04820624101127844,onlyCantonI,BE,4
testPositvity_7dayAverage,0,0.002647544825507138,0.005255567585251932,onlyCantonI,BE,5
testPositvity_7dayAverage,1,0.009139509631828767,0.011864077243095461,onlyCantonI,BE,5
testPositvity_7dayAverage,2,0.009675486046972423,0.03893743361315618,onlyCantonI,BE,5
testPositvity_7dayAverage,3,0.020792295110877223,0.04654173818951504,onlyCantonI,BE,5
testPositvity_7dayAverage,0,0.0023335691249027706,0.0061819089472914856,onlyCantonI,BE,6
testPositvity_7dayAverage,1,0.006735681145649147,0.01493121891757227,onlyCantonI,BE,6
testPositvity_7dayAverage,2,0.014142445947215511,0.03727719775682447,onlyCantonI,BE,6
testPositvity_7dayAverage,3,0.020205733257544677,0.045228800983926454,onlyCantonI,BE,6
testPositvity_7dayAverage,0,0.002319861978186978,0.005935619391365127,onlyCantonI,BE,7
testPositvity_7dayAverage,1,0.006962599653746322,0.014953298364890812,onlyCantonI,BE,7
testPositvity_7dayAverage,2,0.012672237903210638,0.0380850781464702,onlyCantonI,BE,7
testPositvity_7dayAverage,3,0.017077852303628908,0.04820171509495835,onlyCantonI,BE,7
