task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,3.5818452954878093,3.424977708518061,onlyCantonI,BL,0
case_inz_entries_7dayAverage,1,6.598057334357175,9.995520470380894,onlyCantonI,BL,0
case_inz_entries_7dayAverage,2,8.439072926574811,18.871994196683552,onlyCantonI,BL,0
case_inz_entries_7dayAverage,3,10.317344532395442,23.318709685034086,onlyCantonI,BL,0
hosp_inz_entries_7dayAverage,0,0.09212515411505634,0.27650960988532225,onlyCantonI,BL,0
hosp_inz_entries_7dayAverage,1,0.1703341824573524,0.3920651472120391,onlyCantonI,BL,0
hosp_inz_entries_7dayAverage,2,0.17314470103250765,0.4273113593245022,onlyCantonI,BL,0
hosp_inz_entries_7dayAverage,3,0.1577199250735184,0.6923079419997175,onlyCantonI,BL,0
death_inz_entries_7dayAverage,0,0.036156493719438056,0.16112240544781703,onlyCantonI,BL,0
death_inz_entries_7dayAverage,1,0.10544459582603423,0.18989937044835917,onlyCantonI,BL,0
death_inz_entries_7dayAverage,2,0.074903703579697,0.369901472861885,onlyCantonI,BL,0
death_inz_entries_7dayAverage,3,0.18312731644182972,0.29455654857530406,onlyCantonI,BL,0
testPositvity_7dayAverage,0,0.08265937782818386,0.02393354136586475,onlyCantonI,BL,0
testPositvity_7dayAverage,1,0.05616966251653842,0.03174008155907706,onlyCantonI,BL,0
testPositvity_7dayAverage,2,0.02817358827543231,0.03792720852493716,onlyCantonI,BL,0
testPositvity_7dayAverage,3,0.11364229181065853,0.028681893836250413,onlyCantonI,BL,0
testPositvity_7dayAverage,0,0.06097250751452065,0.016351209021744674,onlyCantonI,BL,1
testPositvity_7dayAverage,1,0.04790544331646346,0.021758872925803634,onlyCantonI,BL,1
testPositvity_7dayAverage,2,0.027539550928605758,0.025300712515329955,onlyCantonI,BL,1
testPositvity_7dayAverage,3,0.07453360387633796,0.024268393472051286,onlyCantonI,BL,1
testPositvity_7dayAverage,0,0.038323772228633375,0.011553442021606014,onlyCantonI,BL,2
testPositvity_7dayAverage,1,0.03919858930009487,0.018667502056375893,onlyCantonI,BL,2
testPositvity_7dayAverage,2,0.028415201860284747,0.01695528951442073,onlyCantonI,BL,2
testPositvity_7dayAverage,3,0.04667830855738831,0.02473813937234758,onlyCantonI,BL,2
testPositvity_7dayAverage,0,0.03173842680857932,0.008867795576476063,onlyCantonI,BL,3
testPositvity_7dayAverage,1,0.040002736578559885,0.01678230429413292,onlyCantonI,BL,3
testPositvity_7dayAverage,2,0.03136737383123977,0.014351040220239026,onlyCantonI,BL,3
testPositvity_7dayAverage,3,0.03756173464175395,0.024511050421182942,onlyCantonI,BL,3
testPositvity_7dayAverage,0,0.02573808028582585,0.009074721454129776,onlyCantonI,BL,4
testPositvity_7dayAverage,1,0.02985145531877805,0.019883513556605333,onlyCantonI,BL,4
testPositvity_7dayAverage,2,0.022436672851687763,0.016478608166137023,onlyCantonI,BL,4
testPositvity_7dayAverage,3,0.02321518692804554,0.02758208001540954,onlyCantonI,BL,4
testPositvity_7dayAverage,0,0.02552999148120914,0.008524591760255384,onlyCantonI,BL,5
testPositvity_7dayAverage,1,0.02311080489295719,0.021416129769108987,onlyCantonI,BL,5
testPositvity_7dayAverage,2,0.017210232369970806,0.019754458719342925,onlyCantonI,BL,5
testPositvity_7dayAverage,3,0.019984832742756566,0.029415136657080964,onlyCantonI,BL,5
testPositvity_7dayAverage,0,0.02200637422955134,0.008302469535038357,onlyCantonI,BL,6
testPositvity_7dayAverage,1,0.021090767976811302,0.02169030573148086,onlyCantonI,BL,6
testPositvity_7dayAverage,2,0.015950340819802167,0.020955918727768825,onlyCantonI,BL,6
testPositvity_7dayAverage,3,0.01875571268956694,0.02913026691015548,onlyCantonI,BL,6
testPositvity_7dayAverage,0,0.02200646576303527,0.007927612878342288,onlyCantonI,BL,7
testPositvity_7dayAverage,1,0.02341526962418969,0.01990676783320603,onlyCantonI,BL,7
testPositvity_7dayAverage,2,0.018281275025131896,0.019741333494226784,onlyCantonI,BL,7
testPositvity_7dayAverage,3,0.019602113923253815,0.02834688669185238,onlyCantonI,BL,7
testPositvity_7dayAverage,0,0.022568952617582575,0.008548428106230481,onlyCantonI,BL,8
testPositvity_7dayAverage,1,0.02363721158792902,0.019781947292810936,onlyCantonI,BL,8
testPositvity_7dayAverage,2,0.019766675850243536,0.020476478762884852,onlyCantonI,BL,8
testPositvity_7dayAverage,3,0.017985051672880326,0.029313623816489245,onlyCantonI,BL,8
testPositvity_7dayAverage,0,0.02361446494904753,0.007146620263499026,onlyCantonI,BL,9
testPositvity_7dayAverage,1,0.025642886867467938,0.01636556774282598,onlyCantonI,BL,9
testPositvity_7dayAverage,2,0.023004242949098846,0.016788047631210376,onlyCantonI,BL,9
testPositvity_7dayAverage,3,0.02112308323888879,0.024922271021372056,onlyCantonI,BL,9
transit_stations_percent_change_from_baseline_7dayAverage,0,4.110285669265822,2.2981637207945536,onlyCantonI,BL,0
transit_stations_percent_change_from_baseline_7dayAverage,1,4.229732193955751,3.3998830711919323,onlyCantonI,BL,0
transit_stations_percent_change_from_baseline_7dayAverage,2,4.799015228969184,4.58059463612316,onlyCantonI,BL,0
transit_stations_percent_change_from_baseline_7dayAverage,3,5.0153181941873255,6.109592105452201,onlyCantonI,BL,0
transit_stations_percent_change_from_baseline_7dayAverage,0,4.382765150846267,1.229802213148862,onlyCantonI,BL,1
transit_stations_percent_change_from_baseline_7dayAverage,1,3.7781900547905947,2.667073350881951,onlyCantonI,BL,1
transit_stations_percent_change_from_baseline_7dayAverage,2,4.041922335253142,5.988052274076357,onlyCantonI,BL,1
transit_stations_percent_change_from_baseline_7dayAverage,3,4.230932738213797,5.114709030891437,onlyCantonI,BL,1
transit_stations_percent_change_from_baseline_7dayAverage,0,4.322047202275773,1.0305613711658346,onlyCantonI,BL,2
transit_stations_percent_change_from_baseline_7dayAverage,1,3.7632064783933163,1.769318421159353,onlyCantonI,BL,2
transit_stations_percent_change_from_baseline_7dayAverage,2,3.1634259377963567,6.331680586017743,onlyCantonI,BL,2
transit_stations_percent_change_from_baseline_7dayAverage,3,3.1851609619856722,5.218549119084193,onlyCantonI,BL,2
transit_stations_percent_change_from_baseline_7dayAverage,0,4.813280247048488,0.9950519867094575,onlyCantonI,BL,3
transit_stations_percent_change_from_baseline_7dayAverage,1,3.5433874325600287,1.2911382425681341,onlyCantonI,BL,3
transit_stations_percent_change_from_baseline_7dayAverage,2,3.577630049621828,5.700183756100197,onlyCantonI,BL,3
transit_stations_percent_change_from_baseline_7dayAverage,3,3.289678632118714,5.299292254309343,onlyCantonI,BL,3
transit_stations_percent_change_from_baseline_7dayAverage,0,5.204404555578232,1.1355194045335026,onlyCantonI,BL,4
transit_stations_percent_change_from_baseline_7dayAverage,1,3.5039554369114567,1.5138759775923951,onlyCantonI,BL,4
transit_stations_percent_change_from_baseline_7dayAverage,2,4.020911800967005,5.210283076762097,onlyCantonI,BL,4
transit_stations_percent_change_from_baseline_7dayAverage,3,3.3799833088047655,5.300806466851106,onlyCantonI,BL,4
transit_stations_percent_change_from_baseline_7dayAverage,0,4.651306749469544,0.9593882459529195,onlyCantonI,BL,5
transit_stations_percent_change_from_baseline_7dayAverage,1,3.498530971738813,1.315644067608939,onlyCantonI,BL,5
transit_stations_percent_change_from_baseline_7dayAverage,2,4.032886662735281,5.0652105326526495,onlyCantonI,BL,5
transit_stations_percent_change_from_baseline_7dayAverage,3,2.8734146754775636,5.077067914142353,onlyCantonI,BL,5
transit_stations_percent_change_from_baseline_7dayAverage,0,5.188862414330636,1.3218062974358797,onlyCantonI,BL,6
transit_stations_percent_change_from_baseline_7dayAverage,1,3.615401711657955,1.1121522575593272,onlyCantonI,BL,6
transit_stations_percent_change_from_baseline_7dayAverage,2,4.25226007009805,4.98658584673513,onlyCantonI,BL,6
transit_stations_percent_change_from_baseline_7dayAverage,3,3.153070592228659,5.581044508467853,onlyCantonI,BL,6
transit_stations_percent_change_from_baseline_7dayAverage,0,4.516561678122536,0.8872901353034063,onlyCantonI,BL,7
transit_stations_percent_change_from_baseline_7dayAverage,1,3.675711423187826,1.4818358239295872,onlyCantonI,BL,7
transit_stations_percent_change_from_baseline_7dayAverage,2,4.642628227577164,3.9824532123564027,onlyCantonI,BL,7
transit_stations_percent_change_from_baseline_7dayAverage,3,3.2052593276980867,4.863418295407669,onlyCantonI,BL,7
transit_stations_percent_change_from_baseline_7dayAverage,0,4.696596803473962,1.1163084061168032,onlyCantonI,BL,8
transit_stations_percent_change_from_baseline_7dayAverage,1,3.8811012377560203,0.9121460400248755,onlyCantonI,BL,8
transit_stations_percent_change_from_baseline_7dayAverage,2,4.261749348274872,4.963476298189531,onlyCantonI,BL,8
transit_stations_percent_change_from_baseline_7dayAverage,3,3.1603680221207675,5.619991396116956,onlyCantonI,BL,8
transit_stations_percent_change_from_baseline_7dayAverage,0,4.886396197417122,0.7576781268780526,onlyCantonI,BL,9
transit_stations_percent_change_from_baseline_7dayAverage,1,3.8608113109838946,1.5320277784112997,onlyCantonI,BL,9
transit_stations_percent_change_from_baseline_7dayAverage,2,4.211152643704759,4.102409993347763,onlyCantonI,BL,9
transit_stations_percent_change_from_baseline_7dayAverage,3,3.024230150957968,4.97560392854748,onlyCantonI,BL,9
workplaces_percent_change_from_baseline_7dayAverage,0,9.952780283248403,5.111785202991568,onlyCantonI,BL,0
workplaces_percent_change_from_baseline_7dayAverage,1,14.585474012571098,10.752554293575816,onlyCantonI,BL,0
workplaces_percent_change_from_baseline_7dayAverage,2,19.7258647512802,12.37934657862733,onlyCantonI,BL,0
workplaces_percent_change_from_baseline_7dayAverage,3,18.9102686155172,9.024907852068267,onlyCantonI,BL,0
