task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,5.772255264730464,7.468559417172366,onlyCantonI,FR,0
case_inz_entries_7dayAverage,1,8.38532368588395,12.234162235312157,onlyCantonI,FR,0
case_inz_entries_7dayAverage,2,10.754009598620529,51.26926588367792,onlyCantonI,FR,0
case_inz_entries_7dayAverage,3,14.284027736815323,84.62170732753775,onlyCantonI,FR,0
hosp_inz_entries_7dayAverage,0,0.17035701965869612,0.49350787569691074,onlyCantonI,FR,0
hosp_inz_entries_7dayAverage,1,0.14867560136321686,0.6354035876370858,onlyCantonI,FR,0
hosp_inz_entries_7dayAverage,2,0.13577640540157365,1.6867282566952502,onlyCantonI,FR,0
hosp_inz_entries_7dayAverage,3,0.37377165946403224,2.115617632555636,onlyCantonI,FR,0
death_inz_entries_7dayAverage,0,0.049143130934710094,0.06564455574502247,onlyCantonI,FR,0
death_inz_entries_7dayAverage,1,0.07357488598158908,0.07267560418565434,onlyCantonI,FR,0
death_inz_entries_7dayAverage,2,0.16328307089407307,0.16047502087429147,onlyCantonI,FR,0
death_inz_entries_7dayAverage,3,0.041010802695337564,0.24572684137469417,onlyCantonI,FR,0
testPositvity_7dayAverage,0,0.03744281015623975,0.030936326382491764,onlyCantonI,FR,0
testPositvity_7dayAverage,1,0.061425440095794294,0.03766883818284895,onlyCantonI,FR,0
testPositvity_7dayAverage,2,0.08376809492604159,0.0783467725747436,onlyCantonI,FR,0
testPositvity_7dayAverage,3,0.04546541687110501,0.10922100580715177,onlyCantonI,FR,0
testPositvity_7dayAverage,0,0.0469733094146107,0.012223659771837569,onlyCantonI,FR,1
testPositvity_7dayAverage,1,0.04459318161279941,0.030059886365418387,onlyCantonI,FR,1
testPositvity_7dayAverage,2,0.061324385221596424,0.05437426212311519,onlyCantonI,FR,1
testPositvity_7dayAverage,3,0.05092572753041954,0.09701066816544159,onlyCantonI,FR,1
testPositvity_7dayAverage,0,0.03769928173360275,0.012628277092609485,onlyCantonI,FR,2
testPositvity_7dayAverage,1,0.03144762118724518,0.025633581164149512,onlyCantonI,FR,2
testPositvity_7dayAverage,2,0.051421202319810726,0.052363897171080746,onlyCantonI,FR,2
testPositvity_7dayAverage,3,0.06143741792256302,0.08716626880822194,onlyCantonI,FR,2
testPositvity_7dayAverage,0,0.03782954695848535,0.013891064198131102,onlyCantonI,FR,3
testPositvity_7dayAverage,1,0.0327354688467419,0.021734456404744515,onlyCantonI,FR,3
testPositvity_7dayAverage,2,0.045671397241399805,0.048362892590727034,onlyCantonI,FR,3
testPositvity_7dayAverage,3,0.06325676807186324,0.08383996134742126,onlyCantonI,FR,3
