task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,3.9768907456118026,7.3717865307601524,onlyCantonI,GL,0
case_inz_entries_7dayAverage,1,5.23225330555813,19.987436078388924,onlyCantonI,GL,0
case_inz_entries_7dayAverage,2,6.9559502470756405,29.9057302332222,onlyCantonI,GL,0
case_inz_entries_7dayAverage,3,10.228609730332103,32.05757685889115,onlyCantonI,GL,0
hosp_inz_entries_7dayAverage,0,0.4152153622350013,0.9290031322478395,onlyCantonI,GL,0
hosp_inz_entries_7dayAverage,1,0.7210631837000718,1.553185966630291,onlyCantonI,GL,0
hosp_inz_entries_7dayAverage,2,1.2370920491754287,1.4005998760111855,onlyCantonI,GL,0
hosp_inz_entries_7dayAverage,3,0.9220144882842879,2.4488754281613625,onlyCantonI,GL,0
death_inz_entries_7dayAverage,0,0.1875983657771928,0.5827936598904335,onlyCantonI,GL,0
death_inz_entries_7dayAverage,1,0.5003158096414011,0.887498918273092,onlyCantonI,GL,0
death_inz_entries_7dayAverage,2,0.35895717281474815,0.8164596866523572,onlyCantonI,GL,0
death_inz_entries_7dayAverage,3,0.5378566958728713,0.7208884997874669,onlyCantonI,GL,0
testPositvity_7dayAverage,0,0.11687420325465565,0.020401080603316663,onlyCantonI,GL,0
testPositvity_7dayAverage,1,0.12226208585985134,0.05342485388839685,onlyCantonI,GL,0
testPositvity_7dayAverage,2,0.1963607806846238,0.0321545439351793,onlyCantonI,GL,0
testPositvity_7dayAverage,3,0.03884773376902287,0.05211736288965253,onlyCantonI,GL,0
testPositvity_7dayAverage,0,0.05706226988441261,0.01619933997063357,onlyCantonI,GL,1
testPositvity_7dayAverage,1,0.06415225973422427,0.045861776913607336,onlyCantonI,GL,1
testPositvity_7dayAverage,2,0.06453393092498709,0.024295288952942095,onlyCantonI,GL,1
testPositvity_7dayAverage,3,0.031009970445193158,0.04877460918753105,onlyCantonI,GL,1
testPositvity_7dayAverage,0,0.0263122662240757,0.01411761753509293,onlyCantonI,GL,2
testPositvity_7dayAverage,1,0.03155719452899768,0.042066280524404025,onlyCantonI,GL,2
testPositvity_7dayAverage,2,0.037223565378977655,0.02012433780598567,onlyCantonI,GL,2
testPositvity_7dayAverage,3,0.02432095096039191,0.049922207848156805,onlyCantonI,GL,2
testPositvity_7dayAverage,0,0.023207054496076397,0.018251002555726894,onlyCantonI,GL,3
testPositvity_7dayAverage,1,0.011870698004079017,0.03962151194942179,onlyCantonI,GL,3
testPositvity_7dayAverage,2,0.023350442088574945,0.025694528053397808,onlyCantonI,GL,3
testPositvity_7dayAverage,3,0.025602318953632516,0.04449766906227116,onlyCantonI,GL,3
testPositvity_7dayAverage,0,0.017816171956006908,0.012654798861507135,onlyCantonI,GL,4
testPositvity_7dayAverage,1,0.009603964783519317,0.04103566311495109,onlyCantonI,GL,4
testPositvity_7dayAverage,2,0.02522376312989039,0.020909770887882935,onlyCantonI,GL,4
testPositvity_7dayAverage,3,0.03184203794546172,0.04865217218535582,onlyCantonI,GL,4
testPositvity_7dayAverage,0,0.017311607289871946,0.011490796476198713,onlyCantonI,GL,5
testPositvity_7dayAverage,1,0.010389500502293656,0.041959585206261925,onlyCantonI,GL,5
testPositvity_7dayAverage,2,0.01725515263303268,0.019145997666635394,onlyCantonI,GL,5
testPositvity_7dayAverage,3,0.03015132497512576,0.05112547559128916,onlyCantonI,GL,5
testPositvity_7dayAverage,0,0.014322195973800935,0.01265759690682809,onlyCantonI,GL,6
testPositvity_7dayAverage,1,0.012957119593562895,0.031366438285221364,onlyCantonI,GL,6
