task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,3.6319943463330935,3.8226187245625995,onlyCantonI,LU,0
case_inz_entries_7dayAverage,1,6.25779572720675,16.42957685218127,onlyCantonI,LU,0
case_inz_entries_7dayAverage,2,8.596714460396573,31.857978283503076,onlyCantonI,LU,0
case_inz_entries_7dayAverage,3,11.769960471874994,37.614481787623816,onlyCantonI,LU,0
hosp_inz_entries_7dayAverage,0,0.13608958659126247,0.31745764406094273,onlyCantonI,LU,0
hosp_inz_entries_7dayAverage,1,0.207418190726604,0.24446512649324326,onlyCantonI,LU,0
hosp_inz_entries_7dayAverage,2,0.2560739034527577,0.6832034798838783,onlyCantonI,LU,0
hosp_inz_entries_7dayAverage,3,0.3729385180680489,1.0179036199685658,onlyCantonI,LU,0
death_inz_entries_7dayAverage,0,0.08304066173816202,0.1056002283988539,onlyCantonI,LU,0
death_inz_entries_7dayAverage,1,0.16985393892882192,0.1195663703690861,onlyCantonI,LU,0
death_inz_entries_7dayAverage,2,0.15863915934859207,0.09941265801450873,onlyCantonI,LU,0
death_inz_entries_7dayAverage,3,0.06991290688727828,0.4687773791067344,onlyCantonI,LU,0
testPositvity_7dayAverage,0,0.07460696571439066,0.017655276233100474,onlyCantonI,LU,0
testPositvity_7dayAverage,1,0.12877274501631228,0.031873004386814084,onlyCantonI,LU,0
testPositvity_7dayAverage,2,0.08437298136382242,0.04402068044007299,onlyCantonI,LU,0
testPositvity_7dayAverage,3,0.06616618400613067,0.038468522125799515,onlyCantonI,LU,0
testPositvity_7dayAverage,0,0.029807882986214836,0.01636265823490923,onlyCantonI,LU,1
testPositvity_7dayAverage,1,0.09735445913982736,0.025628490817992584,onlyCantonI,LU,1
testPositvity_7dayAverage,2,0.05671085735294356,0.04411857493798698,onlyCantonI,LU,1
testPositvity_7dayAverage,3,0.06785207551611593,0.036217211959974224,onlyCantonI,LU,1
testPositvity_7dayAverage,0,0.01678913400697652,0.014731281628772293,onlyCantonI,LU,2
testPositvity_7dayAverage,1,0.06710892675752107,0.023055224601876242,onlyCantonI,LU,2
testPositvity_7dayAverage,2,0.0517285189878511,0.03868302496876537,onlyCantonI,LU,2
testPositvity_7dayAverage,3,0.06636363978319731,0.036823996056564404,onlyCantonI,LU,2
testPositvity_7dayAverage,0,0.025906572751403293,0.01763021252492942,onlyCantonI,LU,3
testPositvity_7dayAverage,1,0.0543046342622457,0.017635000508949863,onlyCantonI,LU,3
testPositvity_7dayAverage,2,0.040548826551789006,0.03686601568250614,onlyCantonI,LU,3
testPositvity_7dayAverage,3,0.06107461710468011,0.037567270917805796,onlyCantonI,LU,3
testPositvity_7dayAverage,0,0.0292437877213188,0.015171049738511997,onlyCantonI,LU,4
testPositvity_7dayAverage,1,0.03389654266936811,0.01718963403625462,onlyCantonI,LU,4
testPositvity_7dayAverage,2,0.029755021436651062,0.0354814724463148,onlyCantonI,LU,4
testPositvity_7dayAverage,3,0.04449383418765382,0.04046756680818085,onlyCantonI,LU,4
testPositvity_7dayAverage,0,0.03264343190418418,0.013672801361967322,onlyCantonI,LU,5
testPositvity_7dayAverage,1,0.02890150846587213,0.01726165978425254,onlyCantonI,LU,5
testPositvity_7dayAverage,2,0.022282004931648745,0.030530570445915638,onlyCantonI,LU,5
testPositvity_7dayAverage,3,0.037143887414130744,0.0383022036222234,onlyCantonI,LU,5
testPositvity_7dayAverage,0,0.02639910102118947,0.0111810826614761,onlyCantonI,LU,6
testPositvity_7dayAverage,1,0.0274126215106915,0.01669925433295012,onlyCantonI,LU,6
testPositvity_7dayAverage,2,0.02171793672376911,0.02970370411415858,onlyCantonI,LU,6
testPositvity_7dayAverage,3,0.03536883540315356,0.040185421956960864,onlyCantonI,LU,6
testPositvity_7dayAverage,0,0.028310234580819355,0.009219305538492541,onlyCantonI,LU,7
testPositvity_7dayAverage,1,0.028338075568293063,0.017282070792089776,onlyCantonI,LU,7
testPositvity_7dayAverage,2,0.0204010531706164,0.029943591029476906,onlyCantonI,LU,7
testPositvity_7dayAverage,3,0.03407653070534773,0.03907469322477169,onlyCantonI,LU,7
testPositvity_7dayAverage,0,0.024334270385042867,0.0080650179336807,onlyCantonI,LU,8
testPositvity_7dayAverage,1,0.026007086998495788,0.016821092625759534,onlyCantonI,LU,8
testPositvity_7dayAverage,2,0.017404193557414436,0.03088715356605642,onlyCantonI,LU,8
testPositvity_7dayAverage,3,0.030802673206764712,0.040113811163669855,onlyCantonI,LU,8
testPositvity_7dayAverage,0,0.031851140322259656,0.009902042936837264,onlyCantonI,LU,9
testPositvity_7dayAverage,1,0.03042559483357265,0.016567218502023313,onlyCantonI,LU,9
testPositvity_7dayAverage,2,0.020217918624034104,0.02966652007773895,onlyCantonI,LU,9
testPositvity_7dayAverage,3,0.0327136891941375,0.03973134678311876,onlyCantonI,LU,9
transit_stations_percent_change_from_baseline_7dayAverage,0,3.874544839504791,2.8188054588574216,onlyCantonI,LU,0
transit_stations_percent_change_from_baseline_7dayAverage,1,4.369464400436326,2.052104010282799,onlyCantonI,LU,0
transit_stations_percent_change_from_baseline_7dayAverage,2,4.950929208582685,3.968716055088544,onlyCantonI,LU,0
transit_stations_percent_change_from_baseline_7dayAverage,3,4.61637258093044,7.6902536999955835,onlyCantonI,LU,0
transit_stations_percent_change_from_baseline_7dayAverage,0,3.426670504986674,1.6111576369648704,onlyCantonI,LU,1
transit_stations_percent_change_from_baseline_7dayAverage,1,4.775996386264505,1.1309122773252291,onlyCantonI,LU,1
transit_stations_percent_change_from_baseline_7dayAverage,2,4.614730572724992,3.7046208753318277,onlyCantonI,LU,1
transit_stations_percent_change_from_baseline_7dayAverage,3,4.007483075038306,7.619797827317446,onlyCantonI,LU,1
transit_stations_percent_change_from_baseline_7dayAverage,0,3.874244291848538,2.4182225781341784,onlyCantonI,LU,2
transit_stations_percent_change_from_baseline_7dayAverage,1,4.625634946266465,1.5825150260033563,onlyCantonI,LU,2
transit_stations_percent_change_from_baseline_7dayAverage,2,4.861064742121188,4.3335002446732505,onlyCantonI,LU,2
transit_stations_percent_change_from_baseline_7dayAverage,3,4.368902004552524,6.968911981717093,onlyCantonI,LU,2
transit_stations_percent_change_from_baseline_7dayAverage,0,3.4056958940033004,2.1878217422675825,onlyCantonI,LU,3
transit_stations_percent_change_from_baseline_7dayAverage,1,5.609429442848603,1.2694806830258856,onlyCantonI,LU,3
transit_stations_percent_change_from_baseline_7dayAverage,2,5.020179031469102,3.640856510794336,onlyCantonI,LU,3
transit_stations_percent_change_from_baseline_7dayAverage,3,5.339427715019113,6.055675592855006,onlyCantonI,LU,3
transit_stations_percent_change_from_baseline_7dayAverage,0,3.781171881063742,2.184328047988821,onlyCantonI,LU,4
transit_stations_percent_change_from_baseline_7dayAverage,1,5.744861027561957,1.6087519367826169,onlyCantonI,LU,4
transit_stations_percent_change_from_baseline_7dayAverage,2,5.09568696268982,3.2931144974746007,onlyCantonI,LU,4
transit_stations_percent_change_from_baseline_7dayAverage,3,5.840868287482249,5.7088219685488415,onlyCantonI,LU,4
transit_stations_percent_change_from_baseline_7dayAverage,0,4.010467167567201,2.567000124357232,onlyCantonI,LU,5
transit_stations_percent_change_from_baseline_7dayAverage,1,6.27030475728306,1.7392815693723123,onlyCantonI,LU,5
transit_stations_percent_change_from_baseline_7dayAverage,2,4.716539449749817,3.078214987154791,onlyCantonI,LU,5
transit_stations_percent_change_from_baseline_7dayAverage,3,4.917413176489033,5.178875406458727,onlyCantonI,LU,5
transit_stations_percent_change_from_baseline_7dayAverage,0,3.9643158794476063,2.4638883831618683,onlyCantonI,LU,6
transit_stations_percent_change_from_baseline_7dayAverage,1,6.732406934437114,1.6570049539049194,onlyCantonI,LU,6
transit_stations_percent_change_from_baseline_7dayAverage,2,4.839054433595592,3.101923066504872,onlyCantonI,LU,6
transit_stations_percent_change_from_baseline_7dayAverage,3,4.435382997229339,4.9689193881584695,onlyCantonI,LU,6
transit_stations_percent_change_from_baseline_7dayAverage,0,3.8726429803029703,1.9989190220560047,onlyCantonI,LU,7
transit_stations_percent_change_from_baseline_7dayAverage,1,7.915612707448763,2.2085776769864816,onlyCantonI,LU,7
transit_stations_percent_change_from_baseline_7dayAverage,2,4.445868731546749,2.9978514584281855,onlyCantonI,LU,7
transit_stations_percent_change_from_baseline_7dayAverage,3,3.9751490657676416,4.8244470272443625,onlyCantonI,LU,7
transit_stations_percent_change_from_baseline_7dayAverage,0,3.9118617683601893,2.203138694219201,onlyCantonI,LU,8
transit_stations_percent_change_from_baseline_7dayAverage,1,7.840392443485992,1.715417273615285,onlyCantonI,LU,8
transit_stations_percent_change_from_baseline_7dayAverage,2,4.432891361374477,2.7145038552147542,onlyCantonI,LU,8
transit_stations_percent_change_from_baseline_7dayAverage,3,3.587520187432559,4.616613520051925,onlyCantonI,LU,8
transit_stations_percent_change_from_baseline_7dayAverage,0,4.529814593557522,3.3388848408991025,onlyCantonI,LU,9
transit_stations_percent_change_from_baseline_7dayAverage,1,6.821603134724764,1.4865348513019152,onlyCantonI,LU,9
transit_stations_percent_change_from_baseline_7dayAverage,2,5.052657929115571,2.8106916317163027,onlyCantonI,LU,9
transit_stations_percent_change_from_baseline_7dayAverage,3,4.163399722900187,4.222723825018065,onlyCantonI,LU,9
workplaces_percent_change_from_baseline_7dayAverage,0,11.22107740954554,10.891453173976583,onlyCantonI,LU,0
workplaces_percent_change_from_baseline_7dayAverage,1,12.695175285859003,8.75783348106634,onlyCantonI,LU,0
workplaces_percent_change_from_baseline_7dayAverage,2,17.97419501507757,13.859450737642202,onlyCantonI,LU,0
workplaces_percent_change_from_baseline_7dayAverage,3,16.823386603518465,10.808228917419765,onlyCantonI,LU,0
