task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,2.5561180201168288,5.453623660957177,onlyCantonI,NW,0
case_inz_entries_7dayAverage,1,5.330043162140322,11.88562962023917,onlyCantonI,NW,0
case_inz_entries_7dayAverage,2,8.621895117716315,19.91647179088952,onlyCantonI,NW,0
case_inz_entries_7dayAverage,3,12.339123815861507,28.42225644652423,onlyCantonI,NW,0
hosp_inz_entries_7dayAverage,0,0.31621795763329136,0.36384322736726965,onlyCantonI,NW,0
hosp_inz_entries_7dayAverage,1,0.408719226379396,0.5176304580550266,onlyCantonI,NW,0
hosp_inz_entries_7dayAverage,2,0.5661654419526452,0.6452229095763194,onlyCantonI,NW,0
hosp_inz_entries_7dayAverage,3,0.7166427881683781,0.8516893061854062,onlyCantonI,NW,0
death_inz_entries_7dayAverage,0,0.2301146899676775,0.16673116191322201,onlyCantonI,NW,0
death_inz_entries_7dayAverage,1,0.10735294875230127,0.13547161304786523,onlyCantonI,NW,0
death_inz_entries_7dayAverage,2,0.08789637287274597,0.21235141757863774,onlyCantonI,NW,0
death_inz_entries_7dayAverage,3,0.1171036908665264,0.2074898147071205,onlyCantonI,NW,0
testPositvity_7dayAverage,0,0.03428978214918109,0.06803270371002583,onlyCantonI,NW,0
testPositvity_7dayAverage,1,0.04355115395539526,0.02713572092972172,onlyCantonI,NW,0
testPositvity_7dayAverage,2,0.08779367217346869,0.024209541810515853,onlyCantonI,NW,0
testPositvity_7dayAverage,3,0.07358745380300892,0.0582616097610576,onlyCantonI,NW,0
testPositvity_7dayAverage,0,0.029015150568135785,0.05231420029074787,onlyCantonI,NW,1
testPositvity_7dayAverage,1,0.0429530934480979,0.02465303750036365,onlyCantonI,NW,1
testPositvity_7dayAverage,2,0.06777356447757257,0.019877635074724846,onlyCantonI,NW,1
testPositvity_7dayAverage,3,0.06308078885952675,0.05137331991859515,onlyCantonI,NW,1
testPositvity_7dayAverage,0,0.03014868239773591,0.047369048713091014,onlyCantonI,NW,2
testPositvity_7dayAverage,1,0.04124824258455977,0.02328349145037517,onlyCantonI,NW,2
testPositvity_7dayAverage,2,0.0463717828128896,0.019052091093335617,onlyCantonI,NW,2
testPositvity_7dayAverage,3,0.052775729009377444,0.04886934138519978,onlyCantonI,NW,2
testPositvity_7dayAverage,0,0.026889038056094387,0.04618829284346446,onlyCantonI,NW,3
testPositvity_7dayAverage,1,0.04185696407034782,0.019946494168745162,onlyCantonI,NW,3
testPositvity_7dayAverage,2,0.03864415334849819,0.02192084459228236,onlyCantonI,NW,3
testPositvity_7dayAverage,3,0.04786946119249573,0.048418530921111015,onlyCantonI,NW,3
testPositvity_7dayAverage,0,0.020307463711947853,0.04467577247507581,onlyCantonI,NW,4
testPositvity_7dayAverage,1,0.03148314706704941,0.02420429761429752,onlyCantonI,NW,4
testPositvity_7dayAverage,2,0.029581755656880485,0.029560589833752482,onlyCantonI,NW,4
testPositvity_7dayAverage,3,0.029962327614841404,0.052696689510858145,onlyCantonI,NW,4
testPositvity_7dayAverage,0,0.025718327235849152,0.042401262507750344,onlyCantonI,NW,5
testPositvity_7dayAverage,1,0.04211092789245394,0.020987579215288533,onlyCantonI,NW,5
testPositvity_7dayAverage,2,0.03828542610392102,0.020391285332010407,onlyCantonI,NW,5
testPositvity_7dayAverage,3,0.04351115022181476,0.046932714633682225,onlyCantonI,NW,5
testPositvity_7dayAverage,0,0.031658450361962,0.040994950410075406,onlyCantonI,NW,6
testPositvity_7dayAverage,1,0.036228547536354155,0.021701721562191363,onlyCantonI,NW,6
