task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,2.1542803698157926,7.476475613768342,onlyCantonI,SG,0
case_inz_entries_7dayAverage,1,3.089723348833953,22.69486318681862,onlyCantonI,SG,0
case_inz_entries_7dayAverage,2,5.639667411809054,39.51487984565361,onlyCantonI,SG,0
case_inz_entries_7dayAverage,3,9.234081845366958,45.38846883187485,onlyCantonI,SG,0
hosp_inz_entries_7dayAverage,0,0.12336679483623393,0.3757354631125932,onlyCantonI,SG,0
hosp_inz_entries_7dayAverage,1,0.14340480708065695,0.8562742406854994,onlyCantonI,SG,0
hosp_inz_entries_7dayAverage,2,0.13938311340917633,1.0403287175849678,onlyCantonI,SG,0
hosp_inz_entries_7dayAverage,3,0.2150886712764057,1.1218496873414325,onlyCantonI,SG,0
death_inz_entries_7dayAverage,0,0.026811943290961256,0.0884380470274436,onlyCantonI,SG,0
death_inz_entries_7dayAverage,1,0.07001447836990965,0.2150872038048937,onlyCantonI,SG,0
death_inz_entries_7dayAverage,2,0.673927961747515,0.30431404436865894,onlyCantonI,SG,0
death_inz_entries_7dayAverage,3,0.5139593528175208,0.3578485487549595,onlyCantonI,SG,0
testPositvity_7dayAverage,0,0.027763957555444523,0.018714425043077042,onlyCantonI,SG,0
testPositvity_7dayAverage,1,0.0668407115205854,0.04524833954833782,onlyCantonI,SG,0
testPositvity_7dayAverage,2,0.020925315511569155,0.05696716933842429,onlyCantonI,SG,0
testPositvity_7dayAverage,3,0.1410278447278924,0.056135186420900984,onlyCantonI,SG,0
testPositvity_7dayAverage,0,0.01825171804282355,0.017888207946096052,onlyCantonI,SG,1
testPositvity_7dayAverage,1,0.03335849328042978,0.03826781467757544,onlyCantonI,SG,1
testPositvity_7dayAverage,2,0.01542898083459404,0.05078894661098421,onlyCantonI,SG,1
testPositvity_7dayAverage,3,0.08408471381127515,0.05224256342947348,onlyCantonI,SG,1
testPositvity_7dayAverage,0,0.008365853671414318,0.016542741977156234,onlyCantonI,SG,2
testPositvity_7dayAverage,1,0.007373393756594619,0.034604411641617365,onlyCantonI,SG,2
testPositvity_7dayAverage,2,0.012224445624519012,0.049039180706632095,onlyCantonI,SG,2
testPositvity_7dayAverage,3,0.04566659815875297,0.051110167512866476,onlyCantonI,SG,2
testPositvity_7dayAverage,0,0.007409245266852774,0.014867093386399882,onlyCantonI,SG,3
testPositvity_7dayAverage,1,0.008179603724012753,0.03489306175985355,onlyCantonI,SG,3
testPositvity_7dayAverage,2,0.011309856873087757,0.04944369067554818,onlyCantonI,SG,3
testPositvity_7dayAverage,3,0.025522037135607016,0.053680912221965985,onlyCantonI,SG,3
testPositvity_7dayAverage,0,0.006990350065828839,0.012520550720568508,onlyCantonI,SG,4
testPositvity_7dayAverage,1,0.014347674902091193,0.03250602652355606,onlyCantonI,SG,4
testPositvity_7dayAverage,2,0.014856221958549928,0.048138811995668794,onlyCantonI,SG,4
testPositvity_7dayAverage,3,0.014359738961640077,0.05276653538099418,onlyCantonI,SG,4
testPositvity_7dayAverage,0,0.011661824660473514,0.010744700675034097,onlyCantonI,SG,5
testPositvity_7dayAverage,1,0.01836489445462751,0.0359550559081636,onlyCantonI,SG,5
testPositvity_7dayAverage,2,0.018164535546278674,0.050844494229992473,onlyCantonI,SG,5
testPositvity_7dayAverage,3,0.012385735596876314,0.055190076984651795,onlyCantonI,SG,5
testPositvity_7dayAverage,0,0.01398312643165215,0.008992520591454996,onlyCantonI,SG,6
testPositvity_7dayAverage,1,0.014586537192693032,0.028979033924124258,onlyCantonI,SG,6
testPositvity_7dayAverage,2,0.01576936706861891,0.044623615425610254,onlyCantonI,SG,6
testPositvity_7dayAverage,3,0.013030720563410272,0.05163073044867008,onlyCantonI,SG,6
testPositvity_7dayAverage,0,0.009869349980240263,0.008317123027619387,onlyCantonI,SG,7
testPositvity_7dayAverage,1,0.016168813910574488,0.034970670546878836,onlyCantonI,SG,7
testPositvity_7dayAverage,2,0.0160795154377879,0.049173708427537675,onlyCantonI,SG,7
testPositvity_7dayAverage,3,0.011828495203316962,0.051538976893521306,onlyCantonI,SG,7
testPositvity_7dayAverage,0,0.008377961228219424,0.009137436937378991,onlyCantonI,SG,8
testPositvity_7dayAverage,1,0.013293350835285595,0.03148141561864648,onlyCantonI,SG,8
testPositvity_7dayAverage,2,0.013191570498774598,0.04353922874806912,onlyCantonI,SG,8
testPositvity_7dayAverage,3,0.012506226585177378,0.04818799485793788,onlyCantonI,SG,8
testPositvity_7dayAverage,0,0.008169580621264392,0.009237018108078717,onlyCantonI,SG,9
testPositvity_7dayAverage,1,0.013119816493414553,0.0330765073711831,onlyCantonI,SG,9
testPositvity_7dayAverage,2,0.013043096921686757,0.04616722801996886,onlyCantonI,SG,9
testPositvity_7dayAverage,3,0.012600046323267864,0.05021178221662802,onlyCantonI,SG,9
transit_stations_percent_change_from_baseline_7dayAverage,0,6.317900640324854,4.204804777284885,onlyCantonI,SG,0
