task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,4.543188138731923,13.851567853299802,onlyCantonI,SZ,0
case_inz_entries_7dayAverage,1,4.904788798710778,34.79723136080318,onlyCantonI,SZ,0
case_inz_entries_7dayAverage,2,5.8304766331255085,48.14713022187535,onlyCantonI,SZ,0
case_inz_entries_7dayAverage,3,8.330077708256683,41.609465084945654,onlyCantonI,SZ,0
hosp_inz_entries_7dayAverage,0,0.2980451415382895,0.7569167476513277,onlyCantonI,SZ,0
hosp_inz_entries_7dayAverage,1,0.435908976425737,1.1082399139199266,onlyCantonI,SZ,0
hosp_inz_entries_7dayAverage,2,0.6116324768285212,1.5207127021427427,onlyCantonI,SZ,0
hosp_inz_entries_7dayAverage,3,0.44534249314937246,2.4801927540344666,onlyCantonI,SZ,0
death_inz_entries_7dayAverage,0,0.06250075452800986,0.12413307497819122,onlyCantonI,SZ,0
death_inz_entries_7dayAverage,1,0.42916699404102804,0.3383073641315785,onlyCantonI,SZ,0
death_inz_entries_7dayAverage,2,0.15490809110518466,0.3272415597230155,onlyCantonI,SZ,0
death_inz_entries_7dayAverage,3,0.2005351973062031,0.17431592618295175,onlyCantonI,SZ,0
testPositvity_7dayAverage,0,0.04602519531257797,0.058023283356557695,onlyCantonI,SZ,0
testPositvity_7dayAverage,1,0.03261591782566462,0.06727567307597858,onlyCantonI,SZ,0
testPositvity_7dayAverage,2,0.05147160295074556,0.047055316115498375,onlyCantonI,SZ,0
testPositvity_7dayAverage,3,0.06838506306457397,0.050316867618148194,onlyCantonI,SZ,0
testPositvity_7dayAverage,0,0.022786100797115835,0.049061049271200544,onlyCantonI,SZ,1
testPositvity_7dayAverage,1,0.03123507140316484,0.060865146683820245,onlyCantonI,SZ,1
testPositvity_7dayAverage,2,0.06106941203132547,0.04609609846045992,onlyCantonI,SZ,1
testPositvity_7dayAverage,3,0.04511694524136942,0.048086936988841276,onlyCantonI,SZ,1
testPositvity_7dayAverage,0,0.015776406757590285,0.043847164392024476,onlyCantonI,SZ,2
testPositvity_7dayAverage,1,0.03253336984871845,0.0512001492950001,onlyCantonI,SZ,2
