task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,10.557976514052996,7.427520684400449,onlyCantonI,UR,0
case_inz_entries_7dayAverage,1,16.714391554211844,10.80524856722622,onlyCantonI,UR,0
case_inz_entries_7dayAverage,2,21.77068280123923,22.716778021867245,onlyCantonI,UR,0
case_inz_entries_7dayAverage,3,26.057596388617686,26.274961690682886,onlyCantonI,UR,0
hosp_inz_entries_7dayAverage,0,0.5563145485875918,0.45898281296365506,onlyCantonI,UR,0
hosp_inz_entries_7dayAverage,1,1.240424961480732,0.5054882066641263,onlyCantonI,UR,0
hosp_inz_entries_7dayAverage,2,1.6348111562717893,0.8040018523024566,onlyCantonI,UR,0
hosp_inz_entries_7dayAverage,3,1.494782160128668,1.0571089078622964,onlyCantonI,UR,0
death_inz_entries_7dayAverage,0,0.4957373187787731,1.0489497457559984,onlyCantonI,UR,0
death_inz_entries_7dayAverage,1,0.3101653109316153,0.4183076489213228,onlyCantonI,UR,0
death_inz_entries_7dayAverage,2,0.7316278708196389,0.33417811314821644,onlyCantonI,UR,0
death_inz_entries_7dayAverage,3,0.8809082098507354,0.586914549481669,onlyCantonI,UR,0
testPositvity_7dayAverage,0,0.03366332444426581,0.02141399426875935,onlyCantonI,UR,0
testPositvity_7dayAverage,1,0.04339460225246517,0.09236660545896627,onlyCantonI,UR,0
testPositvity_7dayAverage,2,0.10093092477122302,0.06872591014753922,onlyCantonI,UR,0
testPositvity_7dayAverage,3,0.11499275979548036,0.1088204801928677,onlyCantonI,UR,0
testPositvity_7dayAverage,0,0.03838306159047035,0.007705729003776306,onlyCantonI,UR,1
testPositvity_7dayAverage,1,0.03304934251669752,0.08634744642998267,onlyCantonI,UR,1
testPositvity_7dayAverage,2,0.08905933730866912,0.07333959378551921,onlyCantonI,UR,1
testPositvity_7dayAverage,3,0.0729322776855003,0.08417654908935879,onlyCantonI,UR,1
testPositvity_7dayAverage,0,0.015586094500913304,0.01268011198596348,onlyCantonI,UR,2
testPositvity_7dayAverage,1,0.017103636082612013,0.07430063442665136,onlyCantonI,UR,2
testPositvity_7dayAverage,2,0.021892537544338293,0.07360267385331618,onlyCantonI,UR,2
testPositvity_7dayAverage,3,0.04058587306451395,0.07069037852716735,onlyCantonI,UR,2
testPositvity_7dayAverage,0,0.006017597239514397,0.028484333238144397,onlyCantonI,UR,3
testPositvity_7dayAverage,1,0.02519761576172158,0.05892689284534635,onlyCantonI,UR,3
testPositvity_7dayAverage,2,0.008532705735110974,0.06758150362745893,onlyCantonI,UR,3
testPositvity_7dayAverage,3,0.019337740012942674,0.064530711677621,onlyCantonI,UR,3
testPositvity_7dayAverage,0,0.003564941627381044,0.033067952554281584,onlyCantonI,UR,4
testPositvity_7dayAverage,1,0.020566738851089086,0.049630821571000724,onlyCantonI,UR,4
testPositvity_7dayAverage,2,0.01144277367567892,0.06620462191252553,onlyCantonI,UR,4
testPositvity_7dayAverage,3,0.007091812030172836,0.059386728567466185,onlyCantonI,UR,4
testPositvity_7dayAverage,0,0.0035272540341912163,0.032026234227046084,onlyCantonI,UR,5
testPositvity_7dayAverage,1,0.01839826491534682,0.04630692434243292,onlyCantonI,UR,5
