task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,1.589313581386495,8.109955168102742,onlyCantonI,VD,0
case_inz_entries_7dayAverage,1,6.1930697854267205,11.513583108116721,onlyCantonI,VD,0
case_inz_entries_7dayAverage,2,10.866125135120404,37.1399838831801,onlyCantonI,VD,0
case_inz_entries_7dayAverage,3,14.516510988933534,63.869398158116475,onlyCantonI,VD,0
hosp_inz_entries_7dayAverage,0,0.24719129942259832,0.19729028489154316,onlyCantonI,VD,0
hosp_inz_entries_7dayAverage,1,0.5170676397372459,0.2396493698430729,onlyCantonI,VD,0
hosp_inz_entries_7dayAverage,2,0.584765245400203,0.770530031017741,onlyCantonI,VD,0
hosp_inz_entries_7dayAverage,3,0.5144026409334287,1.268090645344718,onlyCantonI,VD,0
death_inz_entries_7dayAverage,0,0.03530653902926427,0.09535501933664108,onlyCantonI,VD,0
death_inz_entries_7dayAverage,1,0.07454286121165658,0.08405653856382969,onlyCantonI,VD,0
death_inz_entries_7dayAverage,2,0.06405319725577212,0.0975012233232398,onlyCantonI,VD,0
death_inz_entries_7dayAverage,3,0.057100677864571514,0.1229062464551806,onlyCantonI,VD,0
testPositvity_7dayAverage,0,0.04600974149965892,0.01654783109335325,onlyCantonI,VD,0
testPositvity_7dayAverage,1,0.05876868748315148,0.01458752993811172,onlyCantonI,VD,0
testPositvity_7dayAverage,2,0.038156683554339474,0.02549610647000393,onlyCantonI,VD,0
testPositvity_7dayAverage,3,0.03319181394522413,0.060677396195252246,onlyCantonI,VD,0
testPositvity_7dayAverage,0,0.01913913972854421,0.012212567828945958,onlyCantonI,VD,1
testPositvity_7dayAverage,1,0.017920969884241016,0.008764521035204743,onlyCantonI,VD,1
testPositvity_7dayAverage,2,0.028112993622891668,0.022586182725819557,onlyCantonI,VD,1
testPositvity_7dayAverage,3,0.017560281890880308,0.05504379161630086,onlyCantonI,VD,1
testPositvity_7dayAverage,0,0.012470964617265332,0.012163313364555148,onlyCantonI,VD,2
testPositvity_7dayAverage,1,0.00937814663225098,0.006568498057271339,onlyCantonI,VD,2
testPositvity_7dayAverage,2,0.016366010235707665,0.01871344218864484,onlyCantonI,VD,2
testPositvity_7dayAverage,3,0.02311169304534526,0.0489872009154967,onlyCantonI,VD,2
testPositvity_7dayAverage,0,0.017126477853453174,0.010648942576930267,onlyCantonI,VD,3
testPositvity_7dayAverage,1,0.01961650932153179,0.008681829214961008,onlyCantonI,VD,3
testPositvity_7dayAverage,2,0.016953552039009893,0.021609598783129597,onlyCantonI,VD,3
testPositvity_7dayAverage,3,0.027580677584954652,0.04560861591092849,onlyCantonI,VD,3
testPositvity_7dayAverage,0,0.025297046623171306,0.012366421573185803,onlyCantonI,VD,4
testPositvity_7dayAverage,1,0.021418788939651316,0.010034493051595914,onlyCantonI,VD,4
testPositvity_7dayAverage,2,0.018477816686197267,0.02492337522071063,onlyCantonI,VD,4
testPositvity_7dayAverage,3,0.030570518596913402,0.04527921551729723,onlyCantonI,VD,4
testPositvity_7dayAverage,0,0.01931721109760859,0.007263999036162395,onlyCantonI,VD,5
testPositvity_7dayAverage,1,0.0214875097601648,0.011638763411052383,onlyCantonI,VD,5
testPositvity_7dayAverage,2,0.01921862761642778,0.025113603577173314,onlyCantonI,VD,5
testPositvity_7dayAverage,3,0.03474986799343485,0.044485495563658266,onlyCantonI,VD,5
testPositvity_7dayAverage,0,0.02007178675432812,0.009140455127606037,onlyCantonI,VD,6
testPositvity_7dayAverage,1,0.021372832515519424,0.012546634915080216,onlyCantonI,VD,6
testPositvity_7dayAverage,2,0.01880162395929757,0.02476070718383149,onlyCantonI,VD,6
testPositvity_7dayAverage,3,0.027804755628300214,0.04502311398983287,onlyCantonI,VD,6
testPositvity_7dayAverage,0,0.023005679560202857,0.00948800327475085,onlyCantonI,VD,7
testPositvity_7dayAverage,1,0.020683460519967656,0.010322820238775546,onlyCantonI,VD,7
testPositvity_7dayAverage,2,0.019660270224799367,0.02619670686753117,onlyCantonI,VD,7
testPositvity_7dayAverage,3,0.028565107610694376,0.04558355658802898,onlyCantonI,VD,7
testPositvity_7dayAverage,0,0.02078662274243232,0.010786300850818057,onlyCantonI,VD,8
testPositvity_7dayAverage,1,0.02144074789295641,0.010158246774305055,onlyCantonI,VD,8
testPositvity_7dayAverage,2,0.022104242225555324,0.025752195201061773,onlyCantonI,VD,8
testPositvity_7dayAverage,3,0.028462551132458647,0.04702071177903364,onlyCantonI,VD,8
testPositvity_7dayAverage,0,0.017159466207744976,0.00985394083000453,onlyCantonI,VD,9
testPositvity_7dayAverage,1,0.018958128187863882,0.012166757648531052,onlyCantonI,VD,9
testPositvity_7dayAverage,2,0.02265441390472893,0.022153659322829634,onlyCantonI,VD,9
testPositvity_7dayAverage,3,0.028922347695746625,0.04260652273749788,onlyCantonI,VD,9
transit_stations_percent_change_from_baseline_7dayAverage,0,6.087679912259329,2.6008796353565837,onlyCantonI,VD,0
transit_stations_percent_change_from_baseline_7dayAverage,1,6.879735134383419,4.716297373871334,onlyCantonI,VD,0
transit_stations_percent_change_from_baseline_7dayAverage,2,9.509715715884864,6.674832646665335,onlyCantonI,VD,0
transit_stations_percent_change_from_baseline_7dayAverage,3,9.66034678151563,5.699177578105248,onlyCantonI,VD,0
transit_stations_percent_change_from_baseline_7dayAverage,0,5.921913377740054,2.999582309361558,onlyCantonI,VD,1
transit_stations_percent_change_from_baseline_7dayAverage,1,6.915193245484046,3.687676467769429,onlyCantonI,VD,1
transit_stations_percent_change_from_baseline_7dayAverage,2,11.604407848670744,6.444786145690991,onlyCantonI,VD,1
transit_stations_percent_change_from_baseline_7dayAverage,3,10.388477956545717,4.500369474112415,onlyCantonI,VD,1
transit_stations_percent_change_from_baseline_7dayAverage,0,5.768737651175733,3.1416756786664473,onlyCantonI,VD,2
transit_stations_percent_change_from_baseline_7dayAverage,1,7.1436444446052985,4.1507244136220605,onlyCantonI,VD,2
transit_stations_percent_change_from_baseline_7dayAverage,2,12.602877013297636,5.698809378444695,onlyCantonI,VD,2
transit_stations_percent_change_from_baseline_7dayAverage,3,9.822132771048896,3.9796162544947724,onlyCantonI,VD,2
transit_stations_percent_change_from_baseline_7dayAverage,0,6.1160376140888815,2.7612110015285483,onlyCantonI,VD,3
transit_stations_percent_change_from_baseline_7dayAverage,1,7.128630469550159,4.20347316414759,onlyCantonI,VD,3
transit_stations_percent_change_from_baseline_7dayAverage,2,14.133123175813605,5.566662175222686,onlyCantonI,VD,3
transit_stations_percent_change_from_baseline_7dayAverage,3,10.118542769534644,3.838045642426574,onlyCantonI,VD,3
transit_stations_percent_change_from_baseline_7dayAverage,0,6.396181509458639,1.961102702424716,onlyCantonI,VD,4
transit_stations_percent_change_from_baseline_7dayAverage,1,7.056338726361695,3.7007611363400503,onlyCantonI,VD,4
transit_stations_percent_change_from_baseline_7dayAverage,2,15.144043191392973,5.7588579819056545,onlyCantonI,VD,4
transit_stations_percent_change_from_baseline_7dayAverage,3,10.016332415126792,4.466672587283532,onlyCantonI,VD,4
transit_stations_percent_change_from_baseline_7dayAverage,0,6.728218628052159,1.7700632826694354,onlyCantonI,VD,5
transit_stations_percent_change_from_baseline_7dayAverage,1,6.784824455102031,4.047205959297593,onlyCantonI,VD,5
transit_stations_percent_change_from_baseline_7dayAverage,2,15.442759012278712,5.675367869458088,onlyCantonI,VD,5
transit_stations_percent_change_from_baseline_7dayAverage,3,9.16678986260805,4.33629547380088,onlyCantonI,VD,5
transit_stations_percent_change_from_baseline_7dayAverage,0,7.051150909821594,1.9178175060915383,onlyCantonI,VD,6
transit_stations_percent_change_from_baseline_7dayAverage,1,6.689412623667316,4.311934691211338,onlyCantonI,VD,6
transit_stations_percent_change_from_baseline_7dayAverage,2,16.46632335381501,5.2596884467904985,onlyCantonI,VD,6
transit_stations_percent_change_from_baseline_7dayAverage,3,9.052219541141266,4.074194444896505,onlyCantonI,VD,6
transit_stations_percent_change_from_baseline_7dayAverage,0,7.048385958865082,2.3666537214085177,onlyCantonI,VD,7
transit_stations_percent_change_from_baseline_7dayAverage,1,6.6234165795432665,5.0850903087012815,onlyCantonI,VD,7
transit_stations_percent_change_from_baseline_7dayAverage,2,16.17230917138036,3.9571951061762416,onlyCantonI,VD,7
transit_stations_percent_change_from_baseline_7dayAverage,3,8.04047709343245,3.3590860102670543,onlyCantonI,VD,7
transit_stations_percent_change_from_baseline_7dayAverage,0,7.320731889807502,1.2875576756443874,onlyCantonI,VD,8
transit_stations_percent_change_from_baseline_7dayAverage,1,6.644079149796778,4.0571969692595795,onlyCantonI,VD,8
transit_stations_percent_change_from_baseline_7dayAverage,2,16.74611043025046,5.241146268756616,onlyCantonI,VD,8
transit_stations_percent_change_from_baseline_7dayAverage,3,7.826680392486698,4.4272219895915175,onlyCantonI,VD,8
transit_stations_percent_change_from_baseline_7dayAverage,0,7.339234619191829,1.5569279538173753,onlyCantonI,VD,9
transit_stations_percent_change_from_baseline_7dayAverage,1,6.680936211656511,4.254874822940268,onlyCantonI,VD,9
transit_stations_percent_change_from_baseline_7dayAverage,2,16.44794519226116,4.700911973076593,onlyCantonI,VD,9
transit_stations_percent_change_from_baseline_7dayAverage,3,7.442458050558855,4.333183661065431,onlyCantonI,VD,9
workplaces_percent_change_from_baseline_7dayAverage,0,6.499367492293046,3.647171013036499,onlyCantonI,VD,0
workplaces_percent_change_from_baseline_7dayAverage,1,6.9140543028367745,10.376261516453914,onlyCantonI,VD,0
workplaces_percent_change_from_baseline_7dayAverage,2,6.3693124348247565,21.53558235538539,onlyCantonI,VD,0
workplaces_percent_change_from_baseline_7dayAverage,3,6.959417563234578,15.593837527836136,onlyCantonI,VD,0
