task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,5.545509855260051,4.6229566503143955,onlyCantonI,VS,0
case_inz_entries_7dayAverage,1,12.477951821732306,38.51220943514677,onlyCantonI,VS,0
case_inz_entries_7dayAverage,2,17.07453912503238,86.90054616340684,onlyCantonI,VS,0
case_inz_entries_7dayAverage,3,24.54563606206463,95.61311666073355,onlyCantonI,VS,0
hosp_inz_entries_7dayAverage,0,0.0953111165650302,0.23035458101419126,onlyCantonI,VS,0
hosp_inz_entries_7dayAverage,1,0.27874706705597646,1.0860398413100303,onlyCantonI,VS,0
hosp_inz_entries_7dayAverage,2,0.481730763765531,1.6707589407025552,onlyCantonI,VS,0
hosp_inz_entries_7dayAverage,3,0.568767175045385,2.4179660026480985,onlyCantonI,VS,0
death_inz_entries_7dayAverage,0,0.06709665802563963,0.1876231030430207,onlyCantonI,VS,0
death_inz_entries_7dayAverage,1,0.11933646055405003,0.187086661651387,onlyCantonI,VS,0
death_inz_entries_7dayAverage,2,0.16553893785488313,0.4457067746276911,onlyCantonI,VS,0
death_inz_entries_7dayAverage,3,0.15329284430614146,0.6236073574572542,onlyCantonI,VS,0
testPositvity_7dayAverage,0,0.05141163802467906,0.049651593514669745,onlyCantonI,VS,0
testPositvity_7dayAverage,1,0.04451114561138642,0.04961639020248819,onlyCantonI,VS,0
testPositvity_7dayAverage,2,0.12446681438582882,0.0739278893877709,onlyCantonI,VS,0
testPositvity_7dayAverage,3,0.051877018103138495,0.08172898391690996,onlyCantonI,VS,0
testPositvity_7dayAverage,0,0.035140944451293434,0.029536743057752293,onlyCantonI,VS,1
testPositvity_7dayAverage,1,0.05156450704901636,0.05127537687178223,onlyCantonI,VS,1
testPositvity_7dayAverage,2,0.08150581876802195,0.07914314384766874,onlyCantonI,VS,1
testPositvity_7dayAverage,3,0.026943900964255155,0.07564351510426451,onlyCantonI,VS,1
testPositvity_7dayAverage,0,0.026145964914971325,0.022291141478881008,onlyCantonI,VS,2
testPositvity_7dayAverage,1,0.025890330537584806,0.054195853536575724,onlyCantonI,VS,2
testPositvity_7dayAverage,2,0.042247139867840705,0.07658713012903233,onlyCantonI,VS,2
testPositvity_7dayAverage,3,0.024958947654575833,0.07315065653663466,onlyCantonI,VS,2
testPositvity_7dayAverage,0,0.014351909798120214,0.020403617447644896,onlyCantonI,VS,3
testPositvity_7dayAverage,1,0.019560528712990286,0.055167622487328816,onlyCantonI,VS,3
testPositvity_7dayAverage,2,0.020122442214470578,0.0716932872270703,onlyCantonI,VS,3
