task,week,model rmse 1,model rmse 2,trainedOn,errorForCanton,iteration
case_inz_entries_7dayAverage,0,2.396428884374117,5.808789623699658,onlyCantonI,ZG,0
case_inz_entries_7dayAverage,1,4.577811440707265,15.574686372693819,onlyCantonI,ZG,0
case_inz_entries_7dayAverage,2,6.116568728110374,26.084115992448243,onlyCantonI,ZG,0
case_inz_entries_7dayAverage,3,7.752068367123631,27.69642772020612,onlyCantonI,ZG,0
hosp_inz_entries_7dayAverage,0,0.17142297849403124,0.2326565773885819,onlyCantonI,ZG,0
hosp_inz_entries_7dayAverage,1,0.21879514785946338,0.44011711882526144,onlyCantonI,ZG,0
hosp_inz_entries_7dayAverage,2,0.3531413809852849,0.8484719568921074,onlyCantonI,ZG,0
hosp_inz_entries_7dayAverage,3,0.4673951775655678,0.8067404395459262,onlyCantonI,ZG,0
death_inz_entries_7dayAverage,0,0.11802623890690805,0.1547492645780132,onlyCantonI,ZG,0
death_inz_entries_7dayAverage,1,0.21760259299904064,0.3625401011133007,onlyCantonI,ZG,0
death_inz_entries_7dayAverage,2,0.17265392365315838,0.20340950851406847,onlyCantonI,ZG,0
death_inz_entries_7dayAverage,3,0.15729695495954288,0.1708929779398382,onlyCantonI,ZG,0
testPositvity_7dayAverage,0,0.09297091796158936,0.02282840569635631,onlyCantonI,ZG,0
testPositvity_7dayAverage,1,0.05069576939262346,0.03521171035646004,onlyCantonI,ZG,0
testPositvity_7dayAverage,2,0.03187831554273956,0.03959649572723831,onlyCantonI,ZG,0
testPositvity_7dayAverage,3,0.059404228600603834,0.03669380325320919,onlyCantonI,ZG,0
testPositvity_7dayAverage,0,0.02358500296152268,0.021261059473943397,onlyCantonI,ZG,1
testPositvity_7dayAverage,1,0.028327735258631165,0.030789959053126505,onlyCantonI,ZG,1
testPositvity_7dayAverage,2,0.018927255451861066,0.03850395314590057,onlyCantonI,ZG,1
testPositvity_7dayAverage,3,0.024596637060365738,0.035438859180008664,onlyCantonI,ZG,1
testPositvity_7dayAverage,0,0.015472566090903027,0.022103210840193344,onlyCantonI,ZG,2
testPositvity_7dayAverage,1,0.02023021784703625,0.02967723065550617,onlyCantonI,ZG,2
testPositvity_7dayAverage,2,0.01636638191850354,0.03298831341802329,onlyCantonI,ZG,2
testPositvity_7dayAverage,3,0.01103674981965055,0.03747709353926976,onlyCantonI,ZG,2
testPositvity_7dayAverage,0,0.014156379034300476,0.024689548783164962,onlyCantonI,ZG,3
testPositvity_7dayAverage,1,0.015171525327782038,0.030299764084195813,onlyCantonI,ZG,3
testPositvity_7dayAverage,2,0.012500801854402013,0.033179112794188996,onlyCantonI,ZG,3
testPositvity_7dayAverage,3,0.005216501687655037,0.03954149980395346,onlyCantonI,ZG,3
testPositvity_7dayAverage,0,0.014417721024151056,0.025604591858233914,onlyCantonI,ZG,4
testPositvity_7dayAverage,1,0.011046001024038316,0.03541928515826409,onlyCantonI,ZG,4
testPositvity_7dayAverage,2,0.010108926020283343,0.03370087340689728,onlyCantonI,ZG,4
testPositvity_7dayAverage,3,0.007199543725238867,0.040267595656280075,onlyCantonI,ZG,4
testPositvity_7dayAverage,0,0.011637861971844597,0.025220402806500838,onlyCantonI,ZG,5
testPositvity_7dayAverage,1,0.012893981186730612,0.035077466643189024,onlyCantonI,ZG,5
testPositvity_7dayAverage,2,0.008054893738918729,0.03564973665557538,onlyCantonI,ZG,5
testPositvity_7dayAverage,3,0.005569081362424264,0.04325395724441444,onlyCantonI,ZG,5
testPositvity_7dayAverage,0,0.008383863914760797,0.027216948109621386,onlyCantonI,ZG,6
testPositvity_7dayAverage,1,0.011038326438563463,0.03753242117185299,onlyCantonI,ZG,6
testPositvity_7dayAverage,2,0.006627211557719262,0.03886412830263102,onlyCantonI,ZG,6
testPositvity_7dayAverage,3,0.004833861585035385,0.04607965134515173,onlyCantonI,ZG,6
testPositvity_7dayAverage,0,0.0036714083793332876,0.029875319480590974,onlyCantonI,ZG,7
testPositvity_7dayAverage,1,0.005536919000336493,0.03988109762670855,onlyCantonI,ZG,7
testPositvity_7dayAverage,2,0.006235583146205401,0.03624446479037246,onlyCantonI,ZG,7
testPositvity_7dayAverage,3,0.010486436149301922,0.04309541710557706,onlyCantonI,ZG,7
testPositvity_7dayAverage,0,0.00699194539450076,0.029283277364187867,onlyCantonI,ZG,8
testPositvity_7dayAverage,1,0.009102453292198002,0.03966244880934127,onlyCantonI,ZG,8
testPositvity_7dayAverage,2,0.006942795073260392,0.038344350614412596,onlyCantonI,ZG,8
testPositvity_7dayAverage,3,0.007027127169645439,0.04496785123503487,onlyCantonI,ZG,8
testPositvity_7dayAverage,0,0.007235269073130767,0.028806102905991022,onlyCantonI,ZG,9
testPositvity_7dayAverage,1,0.011289094062239845,0.03760110219458152,onlyCantonI,ZG,9
testPositvity_7dayAverage,2,0.008666757976410939,0.03739932546189096,onlyCantonI,ZG,9
testPositvity_7dayAverage,3,0.006814385856094787,0.044913306078547356,onlyCantonI,ZG,9
transit_stations_percent_change_from_baseline_7dayAverage,0,4.710783117566156,3.1485283204716517,onlyCantonI,ZG,0
transit_stations_percent_change_from_baseline_7dayAverage,1,4.7544501168382265,4.025420175100697,onlyCantonI,ZG,0
transit_stations_percent_change_from_baseline_7dayAverage,2,7.456378344180326,3.581595591075798,onlyCantonI,ZG,0
transit_stations_percent_change_from_baseline_7dayAverage,3,8.036993378630147,5.246042984368677,onlyCantonI,ZG,0
transit_stations_percent_change_from_baseline_7dayAverage,0,4.782716424503833,2.7369773062050773,onlyCantonI,ZG,1
transit_stations_percent_change_from_baseline_7dayAverage,1,4.791624545541588,3.8859627685036577,onlyCantonI,ZG,1
transit_stations_percent_change_from_baseline_7dayAverage,2,8.153955915189272,4.18883613149553,onlyCantonI,ZG,1
transit_stations_percent_change_from_baseline_7dayAverage,3,8.327840034748467,4.68639642239331,onlyCantonI,ZG,1
transit_stations_percent_change_from_baseline_7dayAverage,0,4.775549153262922,2.2306564939944162,onlyCantonI,ZG,2
transit_stations_percent_change_from_baseline_7dayAverage,1,4.604788699527658,2.9152596846803718,onlyCantonI,ZG,2
transit_stations_percent_change_from_baseline_7dayAverage,2,8.325534866071312,3.9814674856392536,onlyCantonI,ZG,2
transit_stations_percent_change_from_baseline_7dayAverage,3,8.172840446685672,4.399663933500374,onlyCantonI,ZG,2
transit_stations_percent_change_from_baseline_7dayAverage,0,4.720435933491393,2.2014888295291026,onlyCantonI,ZG,3
transit_stations_percent_change_from_baseline_7dayAverage,1,4.617116389755919,2.378369744967455,onlyCantonI,ZG,3
transit_stations_percent_change_from_baseline_7dayAverage,2,8.183508304182777,3.136396055590045,onlyCantonI,ZG,3
transit_stations_percent_change_from_baseline_7dayAverage,3,8.95773574982627,4.059477391065599,onlyCantonI,ZG,3
transit_stations_percent_change_from_baseline_7dayAverage,0,5.8022626473852315,3.1849924306194137,onlyCantonI,ZG,4
transit_stations_percent_change_from_baseline_7dayAverage,1,4.380082920416562,2.8147529230009236,onlyCantonI,ZG,4
transit_stations_percent_change_from_baseline_7dayAverage,2,9.010735985229246,3.7033911348198654,onlyCantonI,ZG,4
transit_stations_percent_change_from_baseline_7dayAverage,3,9.489540693311499,3.77325030056562,onlyCantonI,ZG,4
transit_stations_percent_change_from_baseline_7dayAverage,0,5.491209387483362,2.479310313258198,onlyCantonI,ZG,5
transit_stations_percent_change_from_baseline_7dayAverage,1,4.362716968941153,2.877049028152373,onlyCantonI,ZG,5
transit_stations_percent_change_from_baseline_7dayAverage,2,8.996853006871659,3.069608306292624,onlyCantonI,ZG,5
transit_stations_percent_change_from_baseline_7dayAverage,3,9.149757184468648,3.7863945749171135,onlyCantonI,ZG,5
transit_stations_percent_change_from_baseline_7dayAverage,0,4.595905644099263,2.390673308248774,onlyCantonI,ZG,6
transit_stations_percent_change_from_baseline_7dayAverage,1,5.177697804880381,3.1445194519467363,onlyCantonI,ZG,6
transit_stations_percent_change_from_baseline_7dayAverage,2,7.644506223486642,2.5790068872965053,onlyCantonI,ZG,6
transit_stations_percent_change_from_baseline_7dayAverage,3,7.183919554336493,3.6248866655974816,onlyCantonI,ZG,6
transit_stations_percent_change_from_baseline_7dayAverage,0,5.0027441118359475,2.444109350497377,onlyCantonI,ZG,7
transit_stations_percent_change_from_baseline_7dayAverage,1,4.662512241663666,2.9953305444967806,onlyCantonI,ZG,7
transit_stations_percent_change_from_baseline_7dayAverage,2,8.163347933706143,2.567069970691042,onlyCantonI,ZG,7
transit_stations_percent_change_from_baseline_7dayAverage,3,7.641237422314834,3.564596289241352,onlyCantonI,ZG,7
transit_stations_percent_change_from_baseline_7dayAverage,0,4.104039532945887,2.2032680862259744,onlyCantonI,ZG,8
transit_stations_percent_change_from_baseline_7dayAverage,1,5.565412184895133,3.351206100931922,onlyCantonI,ZG,8
transit_stations_percent_change_from_baseline_7dayAverage,2,7.235089598769804,2.5739426834286605,onlyCantonI,ZG,8
transit_stations_percent_change_from_baseline_7dayAverage,3,5.995079014182028,3.7233100812125417,onlyCantonI,ZG,8
transit_stations_percent_change_from_baseline_7dayAverage,0,4.510221954457539,2.40922650705978,onlyCantonI,ZG,9
transit_stations_percent_change_from_baseline_7dayAverage,1,5.361177109765845,3.574466955372276,onlyCantonI,ZG,9
transit_stations_percent_change_from_baseline_7dayAverage,2,7.488596708233538,2.5734460705028086,onlyCantonI,ZG,9
transit_stations_percent_change_from_baseline_7dayAverage,3,6.753264903617335,3.367202139666408,onlyCantonI,ZG,9
workplaces_percent_change_from_baseline_7dayAverage,0,5.759090513638137,6.07759948706166,onlyCantonI,ZG,0
workplaces_percent_change_from_baseline_7dayAverage,1,5.601964528919168,6.384448577904426,onlyCantonI,ZG,0
workplaces_percent_change_from_baseline_7dayAverage,2,5.2635774855830455,9.909286757474334,onlyCantonI,ZG,0
workplaces_percent_change_from_baseline_7dayAverage,3,4.685116887006301,11.139304640297851,onlyCantonI,ZG,0
